unit_id,CapacityRetention,CoulombicEfficiency,FormationCurrent,AmbientHumidityBatt,do_set_ElectrolyteFillVolume
0,9.151810413687663,57.69617376194853,95.38226983054543,62.62369454380685,0.5
1,37.21297045043845,30.594104590313524,71.64894379751713,60.58729423794129,0.5
2,-11.907045210932212,51.50885231635812,36.43169094994789,67.65569162482888,0.5
3,-0.2829075841578934,57.74171698437882,64.06656698207948,33.99966964177192,0.5
4,10.076022889059358,56.87622993228159,87.57854939444837,39.28632275816241,0.5
5,-15.88366660200889,50.81957992788437,34.62873662251789,23.428196949316778,0.5
6,-1.9526073913079767,46.30227326253494,46.439334570368175,49.02958579060922,0.5
7,34.01455575619975,40.36643068905171,82.58646963227598,70.09555983892444,0.5
8,16.856424443930443,55.36570407854011,100.99899162882416,59.331663983704715,0.5
9,-13.826729945966049,52.12550780434827,40.00416946818143,49.22415467331598,0.5
10,-9.296540741797637,53.46214173573344,41.31001364797948,57.84446556866765,0.5
11,6.338275867504056,50.050349084490065,59.575207183042394,60.14123198680599,0.5
12,18.192069395352743,43.37987983555968,77.46594407817311,50.21433145624665,0.5
13,-7.697734456324169,51.71614811957391,39.47429145176659,55.19263710056558,0.5
14,11.613140105448451,52.822138041562205,82.06649514186992,50.18989927150069,0.5
15,2.3088864700675864,54.827278813455614,73.14922800452969,44.67029910637247,0.5
16,1.867113135729689,51.40266419832636,63.33762189964407,44.10586718278424,0.5
17,-1.1140428989374924,48.377589776801855,38.45843405858676,58.5214410094138,0.5
18,-4.928696881438981,53.24038269434761,47.664613558103255,54.538968750871085,0.5
19,1.8127357253240126,48.760804060424974,51.488044191204,47.37394023866111,0.5
20,17.36907288778684,55.97720164641976,91.01994218746279,42.147746721792856,0.5
21,2.5900555793965716,51.309071201687686,59.621985822941326,49.20233816631236,0.5
22,8.085534343425516,57.69556197844282,83.13138333925585,40.18665809426139,0.5
23,39.57637485136311,21.58271421201987,65.95077347856447,39.00405582727937,0.5
24,11.280687367380203,54.97035442518817,80.34576351003838,51.471631981817524,0.5
25,1.9842664511197774,49.83622167933537,52.16343901108877,56.84788050388495,0.5
26,13.740200105214274,55.72810350503933,82.0540419569551,54.992596635423,0.5
27,-1.2375388793157776,52.41003498625539,41.74410802484341,61.46275911065225,0.5
28,7.182294857124363,53.817859655727226,82.22881173102965,52.050350880361485,0.5
29,7.430487503298383,47.33294992341789,51.007632172759564,60.87252670011801,0.5
30,9.698394076280593,38.737292734721485,34.79392006926803,62.80375385692553,0.5
31,22.275139318926296,53.08778582859494,92.21872046530096,54.79215016157189,0.5
32,7.985219778586938,51.036639169771206,64.60664832999768,45.415899871914164,0.5
33,-2.2530198330629396,53.93730788314023,70.2116658164911,40.84348754762081,0.5
34,7.377108368235159,57.62557937598429,87.70669769140339,51.7755631366602,0.5
