unit_id,CapacityRetention,CoulombicEfficiency,ElectrolyteFillVolume,do_FormationCurrent
0,29.797792969769446,18.714174228821292,51.829064134182474,25.0
1,5.519847787960166,40.96635736766458,43.07072550420337,25.0
2,42.67746109432933,34.79098880611639,46.8219227281344,25.0
3,32.82683933920632,25.382787320189557,61.54368495237526,25.0
4,11.922019125566557,41.945012799242726,44.89164072700471,25.0
5,38.59824075055211,20.94198182817092,48.21329001340228,25.0
6,18.580137795956635,39.2977963858801,38.275469344415086,25.0
7,-6.712515748853543,45.3544041066559,62.06231659580928,25.0
8,20.461099711958834,25.781962047134293,39.893210872940614,25.0
9,20.339046918179378,38.794028116104116,43.484787828829326,25.0
10,5.017505580378799,34.5434227522933,48.487713403587584,25.0
11,63.856154292469355,19.199941580918274,67.31428056319868,25.0
12,29.505992491771796,38.82334032128471,81.23574296170416,25.0
13,26.319090510811304,17.29033035058346,56.49146207461064,25.0
14,13.523108214275803,37.957058533065045,59.47291527794549,25.0
15,-2.449218482412845,46.527963258748954,54.3611359970345,25.0
16,9.215083638359857,41.802743058341306,80.7729355449789,25.0
17,-20.053557916078336,43.19231927542671,44.68744667412268,25.0
18,7.705244701856761,47.78240245616742,41.09232681564325,25.0
19,15.000516154723812,32.924979191140984,58.23403283809973,25.0
20,24.083086149202185,46.63804407814679,81.77746080224256,25.0
21,5.500689541139658,40.500922730148105,61.26869634605739,25.0
22,48.92426656840814,10.812894231406895,49.36315616756458,25.0
23,14.504468031673124,33.71715875038327,59.34189594721403,25.0
24,21.479693329260975,27.26238068321277,43.47602811828056,25.0
25,38.277064981046436,31.301110115329116,69.22614107487061,25.0
26,13.367673253524499,38.273332557539334,35.01873361654174,25.0
27,29.996894599071823,30.009101974456804,57.33304652722177,25.0
28,25.36181202536365,28.605490571349698,44.57823607533395,25.0
29,30.365365010720872,37.86648835254635,56.441351140115586,25.0
30,8.530121091679948,40.73107165519633,34.08728161512457,25.0
31,45.6883162020172,15.838393190923275,62.906087531812645,25.0
32,22.04314594609829,40.37704518940467,27.12541284190763,25.0
