unit_id,NitrogenPPM,PotassiumPPM,PARLight,CropYield
0,36.41710861784621,54.854963706451414,56.51395115146185,19.51940649170821
1,40.54467175458994,57.6855751505017,48.80507517614099,19.413711219218534
2,34.91693365551298,38.658343523907725,68.07712159279899,12.438581380292637
3,37.71887280054466,57.268094845764246,27.72249275401073,19.713333212260522
4,41.18215722543809,69.37595123126674,56.83396043061869,21.164817125140562
5,69.1528263229642,42.7283611735994,38.30448054933903,18.34914767872466
6,35.43790083173706,33.23077739626732,59.34337878061037,22.682886119266
7,58.433385148757466,46.02144089708221,61.92915602801796,18.505831782312498
8,58.42179093961612,64.34139749321457,64.4324182245363,24.406342977687952
9,32.82275702675965,56.55676938148437,18.497703465669865,16.42218223902456
10,47.707215214441675,66.01048715668598,53.476421134290085,20.627839568935613
11,33.56995446902869,64.3775852982526,46.3735545317765,23.423793488885284
12,35.164085310599845,49.115481439224,42.08822784554078,22.35880114027286
13,68.27102481836761,41.11867862035494,38.74443626141551,21.990638137349578
14,55.8842289090331,67.61772308951217,76.99233200077106,23.57915455925358
15,46.941460140785225,49.60671136089983,54.09995759982987,23.241831163659477
16,37.263104322163656,68.57497935136769,35.29967096198377,18.63749470460425
17,44.05972833305134,52.162282312945536,66.06351925343701,17.752499839190055
18,46.69214390347895,61.67034192178708,59.33015244400299,18.75321966857983
19,77.18140203804334,53.2666017970598,54.51688692163358,17.224107223572993
20,40.00155712384101,36.393959951015894,72.6015070387311,15.745390226395855
21,42.10060229482391,63.702783472570644,53.247392432713575,17.50412103274298
22,41.603881262054074,27.675318022713675,26.519407793386833,22.381890241701804
23,41.27995059264137,24.511518772330255,60.20795068322434,19.975007267675032
24,63.42450275990732,59.14369283697449,50.924012987832356,21.700634286555694
25,59.77358139258158,45.17697820373551,37.60621375867305,22.746240344618897
26,40.72897342771172,26.53028300641519,59.9011684437838,20.074399294631718
27,68.8788547035533,34.23019429482852,67.08632622877627,21.558483237278875
28,56.9771959313062,50.594497259990284,52.624230344332815,25.03193213604746
29,50.06109158726104,64.62984635602712,45.85745148391458,14.796045505323452
30,52.36247827782173,30.753308520619214,42.29781113909543,18.172599874851453
31,44.51367175587992,25.182046509449716,35.292468542339684,17.98613457856586
32,61.1604752464069,50.84997868600147,61.81033074923702,18.669263846780243
33,35.89235728700332,39.77332379045051,47.10618903363183,19.893881877276538
34,55.77319885651211,36.12508163504067,59.981823324459825,16.784393940524602
35,51.68286204041491,57.331527364077544,52.21308502641231,16.837731149110674
36,60.50233805324383,29.29001896548462,54.12129539669956,19.4527872708646
37,41.86449938355048,48.65554164336591,51.755009699815055,23.752385123084906
38,39.42540014653152,49.74277761133329,64.86067722042071,21.739586941568806
39,48.376651645395675,78.89645828037499,44.050520373712025,24.174583995415723
40,25.639238261847513,36.352775196762956,65.15962161493177,18.770056960644588
41,47.502943786922046,43.011044477538164,63.00859585384591,20.764064639566488
42,57.67944043481945,51.88757841760463,27.428893009147483,23.99625046790241
43,37.83545373299757,63.11264008089682,45.26214994602417,17.268946148434846
44,39.234574418690265,85.72805810666216,53.6944678538801,16.960524352381952
45,60.060018883129175,69.43364412875572,56.05104660613078,25.11433140653985
46,55.126957923537134,56.55740612437478,74.67093717418014,20.75939412228473
47,63.011824871657765,57.616477568629406,45.61287240835446,21.56824648760752
48,52.17207104053409,43.62338705524836,37.37528318224369,20.999417500641524
49,74.07567889416582,54.59366501434917,45.642207136426386,23.379865505691452
50,39.86976583284073,52.746013318161246,40.77848521724347,19.15157321103139
51,53.12071637377507,51.15844478250588,43.948258535037795,21.184589092816385
52,60.44307907538565,62.556400919148246,50.50108625023573,21.239003613767736
53,32.96121313504817,42.31137068463797,50.75901818354263,19.60205510514039
54,61.51882961872525,65.70178684759146,22.84640465783129,23.9106553624639
55,58.45181750610126,52.59316356261286,46.076234987527485,17.33985971366089
56,56.12751397687986,23.137723312134657,47.358122788961765,24.444880196780012
57,67.93350619730438,56.981358936669686,58.23529979893832,15.682250622795902
58,35.9545177591946,39.139620214723,40.594347944781404,18.83121488121016
59,61.71993620173594,72.25681138788666,50.3710871729208,13.265861735164275
60,32.78956030528218,57.68444370115841,50.04570308976306,20.023876573454647
61,59.09793129737669,60.187154165127104,42.20559595701824,20.97301218657696
62,56.75952887562306,41.338591828216956,57.6878807939244,22.16247557061257
63,37.006221935822985,74.92742439163791,58.36045747770132,20.00056461625886
64,55.643452358826366,51.002940939831184,43.911242103222385,19.661595979717756
65,70.12641271229556,48.8596760184813,39.02568395749447,13.077232280263912
66,37.16698843520773,38.699786750074715,75.69311061711855,19.98570406032821
67,82.3965378604845,50.203394256907856,43.964326454764596,22.917241535022704
