unit_id,ReadmissionRate,FollowupDays,MedAdherence,do_followup_scheduling
0,28.683295046281046,75.97821788528469,66.13932419910334,75.0
1,39.33493811308141,72.59756632562336,60.98489037841291,75.0
2,30.267243254784702,73.8915653128998,52.238792621304,75.0
3,29.591750360643275,77.65546534261539,44.0499095558086,75.0
4,65.65365545555008,71.35865452671113,60.9787929973545,75.0
5,31.976684812811563,76.94089807313593,60.45585821409063,75.0
6,34.85868086051637,77.39409589654599,63.18077828075566,75.0
7,76.99502733375395,77.44383729703658,48.34242357728278,75.0
8,55.84045528960791,72.16075795642291,49.29602063436071,75.0
9,32.74571779363426,75.69663615492856,34.784316113893055,75.0
10,54.43777182237868,74.48230420714061,39.03462864585642,75.0
11,49.88164145707292,71.38998236542068,72.54086570479512,75.0
12,37.105753715965314,71.36631414583871,42.098405690938435,75.0
13,51.8149513240083,71.3558756593616,60.6502475357513,75.0
14,41.444511904708065,75.51049569051604,52.838011772287445,75.0
15,55.72416655501813,73.96147401151063,50.17654425137127,75.0
16,72.11581027376307,74.58844212062219,55.84184512596707,75.0
17,46.75590755442903,72.20954908830103,60.52099977519539,75.0
18,27.3273139253595,79.52303803419719,36.17735008135399,75.0
19,37.294241171399214,72.57226049464418,44.46748029569772,75.0
20,45.45682348545044,72.1447781917465,50.7803689549571,75.0
21,43.018643242864165,71.12498044039702,53.78027679613329,75.0
22,47.2590239287224,73.73442774110478,32.276902310938254,75.0
23,52.47857464602707,76.87883397713708,47.42438153584526,75.0
24,39.503736670984004,76.50800908296883,42.619941989732986,75.0
25,80.54281952976372,70.77697888702366,50.0388760748471,75.0
26,46.59548928197355,73.96992669051909,50.273723846667494,75.0
27,54.99798905036775,73.03992275091312,39.44133568053772,75.0
28,49.39105108476183,71.55591093416047,55.39699319777214,75.0
29,29.848055724344498,72.85139333451222,62.335256719826155,75.0
30,41.852139528245274,68.25498390005988,52.67483516648075,75.0
31,77.00539448685538,74.03797472259328,53.754304623410974,75.0
32,60.8191184435578,75.3036541969826,38.43019607927266,75.0
33,47.29336415063582,84.78243103497509,62.605209878779895,75.0
34,37.87273285764446,75.51185921919011,35.27669726705726,75.0
