unit_id,ReadmissionRate,BloodPressure,Sodium,Creatinine,HbA1c,Hemoglobin,LengthOfStay,FollowupDays,MedAdherence
0,63.872428102277794,47.5692436388963,56.51395115146185,40.43031788719616,51.10017822921038,55.52715647188992,35.901967876383466,38.6800366983947,53.87698903296345
1,47.07509802227845,46.103490453700665,48.80507517614099,62.61252262023256,47.72745740250389,59.7799388595737,46.773791199343854,42.27140734185829,43.82980688476415
2,35.38777505107259,31.407782188851744,68.07712159279899,48.5833364451302,63.48612530360995,56.43673810710033,48.07016243448806,34.846178787059706,44.60793342770547
3,58.502218123813456,53.18041697552339,27.72249275401073,30.87882602029157,42.06064290273801,55.3943540107492,39.55943966435666,42.00901941883323,67.29760379234273
4,44.34331563442514,80.47468312434059,56.83396043061869,58.54561632580401,42.093094270908814,37.06145678851448,46.896686999425384,44.41452172075185,40.76982220833258
5,43.60453834859628,44.54306436456418,38.30448054933903,44.294985749273636,70.10407290612842,56.40801112043687,50.80955230346048,69.24691543708147,58.85682785008036
6,46.824022914980716,34.2440068130544,59.34337878061037,60.086693857184315,39.735021768972146,57.81500799723164,53.96370745870417,42.5964433273016,35.869903482174315
7,33.93886147805878,55.144732073922675,61.92915602801796,51.469855052632184,49.47540761868658,38.13199994665968,45.707800369973654,56.55116491155695,66.49181704533501
8,50.09118592610506,20.148944267471375,64.4324182245363,50.706291333135624,61.04174807027592,40.68457914061564,52.16822435339074,59.65635264630854,51.053464232046636
9,63.29151803733423,33.72228078051273,18.497703465669865,59.39354909485562,50.66161317302708,67.08587983342159,45.90631860815104,35.526110280893434,53.859570272680855
10,45.46837771505787,47.048747671521326,53.476421134290085,33.492017445516694,70.49729891047359,55.84772145597212,46.64337531718784,46.41703182589004,52.39752618315419
11,83.8644468725457,34.59121172271134,46.3735545317765,65.82593141073058,58.068539130076466,49.30001745054177,33.24094290260352,37.797115822073025,43.44381552048889
12,34.61379101733742,61.45704752670636,42.08822784554078,77.92060327193985,48.449496083315985,48.571938897867874,32.136404450684836,43.05235503596968,55.9781129305793
13,53.332817765429624,49.00139520122457,38.74443626141551,51.09517974219809,43.90956086885515,56.41846644442948,45.46619375655472,65.20689406778567,35.291582971800025
14,71.07943892406638,31.311766531481634,76.99233200077106,79.0194047744028,70.55058605882441,31.68371146089506,48.646791697595106,58.915525060707715,55.09871691738372
15,65.25249494030108,39.96764661336731,54.09995759982987,55.175008561743255,52.59782912169355,64.49177310549437,33.594380332959105,44.97870423827536,49.759492169626505
16,70.17069824382253,39.3113749535404,35.29967096198377,38.49941638300499,49.477547476107794,53.268413746655554,31.895225363045622,36.57462500833775,29.254755399256766
17,43.23785862668137,42.430329173788685,66.06351925343701,37.15661770146829,45.58025033047872,42.99029947199522,46.12520626857534,43.677042320347994,47.30529074890094
18,49.56142239998452,59.3432361297782,59.33015244400299,56.650647074246464,50.45265956954828,62.716728649663004,18.655547782832198,46.579352613839774,79.4729629026983
19,34.282299149050615,34.4417017268904,54.51688692163358,57.99082310580829,54.96977679406919,76.71791332672645,49.53287495549322,73.5489275184713,69.69265718706696
