unit_id,ReadmissionRate,Sodium,Creatinine,BloodPressure,MedAdherence,LengthOfStay,do_diuretic_titration
0,45.30590622094619,50.28090987183671,38.04394333752607,68.79032867164486,46.48542711768394,34.594634598806074,75.0
1,79.04086199266082,56.24081384904292,40.05926323286404,44.74932577997623,51.663732206814664,40.19030888831126,75.0
2,27.369700408643958,38.89202496054021,40.16283052104471,79.75344134134642,60.76784229915883,36.571715132767295,75.0
3,46.89076890671162,46.560405026675475,49.80613565543006,76.50987989069765,30.968745148405283,36.98868034304082,75.0
4,68.93470313789847,56.09633657965748,75.43956713432428,57.11259939433229,66.77159750970408,35.57538545335987,75.0
5,31.511196012133343,49.288263207831264,52.82205448081619,27.857754154084937,58.551111526621256,54.25534737729737,75.0
6,38.341393478920025,45.248424418857084,28.4673591731859,52.683860371900494,13.369795636981985,43.79313870030599,75.0
7,73.82230803647796,36.43357924462769,81.44687930928777,44.02824595241654,42.21081648337188,39.00454889901193,75.0
8,25.484409480850545,59.854846880521755,62.387464461883184,54.75547535613996,67.29508053507794,43.668369895756165,75.0
9,58.483330519279576,69.92424847656949,48.440570482643444,40.17960397708081,57.50592637330261,28.94856094168822,75.0
10,52.295026456315895,29.946979632710498,63.19024696897589,50.6979564607266,73.69362418322179,25.832899892849753,75.0
11,35.37472755820812,39.650409436493355,40.39107660117189,71.94216306941442,45.16289331186218,39.08044839751736,75.0
12,63.92477477063406,49.872740235338,57.40256748469601,43.80044633101541,65.42301249866169,38.22743312425179,75.0
13,79.33478401213681,39.378191648156715,30.091169695254518,47.03799835649029,45.49809652068834,42.20507791668809,75.0
14,63.20412770920997,58.913401591717374,48.243603440711595,66.94495386005245,46.82744769219077,41.369190304034845,75.0
15,67.18836542832713,46.06832430116634,51.133813926332515,30.77916924040093,36.77324360209013,52.518135542403485,75.0
16,46.194113053573105,56.559318460084086,56.08094424353974,37.67482592489905,62.04961814357994,32.85302490667366,75.0
17,62.420884428692716,40.72610214013347,61.69695509932818,51.0420953113448,55.34017866604039,31.398890870054583,75.0
18,46.13833242601631,62.38469689034309,36.65669131708477,42.66973327023417,27.40487351672811,42.434251576712946,75.0
19,46.159614925187576,74.38443492710122,55.632922565558935,40.561537988904966,33.29759908825475,52.27851444683051,75.0
20,53.37628743531269,64.8721761102121,32.389064788701795,55.28416346303796,44.49925976634421,46.199831161745095,75.0
21,47.52951765707823,50.24057414552412,48.69014191717343,49.18472878151275,48.74434513077802,36.494656957324835,75.0
22,99.7630836304086,59.21025046808489,64.17211112947321,39.25231919057664,46.77515536567781,43.201523530399,75.0
23,53.6768793421881,47.51524449914586,22.922592566682308,57.993512045003236,57.17464112466981,39.27669670587966,75.0
24,69.34824401280517,65.74152494763422,53.327102942199595,39.81945734271186,47.798948201988395,39.49963568983591,75.0
