unit_id,ReadmissionRate,Creatinine,Sodium,BloodPressure,MedAdherence,Hemoglobin,HbA1c,LengthOfStay,FollowupDays
0,32.464060862521855,54.496489031848206,65.0612224258883,45.353494612721875,63.55426260067698,43.36656594240385,35.18234298675897,41.83855140705907,57.07181723403971
1,28.7727463976684,48.6479530590799,47.92226948348396,53.099347617681744,44.76517744053248,56.07361148865609,46.11826865795557,14.50458437008634,41.83813093840059
2,35.857484286413445,55.928362509943355,43.4064335174798,24.2589764742344,50.450937208731574,65.6134342948223,33.849268452313055,33.99286609245514,67.75610704756741
3,37.39973763963482,25.92573334919733,59.168645286885635,49.380545090231905,40.437418860915955,63.16144009143734,45.36142453232355,38.20045122431789,65.19293350174809
4,36.962186671554456,47.72129775953796,47.84190210458319,43.8050255982763,50.05320827841844,44.392228089473086,22.227174818944874,19.218519314201764,39.02918597493299
5,76.82177126500513,78.58089571668289,54.166440164466,63.18453839109455,59.38637857208113,50.64104934044828,55.881574550510095,38.62021433857836,49.9116292937729
6,69.83133484067602,32.732605153354456,43.97859722253453,42.014256354601144,59.60222473318492,61.17288828885068,33.9267166152615,34.448818382259404,44.837830569213395
7,55.76862714302678,48.38841451810727,57.962785683454214,27.282279710239916,36.680233552605,53.78893019496509,59.13886737398056,46.00208608699412,20.169686239920907
8,65.42612206413175,63.75902363348214,45.99803261055854,49.647344001415014,42.30179800283595,53.756614951533585,61.791279134714806,51.01826644170818,55.77891200690157
9,36.38826680012234,48.68805682369963,43.168559295201106,46.13341372571179,40.226966536756684,48.74844666281453,64.57694813434011,23.2346807018595,46.162151946797465
10,44.69230435345435,43.80267456528206,58.33000836536058,79.42523274023709,43.08942751543905,44.64781480486555,46.59395913420637,37.28834249980003,56.69181155618169
11,38.00387364771594,44.417705219133246,30.1881374685719,46.506668153824094,35.57651460909689,53.48450318954787,54.321809545821715,35.913315326546744,13.14243128979602
12,36.08640801824368,60.76771333710093,62.10234750803144,80.01954095904941,44.614382381666395,51.084784318916896,41.821081283483075,42.784080093944986,62.49373900388399
13,89.50014738148809,45.190825264643436,33.596136304290155,44.77430428866147,75.99298465929051,74.74564727099298,57.19230968663803,49.485209002634264,35.74542484030111
14,58.32179113420379,68.09914942462599,51.528029555657945,56.34062231085585,40.79018746333754,42.6904363896287,62.8422006309587,43.50236038782954,23.331767035314606
15,42.41092767312823,44.43016101083055,38.49575208493003,37.35033745618391,66.42027543596622,57.324286827322545,56.38863593655367,21.87568354676813,67.14829019179305
16,26.492867697999284,47.329328800125325,31.071959742337853,50.45116057859371,49.871513049305726,48.7784689014606,48.41862418738224,38.64053328138412,44.14934598453175
17,50.15183695002034,53.44228724913349,40.25906657124714,62.957061329536785,58.463681144045914,27.40542238519696,54.859162359731194,38.126392002171556,51.04885574712836
18,34.24849462342124,38.95755803351679,74.95753755116507,50.848029644467445,37.927608584600684,57.162810796906285,49.158645624398126,27.960483804713412,71.0033767520421
19,29.568328153354155,41.34441012521107,47.16115473954318,72.2289862887517,26.09716520976167,71.0532299068235,48.66586503479261,34.22868262636378,46.347296042086114
20,57.87112316455175,48.49849592694127,69.02065764849185,25.062962198151396,74.2880187070972,47.3724089281297,57.49892148224971,50.391591241119556,70.4813600619322
21,44.196806719756445,52.10325401954236,43.78569640462231,27.400273594677824,48.70982883635386,36.213252168345775,63.46055566707455,21.131946738758366,46.65534954977019
22,45.22514912864714,64.39248066111084,41.6002308578913,49.211337009289785,70.19072738740716,22.48072361182639,41.732517013655276,47.94161347787613,45.19641170999594
23,64.25130977616291,55.17901950703806,66.93095273130041,43.96866106256277,46.96513756384549,34.41646256141554,36.37347247410517,45.63979243471346,59.67539500094725
24,47.468623568357565,56.550766659641496,62.99198819593915,40.58751729151558,41.50113916634397,60.448692568962876,53.764410079595045,34.504201379496635,56.17058209242858
25,28.88861769833422,32.49213296974112,45.17753155299701,52.09242159718055,49.742957119262115,55.03709189374636,54.003909571855836,25.695115189653382,48.776084781368546
26,55.13519415430899,47.76942038042352,70.35023043102272,42.344756941716874,57.50610224653811,48.930000738362786,39.99881511370328,45.72075388053496,39.33510530379984
27,37.44432485130988,42.06035504020987,39.95134943650292,55.994156365294806,80.16480408760776,47.49047859031605,43.69874128739877,35.386838391854624,47.204984977162226
28,36.46419663583498,49.36426910017393,63.22971749458039,66.27288787963423,26.54137377697731,17.61302704229359,59.24021241193166,43.465491289635025,66.6601880324604
