unit_id,JobThroughput,PduLoad,RackInletTemp,do_io_scheduler
0,15.876691394434616,45.60802696090912,56.759175384143205,75.0
1,23.846990827486493,51.625558090304764,59.20194669408963,75.0
2,26.575854055834878,54.54181013328355,59.156280179287734,75.0
3,16.310629938301673,58.70821331796394,58.34749714323324,75.0
4,14.335719084185563,46.90814147893222,75.65538766014535,75.0
5,2.808125454094638,29.88952211437989,68.214156616999,75.0
6,34.30320193700453,54.719258740059324,60.43246647032602,75.0
7,34.64584291860947,55.819545842763205,52.45887488452229,75.0
8,18.659163667382735,77.71903869089641,66.95564073774302,75.0
9,37.70598486966606,43.73812264057646,40.93546036156237,75.0
10,19.998591103631387,38.28907461140725,54.222967824136056,75.0
11,38.46945087068317,46.47153428029632,48.11326211430347,75.0
12,10.203344142416459,57.164444066340145,60.87905445093609,75.0
13,15.608160440099903,58.65653859590993,50.62006681808896,75.0
14,11.042687159645798,62.30183852947698,62.8719100908793,75.0
15,14.452982952691393,55.3637452351299,55.00572405545824,75.0
16,23.81158650082793,54.83156686032009,47.3574688322393,75.0
17,6.527476538835402,52.83675203344044,71.27890741913598,75.0
18,10.631651693379503,45.03945229169679,53.98458722629662,75.0
19,34.179489021506534,58.7951432125214,60.57799918969628,75.0
20,25.206267072693485,63.48965708362725,51.10843547785789,75.0
21,31.422145220452613,66.32777925957777,50.86468074756959,75.0
22,69.37964313244125,33.02078126525404,36.82707567071368,75.0
23,6.149428781006826,51.353176604390534,57.321963645367795,75.0
24,13.022359674187566,58.709227717906124,63.11705437107995,75.0
25,9.558851550865832,28.47216807154055,66.135376717445,75.0
26,0.06082867114206447,41.280746834201004,59.3249140080942,75.0
27,33.85453811968496,55.86205399927082,31.54498843369114,75.0
28,1.865831289422263,50.66953713061827,65.55520931444643,75.0
29,14.566770575334452,51.464918869198115,55.702828678376854,75.0
30,53.82655420996357,59.02824568207025,49.727429681686054,75.0
31,31.638924214798628,45.42070916789616,59.21399537990194,75.0
32,8.009878146265166,65.68445884307663,71.03419170887882,75.0
33,10.572376131078986,49.46590178941424,65.75403330517743,75.0
34,56.31631968144123,45.749373755014155,61.508734885843715,75.0
35,42.48589030911732,44.60704720986386,62.52802481776488,75.0
36,15.936172325255043,24.325542384187756,47.70722422957621,75.0
37,24.302560738090193,44.30104559848146,66.55843334455946,75.0
38,13.613691548626862,45.407190282705095,60.34951492126331,75.0
39,20.282559446114377,32.4799007241309,50.5720133856516,75.0
40,20.237955408067744,32.804974218544764,49.181661895160055,75.0
