unit_id,ProductTiter,DissolvedOxygen,ViableCellDensity,FeedWaterFlowRate,pH,do_FeedWaterFlowRate
0,5.182308728860346,71.91556919108082,64.47218829799777,63.32563373773865,35.54947911100577,60.0
1,0.050301848102752636,63.005291711565874,63.0822918338374,57.91861014588183,70.25392654592082,60.0
2,-0.8614869748081606,62.464121375052386,73.3216316465103,63.21973941381725,62.6250422072168,60.0
3,-17.50671842612672,66.8438011459594,72.62004228695393,63.4761623366581,54.53962166741997,60.0
4,-7.795362786624621,64.74387396509914,56.01374466751733,58.24423801076509,35.231356423467695,60.0
5,-0.5022758528779138,66.57564504351556,77.22705097830962,57.3364285397013,44.10961397971268,60.0
6,11.359505519279859,65.6377425030433,69.38655650096571,59.62960946875299,53.598875824341164,60.0
7,-0.03667671986766763,78.99287127234658,73.52616575203966,57.2589730564909,63.89283795123147,60.0
8,14.741607840688411,70.66856112768528,69.55445871417925,53.49379870172741,32.58767409525077,60.0
9,14.292860668835228,75.44268082718202,84.68090694597828,60.36344338999979,45.853866384429516,60.0
10,-2.797615087411022,74.03705652763459,73.39456726642595,53.156060666298295,39.747302610785184,60.0
11,1.26366093999799,98.28822844771558,98.96407418591788,62.617947491758706,55.24926492346785,60.0
12,-3.765222830073864,73.02799666960064,73.48260089944439,61.35138452631814,68.89367673933602,60.0
13,-4.546773651017745,79.61755937698483,79.26824816939867,57.56474407888293,39.60385602455122,60.0
14,-18.96601368410042,78.07998984587621,68.6369810809194,58.26711855126311,18.433787145438007,60.0
15,-4.950034044056592,79.85369920031904,79.88501877476098,65.63872893643858,75.8858007733545,60.0
16,9.974983793805487,108.69347042993634,97.52381230192383,51.4624118838875,42.13633947629175,60.0
17,7.885277747512319,81.68851929759802,84.10922596272673,52.73010567759356,68.76338077461375,60.0
18,-0.6867295323489028,86.21954291745851,89.15085693787638,59.526016980732884,65.72037656800396,60.0
19,6.026049359631914,85.98222718762207,83.68852883317206,64.6133935437428,71.91232247214691,60.0
20,17.893152181890798,80.18403147015853,80.59374859161274,53.41633511323389,45.89470964923408,60.0
21,-9.845586256928025,86.35805944448634,82.00596774841762,56.62735973035053,42.99667752218281,60.0
22,22.41429143839137,73.4716992342687,79.35357083522827,62.526237485616896,61.75504850785367,60.0
23,-21.591561327473958,73.18032809202563,73.95377201786508,59.77391912686427,56.536535088775466,60.0
