unit_id,ProductTiter,DissolvedOxygen,ViableCellDensity,FeedWaterFlowRate,do_FeedWaterFlowRate
0,20.490584874193004,71.74197405534547,69.38184383931245,52.63375413254661,50.0
1,19.20531984489345,77.14543216292998,72.1621907791693,52.633368023513796,50.0
2,-3.152835756998174,58.584874010854094,66.74485550188606,48.200815460811576,50.0
3,21.423672066411385,66.67330013504656,70.87286765984197,48.357601415993166,50.0
4,11.488967133314064,78.58521095891913,73.04285586275523,50.755128573151694,50.0
5,16.38116481909186,80.92703964959397,89.61505038105216,51.252049247064186,50.0
6,-5.91197455987141,78.46344042880659,75.76718168922508,43.06235988764944,50.0
7,9.517139645637569,55.38515614481661,63.360111759538505,54.12401903657343,50.0
8,-1.6799401938051237,68.16133857568354,67.46176327541811,54.18015886048884,50.0
9,-7.379067615303435,65.67770915802919,60.643385881848666,49.93566988707609,50.0
10,1.33312287240925,61.05741424797745,59.19885121647317,47.22149627248278,50.0
11,15.687052201121023,71.87164416000702,78.12014994035154,55.39233643348266,50.0
12,17.991106433513796,75.96785672632099,69.1312846540755,53.73666621588767,50.0
13,17.434025083305094,85.49475227717782,83.29763392066356,49.185809846228466,50.0
14,11.181928031903873,79.45594473292985,73.67310252252427,49.826153772023844,50.0
15,9.817356187802623,90.82699276442811,89.06399667143823,48.44458844516141,50.0
16,-0.6299883067048069,63.25433173461052,70.59249800116353,50.42472497756273,50.0
17,0.12882113767002412,62.82600462882701,70.62210691803892,44.89952232385235,50.0
18,7.148046052829729,72.41818150624125,74.35945625080225,52.9579019799039,50.0
19,-9.344500895815916,93.59887728243409,91.77723304549971,50.21888245159735,50.0
20,1.1444889060870005,81.99088169196772,84.29221328687161,53.38319257973313,50.0
21,16.571976463329552,71.30478464026899,72.2528013751748,50.47271711526745,50.0
22,35.48326804908632,85.77091328234258,76.07651795039656,51.73027630792317,50.0
23,14.267856216986893,83.66809271801763,85.20742849777521,53.81925833750446,50.0
24,7.958565747731322,90.27480697768816,82.62254106019452,50.408554739508986,50.0
25,5.447506324913901,52.429383638088055,55.483252749311674,50.64642063247553,50.0
26,1.1003500505666146,94.82737199632261,98.90984948845579,47.53480870079016,50.0
27,32.93064685095438,78.4705632827578,80.56872509687001,50.47110084281135,50.0
28,-6.789414178630568,75.93073138711532,83.25655075820383,46.97850414342175,50.0
29,-9.746513534315572,72.63455109797447,77.01875228815696,48.14987064965882,50.0
