unit_id,ProductTiter,DissolvedOxygen,ViableCellDensity,Temperature,pH,FeedWaterFlowRate,do_StabilizerAdditive
0,8.758543589621011,73.45526296540878,68.23127597334933,53.56125070159466,50.759343363280394,76.70201780480815,0.0
1,4.214516243634958,58.53243750038425,62.92550627811586,41.3887749044822,62.184603385441456,63.20692495071879,0.0
2,1.5561158921513314,63.904698807419805,63.80115509889583,33.864967109557966,54.544368767785265,56.774577609564304,0.0
3,-3.55732292667786,63.30340168206772,58.624605562795914,44.49099615363072,57.28827750838254,71.16552453162673,0.0
4,10.328612442915162,63.49626957003873,66.25881655738198,72.42498559220742,46.19529508757046,74.80982268258387,0.0
5,11.45294072118953,66.97686377675917,62.375154594385506,36.78820398044912,52.07136380163459,71.73224761604206,0.0
6,3.9050473930783474,75.12284941433353,70.91112987584637,59.55638324311933,47.34309328129176,62.44474586762201,0.0
7,5.677188632527721,82.76337465329243,86.70779538851546,43.52737295069547,49.20475585331529,85.13774179888996,0.0
8,29.51614028434937,76.24717444602541,81.02454716480091,70.24767423851475,34.535698441767735,55.5508046583544,0.0
9,1.7648663747915208,76.04287670330258,76.49509115355295,32.407161880092495,45.633277124817035,47.926596738313265,0.0
10,15.588255840096291,61.288853671881796,57.74882708392699,60.01513705166796,76.44794098402195,102.36889421313559,0.0
11,18.1939472383758,92.29341713953282,94.48472777451725,39.473579650635045,35.22526318657343,77.92325580268096,0.0
12,4.826383677009251,72.22205249691304,76.30968194558,42.43917167220329,39.92580485216223,59.59922516457053,0.0
13,25.62992239118506,84.68561845901249,98.8237983897924,56.216678332856276,56.924991917506304,72.29414518893896,0.0
14,22.10617743645411,63.84693867769342,69.43672597496953,35.95535752271828,51.85232445805538,55.0249268561144,0.0
15,-13.673803162245957,54.42765120170801,56.2122673393449,44.70858867223964,44.544419333684445,36.69106807719359,0.0
16,24.15027197113504,67.61287700188262,69.28148512296826,44.41007643067688,44.796447010016024,116.544619924313,0.0
17,-3.945484759002469,65.95684467652694,72.78603686660526,62.538810562102505,52.85769882299149,55.41379989258401,0.0
18,2.8032211393796596,72.19956341653467,64.97997590285185,60.61829737295807,44.81859534095527,61.70706927321387,0.0
19,14.382023373049947,63.501887645905484,69.61808526445384,51.055692681365564,28.72964925834339,61.41404710012161,0.0
20,12.393491394270143,76.54388125227909,79.4106549217167,43.56756843326005,58.318007584091355,85.20066356869299,0.0
21,2.517527384404287,58.60259452290816,58.857743486915766,52.94344042616285,52.54653241910338,64.81371554672681,0.0
22,21.445160715607923,85.26411429096369,92.06697106197,45.0202220172423,35.93549358482273,70.0036794435938,0.0
23,0.531416797820317,79.09504428463678,71.53122699158067,76.88395673263814,36.15518395707134,59.08676925144651,0.0
24,2.6174439974146706,74.40854848594915,77.85758934461187,49.762344830874625,28.38888188189291,38.736173927704414,0.0
25,5.980261437561768,83.9719070875073,93.69180154096676,54.711880854672856,68.5060222480562,59.963937443102374,0.0
26,-3.908845532225091,63.65920123859238,66.29976056371473,58.952388826999254,46.09362100465872,16.910894236875382,0.0
27,8.030582851951536,61.82253406537914,65.0778555055977,79.77584158115364,51.728350313038135,82.51894165684452,0.0
28,6.118441255011884,78.55384824091075,82.23088929225821,49.210014590743356,48.493013328435225,62.79802098893198,0.0
