unit_id,ProductTiter,DissolvedOxygen,Temperature,pH,ViableCellDensity,FeedWaterFlowRate
0,-2.6831762988263392,84.45696686026722,44.90325997689527,51.27436355915592,79.21748743269404,55.40884304031158
1,5.360301106309021,87.60303280324769,38.72611407812858,49.103883739740006,79.18356534484916,60.00656285197018
2,8.933226343413656,84.44536385312335,39.44195799379743,54.395848952775886,91.18191805408402,25.899301361037246
3,-5.208422610582936,72.84667505074378,41.958436677161515,37.746393505327404,74.40875987526398,17.575354000618397
4,18.5875944380861,89.09058633503815,38.91395361800977,48.76305602648724,76.44878925991058,58.544209926125276
5,9.138608695860396,83.28531488365296,69.58207112958594,68.35783148221982,83.92569724525623,67.72543505158728
6,8.011050600342635,80.51616537500124,37.77508609504798,39.92826984844857,84.32161450967676,69.91939259682269
7,11.338345089900809,83.23607175477503,60.12307547397673,46.12602152092759,81.21999473359948,73.19549222498902
8,8.79807222480238,88.6819387448431,60.1286299164502,63.23517054853771,93.26606220369571,58.86666679062609
9,0.6722649315572783,85.94554247447904,24.482572905694383,47.23413074615327,80.16564233428875,53.83100219732708
10,0.3983382483918203,68.88124694907293,42.53389059026906,69.41048567118743,77.71385225603672,62.56128144380366
11,16.263908975242742,74.16975783654783,32.1227484894224,57.319805814429344,76.26611914311941,101.293052585725
12,-5.379780708628385,68.82854964092597,37.09463468417685,52.36484313912028,65.33247649128172,47.83045688953147
13,14.038832926892308,74.18147673512124,60.88403799187388,46.559937388962226,79.80439520336027,72.16296526460077
14,8.912052140895252,80.12603977649538,60.65152088364178,68.59646234436042,91.17369680657507,79.24519392574122
15,10.89635374373037,74.77527420435592,49.921378929218584,55.9748633232386,73.42339835805602,81.7751950587092
16,9.179010950469902,74.48970582147152,33.31895909256959,43.163848995881935,74.51917514414612,79.70603290814452
17,8.880193725677417,80.89368152986991,43.23424734387548,44.70964530552776,82.98913706695113,64.2839928745696
18,-6.9950745409202,60.46371797189763,40.321688258691196,47.89025150883087,55.744759988550925,33.16913542157824
19,7.237490800152023,86.83903527956774,84.00440006599415,51.852665437941056,86.65402832284555,43.506093369442226
20,4.35635676824236,76.39237500734001,40.66659649750747,47.34494820332697,76.6839296148886,58.66536826877187
21,5.604818931717599,85.59247345821271,45.03796442488845,49.895128232449785,83.1728693328613,61.73723234009142
22,-6.8992403610363695,45.98777755978065,46.08339303320063,25.63006765625458,52.1086335788772,60.99575610341725
23,10.298208880885685,77.88134578509019,40.12493358079651,50.863877288067826,73.8361014493669,85.92180364143566
24,9.043670439516706,94.86161801998416,55.563035037705035,61.46790868226231,91.76186271777247,37.44275233336887
25,-3.7967401845908233,86.50523401316595,63.95271335330849,66.21005161600445,88.42716923666384,35.179266631072494
26,4.022293471184719,55.04604979150841,42.15356212194186,44.825124605084206,48.12467859635582,77.9019144949309
27,3.7959200383100398,74.75822857640513,65.87443410010958,34.25486516564813,70.6786038650508,60.539952276183506
28,4.779591567640255,80.58647208734656,56.914630291028814,70.46399255706405,86.90675342606919,51.602866466767985
29,20.417104979775544,76.40587970927169,50.7750164168536,55.65193956777213,68.25762357166519,61.07848311445798
30,9.267644395012901,79.2218024026911,53.99942006441258,59.71886798737924,71.20485999567347,80.60747134657227
31,8.377607372141295,54.626290084309126,38.91918121818491,45.648000845727665,59.04493847287292,80.65260621186187
32,11.005725792896854,86.89002924576457,62.696323724033086,27.7293155351736,93.79609789950653,72.47197953892734
33,17.83612129815897,57.31758223924696,35.37509747439804,53.962426537858036,56.71888209438448,106.09936403143074
34,17.123559067788413,72.94020249502101,45.54845670187899,44.409646510418135,63.38998988684418,77.60273605562105
35,23.768027863384663,83.69935862797726,52.870696325305644,74.56726818533747,82.36760121690281,49.11083970349275
36,6.473774455230375,62.759895178675,63.14163749568916,35.88901371714588,72.7418858523974,64.05735234010179
37,14.024536028431749,67.30097945835601,44.021346586586375,35.927402487257126,64.91499693611073,99.85598478917674
38,-1.6471507597063826,86.31525578197643,44.414766691157666,50.705923271067164,82.4784054015737,34.29632695525251
39,5.059461704278612,81.99398688958499,55.24922503764039,41.63277183297616,65.87919652523217,74.26075937416195
40,-5.664737734241559,82.81459508724754,29.92158749013269,38.95332600912822,81.02643678995446,46.08499108568193
41,-14.846349188413186,65.46666317570204,49.12430239202775,40.28596159999981,64.40685265805682,37.48483569670757
42,1.6049342996940958,56.69279563155195,57.13521434326313,48.566351853020464,54.12412735459676,42.88839596288411
43,5.378121318435896,77.39300048783404,41.15934466847556,31.116876133617396,73.80805042847415,56.52406108941169
44,17.773724422483852,83.43219328399407,30.84997907793538,37.53301503182122,72.83501083234736,81.65505120508303
45,-0.04327493694466744,80.04770542583648,49.91655285101393,62.78153395912885,76.5054959815656,44.30323316669231
46,15.712428043321317,77.12033584964584,52.841622224534774,48.218569236938045,67.56765120249811,86.82382912283583
47,-1.317406466942644,58.569454697154015,64.29098966211802,58.789702686027425,66.37722823026502,62.63826385930857
48,13.033961126113688,79.25018950146318,47.16077901344554,45.68547315635924,78.77715653813911,79.8835673158065
49,5.052651846886934,63.59135209278407,75.38578110054941,64.00502371406304,60.3421382823155,65.25766718451537
50,-3.6151842799349074,74.27353058802737,37.05493898360976,28.65843034910169,77.12733144249367,44.60370064576787
51,21.594306229755986,100.0788032786024,49.659043234670015,37.91583995634005,84.01007920063711,91.64723762114119
52,-1.764356061613097,68.16395819312166,57.62523140226397,47.808065042157956,72.72716146266065,48.08469056696747
53,-2.4743586175409202,52.90234093794577,36.48578154685641,56.07924370948776,55.67796797802253,58.28385275175422
54,18.44139475281726,99.07227965105874,61.46724867573223,49.07606554006247,97.7208575712117,93.81360253276145
55,-5.60111828177657,69.02435120544868,60.716753212361944,50.72412534194707,63.80151051573769,19.87560023810533
56,-8.335950628840928,65.12957001747932,59.7648205071635,51.55016031109498,74.12081664662587,39.48485571696755
57,16.030907540779673,80.71411227422095,68.43569735636291,55.05589929158719,81.28068665377297,76.5925979000675
58,1.8127297299256497,91.2768892442658,31.435869374640212,29.90527328570319,94.09639699054011,49.79589268458594
59,35.44251845475076,76.04662115246003,68.1172023842126,54.68781622124141,77.49093872019381,55.852454120177185
60,9.566886391654236,70.1801114575689,30.07961830175754,53.545563889642914,70.52022287413223,74.63622437677918
61,-4.192622183458022,67.55827500252518,50.130614304838545,47.13667067601809,67.25037413414366,11.82437069824431
62,19.524844716678462,58.81578604432237,58.69676340216439,76.85249865199832,62.81109357589493,111.55425679470366
63,9.877761771537799,82.02564973447161,38.1921006492683,52.31533136381289,74.876408745908,61.08127550145954
64,-6.160157485724099,79.02492976487913,51.55374470671286,46.157235829877294,79.54731900934041,24.773703856692094
65,17.943020820527558,94.34974416378918,73.74804351227074,48.300580215393374,91.6238890608075,85.9903658386316
66,2.827449124358645,74.3389212506527,45.4502085100594,47.6497215437537,81.9754578884798,42.431737277480536
67,20.312569969307035,97.64450299931976,83.14972986470379,59.199408722329544,88.92319327097995,99.92920627270085
