unit_id,ProductTiter,BrothTurbidity,DissolvedOxygen,Temperature,FeedWaterFlowRate,AntifoamLevel
0,3.8814418763368437,60.65325886138034,51.95191628827953,38.127496234684635,38.36327693830325,32.67576098345438
1,13.830534080702751,71.57124660256589,54.2502440670023,36.4939504648371,39.95763464166251,41.60990535233137
2,18.679013846326626,42.59911235507176,67.09544003550828,41.03556474344981,27.569479375088214,37.7691756366084
3,20.10874377087229,40.16475733928241,41.47051414551145,30.80529963342093,24.1125930146642,44.91522037042163
4,22.944700547023373,78.47327475844735,69.31225145117719,35.163251592812955,39.756773939039874,42.00233948356375
5,15.01114555983005,54.616218484108835,60.578927213173664,47.217491601817414,42.47404679233211,71.58044940935171
6,7.780239341540771,52.5377066854932,53.25306861353948,30.607728450328892,44.34424548126427,45.27425839843808
7,15.002347974108769,71.27000123939538,62.49655149573861,34.900399816083855,45.26971550952042,62.91503804498118
8,11.649252865464122,52.46841005601986,60.11320613117968,42.63752847743259,39.99273515808112,58.801895676701065
9,10.178242298463148,65.5860629357407,37.948555486121016,36.723157181112725,37.58181840210932,32.65315496780254
10,12.127550571174002,30.584588513375646,43.767729208785425,47.32133037692661,40.72844857548736,55.10900493028727
11,-1.2967056793116565,51.94007538242189,30.755457507410693,40.79668736953303,54.68115797816045,28.9521813675836
12,21.219918133135124,48.687664318523915,54.43965863162025,37.37466201468474,35.669680133591825,38.47672149655746
13,15.760049846119962,34.985302865451814,51.1131738567758,34.375169899473626,44.69139018218569,65.09666159223777
14,0.7596191892706079,37.48990872090236,46.27715962713546,46.47886795765355,46.89785437355264,57.60678697793521
15,8.00260519081089,50.45256372638838,50.00558783104474,39.62510525293473,47.86874177550876,40.661307502817756
16,11.832985815176002,61.88887201227758,40.582782989599316,34.15396064167992,46.80263395194709,30.55060855656731
17,13.590544041461156,43.790743955969255,56.965825907459646,34.53242243083397,41.6282863382758,42.83533094146428
18,48.2012271073843,37.491328337823816,45.02264512554202,36.38240104269969,30.203630958735243,39.67241633166566
19,17.968936547946345,60.05774291996775,71.44308191213631,38.23748175855468,33.7231481294003,81.63040172564979
20,17.588143680949447,46.08244649438696,60.76097109919175,36.56192742494776,39.03866017380473,36.646100257098254
21,11.86166120884226,66.26597239616729,60.579382503191745,37.29224719199486,41.04715870308222,49.45283945258589
22,48.419275754449295,2.9303958989825034,53.08334413033464,23.04517115931675,40.5396663845042,45.048846764791904
23,5.849849071379407,59.64305538458006,40.9669349049168,37.86794468583828,49.20762111987845,46.24099273627449
24,16.018495228205744,46.11240850774862,51.87898071338795,42.53893777489101,31.79518950300729,59.63241949309081
25,7.863357700605939,47.35529294438604,53.37301810129725,44.86294235376099,31.201652877372002,62.226334987618
26,25.939773312459838,31.58805466993585,46.861144830931195,34.46120262373164,46.81034894457378,39.07288383713926
27,19.125957030935005,52.25581417399795,55.42077896499445,27.52933907624819,39.92266104931025,73.07412426404629
28,5.8897356545207575,34.107065972338944,44.27393276303856,47.11825780949703,37.53454901458704,51.17051576617504
29,22.704250520310055,46.84801834496828,71.94327138400263,40.697977283320775,40.330120015774746,54.065641962756814
30,14.418109024880753,66.32836267880793,58.89559075327785,42.61089702158744,47.17724777719894,52.53896822077571
31,28.29135083747528,21.315284240041976,51.64102565898462,35.11795422397005,47.093133651201676,43.54367780669989
32,9.247825213347618,46.89834268365596,57.275578911490854,25.037135247965733,44.57458541751194,59.59355745350855
33,22.231846003189517,36.13612922267871,56.97565160625843,38.878968686894076,56.92623104804179,39.074369009655676
34,28.486728037361353,61.46332013037243,58.261024361683326,34.392272164645746,46.35825314618437,50.52728755871878
35,23.93680162595975,51.87605710523638,75.72761793133998,50.37777668453572,36.1271487000689,50.42445532226473
36,28.377063874227105,36.73252456719919,68.38400436620799,28.95243476914493,41.42375114123556,57.49718181356412
37,13.018826693943575,51.563547383129865,52.14899364502489,28.288619382134335,54.16720617033156,43.2505695892138
38,11.071237991175748,53.37527657036884,56.34157367786433,36.93254051537221,31.018131288775837,37.19283762229009
39,-2.63907624398536,59.16172357139127,40.79606771165154,31.88786524769422,45.39611136256511,52.470175654958396
40,3.8990502313509907,46.389450158908666,46.27163114003401,31.53869067446595,35.015700623456894,27.628076825742724
41,18.47783446687069,38.8430349767168,35.74859728608741,32.08172532614052,31.480031688426934,53.884356566951986
42,45.4398979483753,23.604666132212955,63.674321705427715,34.55380537136205,33.98278839632304,50.31221902994978
43,20.052138506889865,58.580844649547714,65.66015499088671,26.983878878994155,38.74715445633986,41.41137464120755
44,17.697641614313476,72.15325566604423,51.77091905387708,30.910199221580058,48.05126273744997,34.315450769005736
45,17.73672866475571,63.812314505223924,39.80241101168032,42.534339060901885,34.53978500096417,56.28987605228445
46,17.573338405954846,69.65108041673521,56.537226517654624,35.56226969735316,50.04558405259607,54.59958410764305
47,29.641866914677564,29.230924330758956,58.09005290840147,41.09187482908589,40.497379959170495,65.5381207184166
48,5.305399662264396,44.90179217606824,38.69738090149287,34.67114709223461,47.51359989408734,54.43110061406636
49,31.47402774753708,40.05724320143726,64.84518012030189,43.32245208796754,41.47666834609252,67.69350984180464
50,9.372438987333759,40.546862118112365,38.290769718798295,26.190228230242333,34.224978450585255,33.40536520772495
51,5.746502011934425,79.8997323903028,45.20639163474757,30.270838031482324,51.52331242933236,50.325632265242525
52,16.22014571119182,29.386546720339542,47.24563810503081,35.57421006493756,35.4881084479759,57.47612808702229
53,43.62782838091508,17.83387195491635,61.825785790539776,39.955755051623115,39.456273548552225,38.48784287055643
54,2.1003139212546555,62.69318962030894,46.23102100205892,35.42931924679118,52.082991332845666,62.68312549956662
55,35.49926569904795,47.383557342472564,51.75544672229709,38.19144977326139,25.52930577723368,60.64564635479588
56,21.613024598201267,31.80148608762592,49.33484109817518,36.84451348054002,32.220297042941596,52.06682085297913
57,17.720053774884946,57.22927035351137,64.5864536432729,40.74446996431357,46.20647341553703,66.15712432236292
58,6.613267803002795,51.84942059907913,39.21696972668469,26.781593660451886,35.825844130996,32.30839648049684
59,25.621124373906124,37.36303719329102,85.39513310930045,40.36747003544747,38.55114633114013,63.47268181650841
60,20.126517662568457,48.724410180290405,57.02577871326521,38.69559640825465,45.190662591924095,27.535839194490265
61,27.666268373052716,36.241419272959384,29.142997493481158,35.81166258664708,22.754911560523304,53.19721770058419
62,21.49163575347024,44.33570162625271,55.47275605697443,50.90996545550276,58.98252424027491,55.30671965767554
