unit_id,ProductTiter,BrothTurbidity,DissolvedOxygen,FeedWaterFlowRate,do_chelator_dosing
0,45.869530358484404,18.762035683266642,50.99987558366918,53.6986039861216,50.0
1,66.05387848183116,29.91900637577618,72.22140811228554,37.93604773127469,50.0
2,53.36603022280236,-0.45442729773925805,45.93550046693924,37.93549124558261,50.0
3,57.93167975871967,19.74265516951846,60.06601527257821,50.79202875312084,50.0
4,59.23160229434174,33.05547010027498,67.4777009332068,38.704848798294414,50.0
5,28.888985122980163,20.897622847002467,49.271503616593634,52.044286542999465,50.0
6,47.98739840650697,6.526393959804359,38.72727058288194,29.774256215281873,50.0
7,71.07544800193187,-21.345641965444937,67.71493034577426,33.747178436147124,50.0
8,42.96983239713206,5.508091914842616,39.20251583456445,41.64822913311468,50.0
9,70.116982081258,16.46449259448799,59.22726221318886,27.20455914221849,50.0
10,63.47044347929409,20.133927728332026,67.58422326427201,38.32525037102956,50.0
11,37.534660088007584,8.203779959114419,48.64275274122726,52.663357512661705,50.0
12,53.362498429719686,21.19052807916356,56.32833856233618,46.23131308751719,50.0
13,56.35820848231566,29.83991405037418,71.53707170592158,37.609715715696865,50.0
14,60.47395430333856,34.621621352640915,61.88057623888386,39.3617452192537,50.0
15,51.61337684155858,32.81311493890975,61.62127882696836,36.78448901892215,50.0
16,56.86098932828119,-1.0715325368442503,58.40751906889088,37.5003289931225,50.0
17,64.11326208738296,-6.524509831474196,65.36294317512147,31.024311430749492,50.0
18,47.90087861854321,6.077948956178066,50.87085922134251,43.40298927931811,50.0
19,43.60026918578174,41.57042815204974,57.665248270484305,31.55426097999885,50.0
20,47.91974294175375,17.544734121674434,57.27434082198049,37.4409855166785,50.0
21,46.97458556328077,16.96155201248589,55.48388891482877,50.067765352719164,50.0
22,69.62204460989436,33.87662940155613,78.38123949094177,34.426623829000484,50.0
23,38.582744915108805,13.439612831057918,49.990644039104346,45.8251792654176,50.0
24,49.111424973750175,39.663992154356585,64.23577639196456,37.47095440605889,50.0
25,71.83100322999793,-2.835528876279188,72.30951872714188,32.92204334989287,50.0
26,45.5494274252944,24.64644738654363,61.74700229802643,32.295035594314754,50.0
27,60.38757360653204,35.5921925708278,80.8277315736676,47.35104544172373,50.0
28,52.17276196349526,-3.114493600470862,54.81282054197724,29.33639592780601,50.0
29,49.37988191660046,15.617583611248467,42.315592261893485,31.11646031214893,50.0
30,49.739441187234554,10.163396734099255,45.63986902579958,35.27869568120139,50.0
31,48.44844469264558,0.9061367656909667,55.94201006983962,39.02662212314717,50.0
32,68.98989563496949,-17.95820550975307,83.36215722784337,34.812725095338614,50.0
33,33.052841012676765,33.347568735457195,50.745869298064235,58.239635012777626,50.0
34,59.216354517507796,12.570658099648726,61.89853485481759,58.43606106618199,50.0
35,44.02627791899365,12.035937218539825,47.79566604663246,38.76873411141215,50.0
36,49.218896300053565,24.194545416294183,67.207387377002,42.70138215639441,50.0
37,32.28826686251346,41.209793122126754,59.39252996949301,51.97821298113342,50.0
38,68.63986902179481,2.772611747702574,62.2132786811783,50.90572091422452,50.0
39,28.464758070025677,21.5043908183331,47.36885524948069,54.10579268113079,50.0
40,41.85872105454537,27.85435293806541,42.63495439670855,34.32870702343755,50.0
41,64.00281841891254,13.843106331887242,53.923395059367294,30.01462467864757,50.0
42,39.37760485471366,22.53920583764431,44.479179367342994,49.22677072310764,50.0
43,64.57199831024329,8.853420611216334,59.4466923128586,41.88676409500751,50.0
44,57.702156588860575,15.67720685194313,55.62912827131153,51.52237884109022,50.0
45,54.38455069966079,-0.3481411289891696,67.11124385430806,38.11169749903931,50.0
46,54.463561679642154,54.32952145732148,59.508882076095475,46.12695502031838,50.0
47,54.89559567893433,5.073852471117835,59.52862901436693,43.13915846239115,50.0
48,37.42637973115942,15.990155887920748,46.606245386634505,52.131781897385395,50.0
49,56.77936056482383,6.34273518839925,58.53685720773403,35.27993890358641,50.0
50,54.835450311711206,23.580457734796205,61.08299791906318,27.38133617212349,50.0
51,54.1093686157437,-7.5729874169121025,39.63349469579784,47.801674935493025,50.0
52,60.39388884647656,9.30446985236335,57.40107338478975,29.467181748310566,50.0
53,56.361822864356526,42.44690893474833,74.89174125267014,39.61150453539356,50.0
54,47.459882214832675,-7.876215673935956,45.64131687930589,33.651484410874474,50.0
55,52.56585738819985,32.91608499250135,68.73444549998212,41.824203605824536,50.0
56,60.26300153298519,-9.060552920038303,57.766232077941986,29.609720315145143,50.0
57,51.16143973007377,22.57362525999572,55.20951052383635,49.098240050729444,50.0
58,51.90970346483543,20.762551435834123,59.41028253285544,30.53635069422244,50.0
59,36.94329798650758,43.65971540367693,67.6111604874801,50.85756385157331,50.0
