unit_id,ReadmissionRate,BloodPressure,LengthOfStay,Creatinine,Sodium,do_adherence_program,do_diuretic_titration
0,39.03462973122393,67.58494903040027,43.46899065157892,61.06091042416757,41.72189602260825,50.0,40.0
1,38.77183221996051,28.10067196739581,42.13015664948244,68.56506623694457,56.53036178770556,50.0,40.0
2,25.746380128367985,44.59956808824572,33.77496949808005,41.825996056891725,53.42087379281672,50.0,40.0
3,39.55572277537819,35.22000842251015,47.06478824984069,62.153129095819494,56.40484558483568,50.0,40.0
4,43.084959500652886,36.634905368410806,46.744999359427446,51.252445027729046,67.88812798305796,50.0,40.0
5,56.59923925083408,58.20712951696897,48.35042627726354,43.563813252512915,44.34382365226543,50.0,40.0
6,27.88291825864455,64.0802323752659,38.1206703365632,55.4988460510386,51.99480449181648,50.0,40.0
7,36.80339859468015,56.574613715137744,33.98302397496147,59.81224335897243,73.33780493274811,50.0,40.0
8,26.706469163437163,59.56239355533603,44.674990850126335,27.663222142233067,66.8456419528978,50.0,40.0
9,40.63883136622762,56.64149622219481,22.52623108641865,54.12810915175113,54.81794565721803,50.0,40.0
10,36.603448307154565,65.9842879786107,49.766137176884854,82.34301278867284,48.75007729434846,50.0,40.0
11,39.18285528668793,48.298995021636124,29.74314521720236,66.95747500221528,57.15084211877832,50.0,40.0
12,38.10584732667688,78.44489204800594,43.36231441209958,54.71281403340732,39.040608513656295,50.0,40.0
13,47.0151612257315,27.01552988164097,48.173765469086646,58.20794505842431,56.44608044520835,50.0,40.0
14,42.19786492672431,42.4728276422457,48.840390205691335,54.18548864740445,37.79368763413403,50.0,40.0
15,47.19199811820162,56.07705086404522,51.14477053382673,53.927038640324476,32.050341142993354,50.0,40.0
16,30.03448189458937,58.21080592986907,26.75352001419694,38.05663436059295,56.09630287650446,50.0,40.0
17,55.34218393725475,45.66428482958715,50.30403657073737,41.45465270399292,56.77949442047468,50.0,40.0
18,44.26785874068961,46.005942522386476,47.68918135074277,37.88259211617143,54.895543827408076,50.0,40.0
19,28.86873552738734,67.52751440160502,39.246383281023874,54.28277842411754,23.820809601796316,50.0,40.0
20,29.559581493793498,68.12744950642285,29.77961964598113,42.1950845727267,49.45190037114664,50.0,40.0
21,35.174697952750364,36.551525170370326,27.427653459223272,42.59199967311353,66.10765840986708,50.0,40.0
22,50.75284389862834,34.51445309366722,20.72600089233639,46.55301139549903,36.11066269434759,50.0,40.0
23,49.77451827491231,47.54952822080371,68.04301154249559,55.673047038104436,51.250027519726224,50.0,40.0
24,29.131501947908106,77.79836987387608,41.46461390557648,59.30149827129103,31.710244665793905,50.0,40.0
25,57.45880210757577,42.793922797265665,53.486971389698546,48.350370678199035,58.701641025764715,50.0,40.0
26,39.54295007134881,64.37444725608134,32.78852929018949,70.01928738255596,40.713778049548736,50.0,40.0
27,68.4300605052668,43.56899476745596,36.79544059085562,57.52451078442665,46.49625593906582,50.0,40.0
