unit_id,HarvestBiomass,TankTurbidity,BiofilterLoad,SurfaceActivity,UVSterilizer,StockingDensity
0,10.178740479923903,71.91556919108082,38.283120449403896,72.90082423865343,42.58765304459883,36.107305337933425
1,8.438042531146044,63.005291711565874,47.678843845510215,60.77499680416718,47.5866649891892,27.76496402485867
2,16.500374408673224,62.464121375052386,57.332466998582824,71.46820082278377,41.3163399518403,29.315875952312318
3,3.4273432433845983,66.8438011459594,53.62222481516175,72.70964175818565,45.31332080378685,27.48212493959052
4,4.294061130035855,64.74387396509914,25.69659188305806,58.42692509215902,50.090113454186486,33.268121719599996
5,10.090054470249154,66.57564504351556,50.26683364872529,70.98713968561248,38.92136391499205,40.3699096118203
6,15.28087264477745,65.6377425030433,45.15770379435829,70.45048475138363,36.72119861928136,35.56223125474183
7,12.537829830412146,78.99287127234658,56.4254151321603,74.73693522356209,44.402590511974665,38.89792104020204
8,17.87267892859726,70.66856112768528,43.55969345695971,63.883548191141706,55.3036581037719,23.94654300686557
9,4.867379833094997,75.44268082718202,66.04513343428727,82.98389155214225,55.84944676696535,50.48114171187142
10,9.897807522237908,74.03705652763459,54.731011458601174,61.19021759983328,60.740817094288104,38.74634924396875
11,14.239070301589678,98.28822844771558,53.77246965654303,99.58200695460138,59.631898498390576,36.51205027128614
12,6.318001857892746,73.02799666960064,56.86263368753666,76.82973702042122,23.820536038426216,39.74055142059878
13,5.875295386836389,79.61755937698483,41.977879842125645,74.07324707854181,34.90536098803534,36.55275060989376
14,7.437123154177338,78.07998984587621,49.3435115580127,69.81482978958455,47.09645177457098,15.764013037023092
15,5.364041393960841,79.85369920031904,57.13521896846861,85.87344911751636,46.5870167351004,37.517136122195915
16,18.054676655966485,108.69347042993634,45.00609301692596,88.71769170003964,42.440183699697194,33.68757898237547
17,10.549736844551603,81.68851929759802,53.91006312462987,71.82570177533067,34.664974215809984,37.96345398930563
18,14.677718195828549,86.21954291745851,64.74504735978134,89.37249028547487,35.09721606032491,36.79308317929094
