unit_id,HarvestBiomass,SurfaceActivity,TankTurbidity,StockingDensity,do_set_WaterpH
0,10.61676269413946,75.27152833759408,66.9780351205337,25.844238602419004,75.0
1,13.784697622372281,83.09629060846298,82.67307531021827,34.340141210401185,75.0
2,-3.5912447820264735,64.1799789630793,61.76902221123335,44.92716378081741,75.0
3,9.921393839649006,89.95525717514661,94.31114588790608,47.65217140671414,75.0
4,15.444891803954352,92.42666180799888,96.28347332227722,71.38550834507983,75.0
5,15.148641910636755,93.67342936777082,95.80227303855176,35.600897342137955,75.0
6,11.232678365356465,71.20757808419017,73.57732439233178,42.457767835435476,75.0
7,9.517361820410391,65.95939723083724,72.03663856867969,32.547168871422976,75.0
8,-1.3483095882826899,86.02566514779794,90.23822136745206,55.267536536430484,75.0
9,9.843008477270262,74.30502800056873,71.67387811060799,21.26955782804704,75.0
10,13.89818303432575,74.6225346616269,75.81162870962437,42.18829697253582,75.0
11,14.880128193745236,80.21790952575404,86.51765051865277,17.502246017776883,75.0
12,14.283450001040915,70.66267365427247,77.56756093815598,26.273770074150832,75.0
13,18.479573336327228,83.03833183726158,81.35582111031837,33.98593242296208,75.0
14,-1.0962933907721464,72.63373478482293,69.57464395370508,46.31358898113569,75.0
15,13.459304514889428,87.09255374326555,92.32549768388519,30.37034933929784,75.0
16,5.411559420738367,59.79273383599202,54.01413375873822,17.67954147037989,75.0
17,8.16905569465526,80.63952188872997,75.85561731634822,39.63467039515359,75.0
18,12.409025145816535,72.81619800870158,66.58604251227688,39.687918390005095,75.0
19,6.924741114918016,73.53675861686706,74.4716120801585,42.88248765924439,75.0
20,9.902618567676473,84.87380763631876,78.13861172889399,37.22214512242371,75.0
21,2.7955114563536023,69.09425322973733,66.01700586109536,42.102197011826064,75.0
22,18.79214048649629,91.28844302832411,95.82286634130494,23.541100776494606,75.0
23,8.261420372404451,81.86688453517645,69.9577663831204,40.311533408872045,75.0
24,11.582847811230483,84.51402697968076,80.89383955208864,34.193429042672435,75.0
25,10.755392726103295,88.06458318480809,85.97225792012478,44.30960753944301,75.0
26,21.80870858023922,83.799045824564,85.58080557602923,25.313624750351753,75.0
27,8.562184779982667,67.91176229284335,83.1712479706945,25.78173662924232,75.0
28,5.874785301376015,58.07944590979477,59.865189387762165,27.094195920826436,75.0
29,9.661662605825017,73.31682967961713,69.8371848661875,26.30475459705935,75.0
30,14.912115150519647,93.63395699565298,95.65743488315529,41.55897710710438,75.0
31,1.5748042776456928,64.23848840050249,71.58011631475485,58.33519302191368,75.0
32,3.0840453800656586,84.204610643385,70.29276061602525,54.26124118523458,75.0
33,3.377342740114909,62.73428228824444,67.73768955062977,49.2216257933976,75.0
34,2.9532400156458074,66.96056332463856,71.15897015030922,33.54014392977675,75.0
35,19.990622069684314,95.02094967971676,96.97827746409784,45.54665728225259,75.0
36,9.081672509327568,69.98176587065386,59.98567243352386,35.702374794603415,75.0
37,10.161770019035655,68.82150981520115,70.33237488824177,36.83576439051988,75.0
38,10.0981715813067,75.17626096575864,73.62703401280362,22.193905989899186,75.0
39,5.163607054505079,68.60472839415169,64.86215871990436,28.372759263747756,75.0
40,-4.394643863765069,68.98799952309952,68.41509220539655,56.81490317033898,75.0
