unit_id,CapacityRetention,ElectrolyteFillVolume,do_ChargeRate
0,23.58627569438989,42.220645037619235,20.0
1,23.580928760182456,53.29758609428315,20.0
2,15.045812320758527,44.70004112815236,20.0
3,23.910072204921,45.329888222657246,20.0
4,12.851412611126282,72.53929297229003,20.0
5,18.39967224959892,52.128617578947555,20.0
6,15.329909573659743,46.24930042348767,20.0
7,19.2930985324214,77.08438063874718,20.0
8,10.508393333139109,60.80070119155331,20.0
9,12.68029617401318,57.236652929123316,20.0
10,18.462648044323814,47.12703041019341,20.0
11,12.016545682945866,49.784904231277686,20.0
12,19.14108807655014,35.42881135869206,20.0
13,23.169059865802158,46.02728299685603,20.0
14,22.235212000128477,37.1498102678642,20.0
15,22.19289477555228,31.33679288038542,20.0
16,15.803866387436331,55.68037475323274,20.0
17,19.424283373177964,51.2891005950812,20.0
18,25.025291839001596,63.003861072971155,20.0
19,14.905929233110335,30.631241849952094,20.0
20,15.960199591729094,47.41094489141521,20.0
21,23.780890113739822,68.91309103432248,20.0
22,9.078618875867535,34.74241571020139,20.0
23,23.616117191993432,48.94642977126237,20.0
24,12.864217912535324,44.49379838792349,20.0
25,26.28593505851023,60.05086615305732,20.0
26,11.293860412652581,40.79993295062076,20.0
27,21.839779445165973,46.416682531925744,20.0
28,10.35071609180186,39.48216830453625,20.0
29,17.11946034053819,62.40122704929202,20.0
30,13.095228942222283,33.3542050406337,20.0
31,24.38136955473967,40.576158504059606,20.0
32,15.662421823043534,49.60874226656792,20.0
33,11.645966815749414,48.738253824565426,20.0
34,5.471345302160207,41.95463514458254,20.0
35,12.563633559119603,58.16648108061336,20.0
36,13.960947621534554,58.191265325289315,20.0
37,10.921704335116445,50.31952439848693,20.0
38,16.22332045334602,67.15061615870388,20.0
39,25.571178191827983,29.516725496942573,20.0
40,20.343069727725243,59.97392557041031,20.0
41,15.131016376681599,41.34520482603583,20.0
42,22.80406677112223,58.8000097307948,20.0
43,15.433291631958014,55.757218655087016,20.0
44,24.792672614875556,42.71761464791815,20.0
45,17.046562125672747,61.310990737638676,20.0
46,18.23899862124163,55.051754512146765,20.0
47,21.89169463880201,52.648003627148704,20.0
48,22.29665552523978,67.47285271414283,20.0
49,19.556514790731686,48.2342010265593,20.0
