unit_id,CapacityRetention,CoulombicEfficiency,do_set_AmbientHumidityBatt
0,30.275416859488438,-7.421500962074109,10.0
1,29.806814166812206,5.984208755050515,10.0
2,27.91311255010345,2.0134282684868854,10.0
3,38.367693770419926,-9.653694471982892,10.0
4,27.095225600298768,30.334894077193425,10.0
5,36.651764487924524,27.815289162209126,10.0
6,29.71498177697727,15.436033066970447,10.0
7,32.9127997290403,18.73577708126377,10.0
8,27.519860569082887,7.634373742138732,10.0
9,18.146344964467175,13.33985269373816,10.0
10,32.006362506545216,2.5224656287938743,10.0
11,20.32150872564652,2.2757560739468,10.0
12,32.10247622118572,9.065105722392229,10.0
13,39.597570311457,-8.719646199532475,10.0
14,37.01070164523524,9.709498343272845,10.0
15,36.47757527353023,27.20419865946842,10.0
16,25.184436102132892,6.19192967050186,10.0
17,37.335376184234114,-5.776793510642015,10.0
18,42.70497125909953,26.4770782819838,10.0
19,28.644834787796178,20.520743604922437,10.0
20,28.776798554100072,12.715061538908545,10.0
21,35.42062515851873,23.67734747640575,10.0
22,18.222111808858816,-2.3123081836166115,10.0
23,50.59369855283754,9.28575112332652,10.0
24,25.54097782266734,38.04608220744426,10.0
25,44.196564004830364,13.924148468710872,10.0
26,20.184081836351087,17.862878531881915,10.0
27,37.98071776947488,4.050657043786766,10.0
28,20.35378619432348,22.515950164146243,10.0
29,34.96380084408775,17.605479956588724,10.0
30,25.057036547693688,18.245496946568853,10.0
31,7.972344705772094,36.448269761563395,10.0
32,31.150068134032455,23.855673317729433,10.0
33,-1.069806104144817,26.415457567510106,10.0
34,11.596769368565786,-2.204561502763571,10.0
35,16.679005907384163,11.144859120195475,10.0
36,-1.7829856696970614,18.189807554731082,10.0
37,24.635392466220647,13.327191340098315,10.0
38,29.30883605632742,3.25602809723544,10.0
39,37.550820310565655,1.6291120276387971,10.0
40,33.587449183839844,2.674010570939334,10.0
41,25.52892420545335,33.544394539866786,10.0
42,38.06717459126749,33.98706575867236,10.0
43,27.66204090652258,12.787179848044168,10.0
44,39.5647338655873,22.81951313628378,10.0
45,27.966277589653487,12.399806107067283,10.0
46,30.504199349072078,14.61445351972801,10.0
47,37.59547641638149,16.005564221707527,10.0
48,42.61641871409259,15.801636800963987,10.0
49,35.99867651745418,45.42203269623258,10.0
50,40.88161417388375,10.04576273348598,10.0
51,23.510304620980264,10.907494202029993,10.0
52,23.789759251099518,27.6108644788862,10.0
53,10.703817364975947,21.38229713985716,10.0
54,33.910813944474306,18.05020422935129,10.0
55,30.99473800408699,43.232800839750325,10.0
56,41.68009769389016,11.633128544809196,10.0
57,26.43252144467643,-1.2941236975010462,10.0
58,40.60287111272664,-11.94962296572043,10.0
59,33.222924217329165,26.217460434235896,10.0
60,25.231651643291816,20.70751041345435,10.0
61,24.22999368416275,8.16711413364384,10.0
62,25.446459128449145,11.467108332648188,10.0
63,-0.04270369734239621,15.279768949665105,10.0
