unit_id,CapacityRetention,CoulombicEfficiency,do_SlowFormation
0,35.96860059162907,18.42981069494717,75.0
1,31.64019911770114,13.18780918019397,75.0
2,40.59105604133846,9.22751579487525,75.0
3,31.901832881089142,2.7940819975542173,75.0
4,32.531992972256376,33.87395094375022,75.0
5,37.96957361445483,14.944237091260234,75.0
6,33.141779115472275,-11.428315843343132,75.0
7,27.58759502060958,9.650718866680085,75.0
8,29.01064873202412,21.625116019414016,75.0
9,28.28533193816301,17.001180011573755,75.0
10,29.907901961106628,9.014805550610784,75.0
11,48.34499611305949,1.6116807628538794,75.0
12,35.24054177674031,22.15219407822326,75.0
13,33.5207057304715,-15.046091124319144,75.0
14,27.20398282143792,-1.437589238760486,75.0
15,20.639593669146187,3.6774413970544044,75.0
16,30.07839397308587,-1.6599949151476494,75.0
17,18.200558934598305,11.043193821318244,75.0
18,24.431183045851817,31.299075229703085,75.0
19,38.99268281365841,-2.115991106305513,75.0
20,41.375355341177986,3.0545297798270115,75.0
21,21.870279942172086,18.816292672510826,75.0
22,37.444105084818055,3.005047801351746,75.0
23,28.596001717337842,7.092913888509312,75.0
24,29.723483200756622,24.011701471386317,75.0
25,34.04007661838573,3.9661466591733854,75.0
26,31.220739132663358,16.865249920904635,75.0
27,37.9562639295263,15.16062268855821,75.0
28,26.933241492891568,17.227022025955588,75.0
29,41.598699313024504,12.332091086671968,75.0
30,35.39842754819695,17.462368612679583,75.0
31,36.22409842342812,12.89955657895076,75.0
32,36.04894667400159,16.08486907973355,75.0
33,23.87085307482071,18.206715493759404,75.0
34,37.92662711793173,5.754474563339512,75.0
35,32.29468583855613,-17.974799724499665,75.0
36,24.378641122299037,13.529691769608583,75.0
37,37.04234867917664,-4.0920076935609035,75.0
38,39.07854272687263,22.835920289396945,75.0
39,30.459186423684677,18.31545885153055,75.0
40,34.521683413190416,3.188077697771771,75.0
41,42.05122306997575,23.12643306607858,75.0
42,41.4145792681437,-5.305993500045789,75.0
43,30.86496824488765,-7.080674242602587,75.0
44,24.067808138996945,8.822290373293718,75.0
45,37.11901341831875,-3.932531169277846,75.0
46,37.396789951929925,33.09113508937853,75.0
47,49.771699026643745,21.047931774730962,75.0
48,26.375587519777703,14.139019957905225,75.0
49,19.693974989584436,17.984035333680833,75.0
50,39.6210202124234,4.977771368579232,75.0
51,25.986925998863196,20.871561336863422,75.0
52,30.121473245842,21.73362235111061,75.0
53,37.624622404788205,3.874048600099557,75.0
54,29.783650554166748,-1.717021345090476,75.0
55,42.676504782970206,16.40066537491697,75.0
56,24.85858874036843,23.18600095764836,75.0
57,37.47199607193146,15.322752524990054,75.0
58,32.3732134831329,-1.820463148848777,75.0
59,27.985747818521446,7.0601045912819,75.0
60,47.46599200417049,11.082945383322599,75.0
61,25.386903812078952,8.79461527950857,75.0
62,29.851859364842614,-9.55963738674248,75.0
63,36.15921780227428,-6.648720457712285,75.0
64,32.9536433620107,9.169190209280139,75.0
65,23.72522048217658,22.272954988939667,75.0
66,32.259030028718136,1.5580293892639698,75.0
