unit_id,CapacityRetention,CoulombicEfficiency,ElectrolyteFillVolume,do_set_AmbientHumidityBatt
0,30.022983116118255,14.977596631916265,4.2873278267598565,40.0
1,27.385892779952812,3.3010769558430457,2.959285464863087,40.0
2,22.838050579987268,9.874163499511845,1.2416901437053025,40.0
3,18.68191329569025,22.577872318092307,4.198455331504477,40.0
4,28.391342147731155,2.786780588317006,5.617910180827178,40.0
5,32.08835997823146,18.978369456209123,4.143977165532399,40.0
6,30.915792163759544,20.652797582642823,5.27936315218531,40.0
7,27.973457085499543,24.17405823697844,4.881118616468004,40.0
8,40.03746270694177,-1.9015358411192338,4.770969932420523,40.0
9,30.030590642267615,13.904749955694005,2.5051300957242915,40.0
10,20.86250045707801,16.716096828382177,6.343916000473811,40.0
11,49.62959191760763,-4.093803601005467,4.462973885679771,40.0
12,33.295096020539276,-3.5682806800703943,3.824772995645715,40.0
13,42.042229038009424,-4.263250011460645,4.932432572182006,40.0
14,28.186759787730043,13.759920142634257,4.691808940334016,40.0
15,-2.6196696984492016,26.1798993267201,8.056432682143896,40.0
16,33.22810289579062,11.58442034278273,2.4607681065798115,40.0
17,14.497299612332089,10.966531652048086,6.489908096612112,40.0
18,25.660613873782612,29.626438653122047,4.846393504769159,40.0
19,30.249245555809267,-0.34539801620869603,4.80557785421934,40.0
20,35.945946295647325,1.0371852220006499,5.5081811874644995,40.0
21,26.906304481612604,-3.6530776613334535,4.079770743066022,40.0
22,35.111263279270105,4.282985597214528,1.9268480573504154,40.0
23,32.14871702420216,18.780204545118423,3.4803196774747285,40.0
24,30.81624016226958,17.94796700089478,3.565370912819378,40.0
25,38.04487619706958,-1.0165658723503483,4.36253739886901,40.0
26,21.779804356428887,7.6374383443361165,3.749924925764423,40.0
27,27.55590407563489,5.957350253160235,3.829395523567575,40.0
28,31.08999627358322,4.147054812119771,7.31606242018391,40.0
29,30.201140378192868,1.8899368091697362,3.98522293170244,40.0
30,44.857365289930165,-15.98937021761283,4.753483224934217,40.0
31,37.79466750148254,9.914724818542599,3.63692235906076,40.0
32,33.346447419736755,15.706474773409166,5.911376760340318,40.0
33,14.495967904871398,63.56756259876536,4.257460271624785,40.0
34,26.09233899097766,13.937597735124378,4.319846967440315,40.0
35,43.91659745128506,21.952478116230996,4.264941328431071,40.0
36,33.16977536361033,6.007194926893866,3.913143019953796,40.0
37,34.33485936254519,19.260011260223727,6.026910196710629,40.0
38,-2.983227461888403,39.74640576250241,9.584708209046406,40.0
39,47.84812929639585,6.83581894345837,4.482252914527846,40.0
40,36.62387875302444,-4.567121068467737,3.5772109963040837,40.0
41,33.590212539325464,18.789269364483193,3.691044061074418,40.0
42,33.77937561774839,11.309965715006838,4.255750512672841,40.0
43,23.58230196517882,22.139232779257306,3.4726565475419364,40.0
44,34.664162786750765,10.57161525676112,4.599321293127107,40.0
45,40.150878950398365,-6.182329513609179,4.391114927588194,40.0
46,9.203940678848744,25.862090108641183,6.61927289946486,40.0
47,14.361709626087508,13.598521504606943,6.139969799794323,40.0
48,28.80420277128754,22.414820882852528,5.158407070492388,40.0
49,26.12364094802,-5.976312696391897,4.509902455713282,40.0
50,28.63068832191482,10.910955704096926,4.558143145739031,40.0
51,21.963067051916457,-0.26496299672185586,4.716200000759702,40.0
52,34.226532009364824,18.986385449299178,4.77703898085709,40.0
53,12.614839747941396,38.9641554210146,6.712855580681503,40.0
54,46.936069188881596,-1.536627303307819,3.772845591104677,40.0
55,40.17910263608595,30.192951181396378,3.937877974580502,40.0
56,44.7707836677997,23.311963578231765,4.440808065125466,40.0
57,32.3393418263087,5.46356058958145,3.5411803561430992,40.0
58,40.22275013960282,16.827994637875715,5.644469067696666,40.0
59,33.46516950269729,7.218561098372592,4.652154027432008,40.0
60,32.45684453147743,15.70303004669962,2.130308092092509,40.0
61,33.68549223087952,15.632370499750667,3.899453383038027,40.0
62,9.584540640060371,33.58767842585758,6.349844561205538,40.0
63,39.68292726456288,20.48227678833117,4.495883164927552,40.0
64,29.111401082941352,13.217340704398463,5.220871271224978,40.0
65,38.13818112064218,1.6752823108360957,3.6713239064319616,40.0
66,44.49141461117648,6.159362817633662,2.455363003463055,40.0
67,39.89856475685549,21.589035379526944,4.836004129094914,40.0
68,30.18461921709782,5.453032413342786,3.6840936722244613,40.0
69,35.553268482514554,12.56180243879148,5.653608785942688,40.0
70,32.22296884044848,28.044649274694724,4.675696352201084,40.0
71,18.858916991710775,11.197879668581326,6.480436475058684,40.0
72,20.82145878342881,13.56649660820544,6.577964734284275,40.0
73,23.001734393255017,27.002656032240022,4.6744572493661085,40.0
74,36.601044291436146,11.291560422534182,2.5716539795530546,40.0
75,37.709573135963055,12.553845533007198,3.484030329905266,40.0
76,39.52823952782454,24.138974257045554,4.361861846630328,40.0
77,20.33320528758725,1.5752651077093471,4.291114507453256,40.0
78,46.80547517571233,40.13430491586837,3.932227508648029,40.0
79,24.010802584986635,-3.1018382999192635,4.4482489740402364,40.0
80,28.52121229291131,14.523084088546593,5.609900154879177,40.0
81,29.11437416212236,19.901558536130004,4.573901862863469,40.0
82,24.597118699619323,8.577477685550717,4.1900066837451195,40.0
83,33.437728265177114,16.71833174054088,5.548442550972397,40.0
84,32.01719711250871,21.944015475086083,4.152591035174016,40.0
85,27.06220402508291,30.10346566090473,4.7551601716071605,40.0
86,15.042644229627516,20.32553918524817,5.584749366749786,40.0
87,34.99358265041789,12.119532772947732,5.197414496106878,40.0
