unit_id,ProductTiter,DissolvedOxygen,pH,do_AntioxidantDosing
0,-1.5617138716346528,71.91556919108082,41.47267802168993,50.0
1,-21.03844646765776,63.005291711565874,45.002221624607124,50.0
2,-10.017298984829216,62.464121375052386,40.84002482838687,50.0
3,-21.335442443047032,66.8438011459594,50.52987256274973,50.0
4,-11.131075517231217,64.74387396509914,48.70791506987268,50.0
5,-6.755477322768583,66.57564504351556,34.720449745825135,50.0
6,-6.735250265014956,65.6377425030433,36.252617311899854,50.0
7,-23.772153514881616,78.99287127234658,42.49709388560951,50.0
8,8.110915659574863,70.66856112768528,55.9527972732309,50.0
9,-10.103322234563938,75.44268082718202,55.1267605215462,50.0
10,-5.793462622518553,74.03705652763459,65.06561433634428,50.0
11,-15.59326408424732,98.28822844771558,59.628727983701225,50.0
12,-31.785806212938997,73.02799666960064,28.866869118308813,50.0
13,-8.422646818576322,79.61755937698483,31.522190008590577,50.0
14,7.099765130302027,78.07998984587621,45.65658466768091,50.0
15,-38.88252569308753,79.85369920031904,47.19758563511918,50.0
16,-1.4174519029154407,108.69347042993634,36.772851257270545,50.0
17,-19.9314387849663,81.68851929759802,35.51446152687255,50.0
18,-17.584572244283628,86.21954291745851,34.98602803725115,50.0
19,-18.628029218156843,85.98222718762207,63.809397306326446,50.0
20,-13.629407525163383,80.18403147015853,15.998395038589143,50.0
21,-8.801272287081353,86.35805944448634,28.16802854332254,50.0
22,-8.351512782676494,73.4716992342687,53.3155074454081,50.0
23,-7.644975483947413,73.18032809202563,41.775192394260856,50.0
24,0.6424417941514009,72.3288583551107,54.65348366240858,50.0
25,-21.48331781821071,78.79969308152675,47.95568243153571,50.0
26,-17.575976310997877,67.49868078981842,61.161332741280184,50.0
27,3.1828721835617517,86.00321257144047,38.95349761520868,50.0
28,-19.219676856646377,78.84140012617453,59.384768221036154,50.0
29,-15.82585577440663,95.85352895572684,69.5756136153833,50.0
30,-8.9814454085541,59.73056724121071,54.799947506859056,50.0
31,-17.61735361382704,105.01329662699325,59.108725250540566,50.0
