unit_id,ProductTiter,DissolvedOxygen,pH,do_AntioxidantDosing
0,-6.139660294187658,65.2382107374582,59.495478294808734,75.0
1,-18.38122351445093,65.49602679519307,36.40554956460441,75.0
2,-10.09017560223295,65.23444905989321,51.10430784383505,75.0
3,4.858723981938941,71.7599290454949,22.54200811246157,75.0
4,-9.776048294098219,68.16711801326655,37.04611945260415,75.0
5,-0.7971997892789098,68.22383871592939,58.479942835793935,75.0
6,-6.2045170560317695,77.28462326614749,53.259800233077236,75.0
7,1.0606454950109492,73.28980525911601,60.0168413760613,75.0
8,-4.911087281171438,66.04875169570454,41.283135905049164,75.0
9,-16.55196518217163,85.43857690734326,26.018585355777933,75.0
10,-6.414141464626519,75.23792376532816,52.28978285261578,75.0
11,-1.503688936138957,63.23826800057867,52.39506308508571,75.0
12,1.554364272700151,91.87467755690099,41.54384470234781,75.0
13,-8.420712346356197,57.645032855868195,39.26988737943819,75.0
14,-0.4059927901582352,78.89487434987912,65.24785008595484,75.0
15,-8.355184545555801,60.24656800714674,50.98428473106317,75.0
16,-7.7947394604635285,78.59781526711566,38.35647976259248,75.0
17,-2.1973604638197872,66.45093832776571,49.90630214320065,75.0
18,-25.27865999855053,73.06251085251859,63.54468540503727,75.0
19,5.150898255311534,68.00640738703287,45.203701536777444,75.0
20,-2.0430270906192107,86.7965654176949,75.16724152031011,75.0
21,5.655629248244785,82.98317512959433,37.3326460868638,75.0
22,-14.37883720436207,62.953184224397724,48.49136896343639,75.0
23,-7.8504247671890415,77.6972911884906,38.681440274608185,75.0
24,1.6140981019176905,107.83057556091717,34.096788943984436,75.0
25,-7.849052146367838,77.69748709745153,31.553983140570537,75.0
26,-11.851939507545154,66.73345664794009,49.44715774667564,75.0
27,-17.992437910044448,82.7245150971886,49.66002529791996,75.0
28,-9.142431709272785,70.37451096795836,56.446829109507846,75.0
29,-7.751700778746821,71.52538084057575,53.876602084208095,75.0
30,1.3713718419740115,94.07798954855375,68.6563954458555,75.0
31,2.2291104877467856,79.78388120680515,49.08681317952878,75.0
32,-7.468441586532046,91.074082273196,12.512927197382657,75.0
33,-3.7240305880991134,96.49711242335458,38.25249269883094,75.0
34,-17.85000180155671,66.76813457293588,62.145811337867464,75.0
35,1.2241013990189007,72.17231984852108,35.02084639368093,75.0
36,-9.030089238269131,82.5154234571938,51.096933613424454,75.0
