unit_id,ProductTiter,DissolvedOxygen,pH,CoolingWaterTemp,do_AntioxidantDosing
0,-14.570483740081745,75.27152833759408,42.60586428786792,42.453323569095886,50.0
1,-2.8021367718200594,83.09629060846298,30.804266435467497,51.60691396735333,50.0
2,-37.54897576003257,64.1799789630793,43.66714725000513,56.90600308776169,50.0
3,-16.56551514792822,89.95525717514661,54.745260197129944,44.26665076049375,50.0
4,3.415978330840198,92.42666180799888,46.508075926656915,57.3821745526258,50.0
5,-8.424608900383832,93.67342936777082,40.206878310685056,46.06025090297883,50.0
6,-10.038331165868973,71.20757808419017,60.863357431845486,44.7331898161606,50.0
7,-12.5716626749953,65.95939723083724,63.72841020517099,52.18414060027578,50.0
8,-24.94073032190787,86.02566514779794,53.85998353543172,51.56351862705842,50.0
9,1.8016241940112963,74.30502800056873,48.38665264857085,39.64748858428676,50.0
10,2.5729115210070876,74.6225346616269,45.18214868146869,49.780535826339666,50.0
11,1.1290444199542735,80.21790952575404,17.835499964200416,44.2561772276341,50.0
12,-12.668198059335786,70.66267365427247,28.387447600314275,64.48804906726896,50.0
13,6.03267304575554,83.03833183726158,42.0361641468134,34.37929478199388,50.0
14,-29.74141892855889,72.63373478482293,38.04565482971788,37.42314089198096,50.0
15,5.394775412116535,87.09255374326555,50.180001973034116,63.444748578433135,50.0
16,-15.335080232079806,59.79273383599202,45.35034449409251,46.30101348463437,50.0
17,-21.672534997731304,80.63952188872997,78.18917217307481,37.675617048400824,50.0
18,-9.29328087798354,72.81619800870158,70.63467710777185,43.193880549019866,50.0
19,-9.495246105500419,73.53675861686706,36.44984968473549,82.38275290791195,50.0
20,-19.54615233395546,84.87380763631876,40.85835292969102,32.92412814136201,50.0
21,-25.348100476456082,69.09425322973733,48.37724272291996,56.96549471165279,50.0
22,4.6066257411205545,91.28844302832411,43.22453447633684,51.83698129788037,50.0
23,-3.1851907228764276,81.86688453517645,35.442568608564045,34.97315606761288,50.0
24,-0.055976706308066504,84.51402697968076,47.22876154101623,60.126978725740884,50.0
25,-7.450607626756254,88.06458318480809,77.91566916559094,68.41044860624193,50.0
26,-1.1649233320067829,83.799045824564,68.07790963011662,63.59018681638992,50.0
27,-2.8366812765497937,67.91176229284335,81.068328517208,53.91770453674546,50.0
28,-15.413213827346382,58.07944590979477,55.851159540163394,42.22038817768035,50.0
29,-5.147145018829237,73.31682967961713,36.60481485742055,51.27728603358961,50.0
30,-24.774316937089978,93.63395699565298,36.981131959254384,73.27107582194486,50.0
31,-2.4177489748501526,64.23848840050249,61.04021833883932,62.0637014582657,50.0
