unit_id,ConversionEfficiency,ReactorPressure,CatalystSurfaceArea
0,-2.6831762988263392,88.11596620273696,54.60123553831779
1,5.360301106309021,78.77779239863905,51.930575618921495
2,8.933226343413656,86.9224881635239,25.62184922696517
3,-5.208422610582936,70.02518708746179,29.146218293688626
4,18.5875944380861,78.51671051043365,39.787486140943514
5,9.138608695860396,84.213069478883,51.457579846799284
6,8.011050600342635,79.76357914381045,55.709270058171306
7,11.338345089900809,77.24529219386811,52.40065720415668
8,8.79807222480238,90.95422065324884,52.920001903944055
9,0.6722649315572783,70.8822534874648,52.87738502026452
10,0.3983382483918203,64.88306480823576,53.27110275294102
11,16.263908975242742,72.38010965211242,58.54717650598002
12,-5.379780708628385,64.07502596032633,49.54326593242518
13,14.038832926892308,75.5648489421798,55.11736191214482
14,8.912052140895252,89.21708615062418,57.545098463899954
15,10.89635374373037,80.95411271529466,57.50984683085279
16,9.179010950469902,69.87875990494625,56.71747381881765
17,8.880193725677417,82.90002739204458,51.69262365556491
18,-6.9950745409202,51.62239166063582,46.639670680194136
19,7.237490800152023,88.91337328512618,37.00897152611769
20,4.35635676824236,80.3135542984737,49.529704159832036
21,5.604818931717599,80.2405585275907,50.93372453012137
22,-6.8992403610363695,52.60386315025217,54.81799575853945
23,10.298208880885685,73.28354255622257,57.120281711920484
24,9.043670439516706,92.13153517344995,45.608097037970325
25,-3.7967401845908233,85.30837662286847,45.92116282861621
26,4.022293471184719,58.06213692261744,56.962721288324886
27,3.7959200383100398,67.18791527081922,48.81260405270098
28,4.779591567640255,89.69193188926651,56.250107363398584
29,20.417104979775544,75.47113305638977,31.782962255975484
30,9.267644395012901,75.37763478288066,54.04850409397676
31,8.377607372141295,58.072829685962496,54.766092575670235
32,11.005725792896854,89.83395907359824,53.98771842452958
33,17.83612129815897,57.43487873600821,56.30617396585814
34,17.123559067788413,62.48087667948616,50.60980922896663
35,23.768027863384663,84.39084947608686,26.598237222475074
