unit_id,ConversionEfficiency,ReactorPressure,CatalystSurfaceArea,do_InletTemperature
0,-9.860826640037967,69.04676931854192,55.027862680842375,75.0
1,3.181908667061883,67.92053067696096,55.20166485079505,75.0
2,3.4477144319166975,62.646857348941566,55.63916083323092,75.0
3,-1.6224422058575803,72.758794155448,55.28275036623407,75.0
4,7.901000170015788,78.65457011741438,58.0252646323583,75.0
5,3.1297475802475123,91.58591258344478,57.03873811412546,75.0
6,11.411968601248814,67.8797321488198,55.47316109729038,75.0
7,14.15323054368779,69.89415471769746,53.897553433827916,75.0
8,6.92020591544315,70.88224436707821,56.78807243024989,75.0
9,-5.020178613336334,57.90006018746184,48.68828962160853,75.0
10,27.193828896401225,84.55230238377723,55.044274920939216,75.0
11,-3.35615133606982,55.58299718011824,50.04877071205464,75.0
12,-6.69621256897678,76.92144890686711,56.06251685140232,75.0
13,5.296802015196276,78.39188961201019,53.46409179762445,75.0
14,-2.856767457213077,81.28326796250353,56.30716691792611,75.0
15,-8.698001272279992,87.69158571160608,53.62622710387535,75.0
16,1.4197208163148098,64.69018874476322,53.69042081287521,75.0
17,7.129909176979695,77.87912504325001,57.44779408949084,75.0
18,0.4024500646859712,94.42654775283108,55.08712259203698,75.0
19,14.139195612891971,69.3982570559301,55.34659835290369,75.0
20,1.681681439909308,67.46523655369579,54.21378288797623,75.0
21,5.078645405995992,70.02364269543709,54.37031043212499,75.0
22,20.541026594671354,44.8909598105784,31.740982110593986,75.0
23,24.188525146237268,108.91352035601905,55.54993910864783,75.0
24,-1.9857052510123347,81.01175410232864,56.30389515995778,75.0
25,5.740443701265709,90.15318285502549,56.852290228563064,75.0
26,-25.10965355882805,75.58857045636671,55.99873975766503,75.0
27,28.094944816338423,73.76275873479929,35.518438495813754,75.0
28,-29.825420117891255,74.67174764512538,56.77495027954488,75.0
29,5.41965223994947,80.65889651921307,55.2839769225896,75.0
30,10.61144689190971,57.460480204268784,52.993959589051784,75.0
31,9.929943721712435,64.77900958319773,55.886087660758996,75.0
32,3.61348878237607,81.8532743351793,57.42840770606432,75.0
33,-16.925803517757412,64.42053845987682,56.765642423256665,75.0
