unit_id,ProductTiter,BrothTurbidity,DissolvedOxygen,ViableCellDensity,do_chelator_dosing
0,64.30697019993147,11.631110977076005,68.33008804532217,51.309161282270836,60.0
1,68.95095523855743,-6.397212399618264,58.97288216633362,32.85948574842362,60.0
2,66.34069057384897,0.28610142813421113,56.746658903046566,8.766467840742608,60.0
3,60.14465990726681,18.7722588038695,55.09363134753137,52.96207982397692,60.0
4,61.75199886130829,-11.815164126222278,52.95701463243587,58.88273679902514,60.0
5,72.00411389981092,15.539180019952731,62.52353130540447,44.56172555248338,60.0
6,66.5635930530767,18.203234469729804,65.72860029465156,62.035769018222894,60.0
7,43.99608255839071,20.13046303824457,30.76679143380006,55.91111546489505,60.0
8,77.91785677638966,-7.453190616837458,80.97940142739284,65.60927344780103,60.0
9,65.46322480505913,9.711141163935974,61.24453967155127,30.46660798961989,60.0
10,59.177064714327635,3.483041932195925,52.86219018278626,65.27819303721681,60.0
11,63.8698583626892,-7.825616091255625,60.83688696892885,54.57361084459045,60.0
12,64.41464146973794,-11.322922003461105,58.97355009748345,46.72294891512454,60.0
13,69.40323895865527,-9.225173014699095,81.26226241812071,59.68922231973041,60.0
14,78.03614157292445,8.276009701120032,71.93908614812086,52.76886306654911,60.0
15,56.36813722764038,0.03831733274003213,38.37949658420544,61.772557376377904,60.0
16,54.803145352612205,4.948048766531736,37.67816467526164,27.365659149983525,60.0
17,58.980391499276465,-7.826944021147986,62.31920914711859,56.94648043700177,60.0
18,66.47051527024708,28.488654576425127,63.21962441280503,63.733765861629365,60.0
19,73.0367898511769,-6.276254662203321,66.9330484199679,64.10374397114717,60.0
20,62.18342021603942,-6.305802635265847,56.4591575571082,63.2361347899441,60.0
21,62.65399961617906,-13.594266483663002,55.839744654235226,57.65529877370395,60.0
22,65.08978350224912,1.96034065047931,71.9148095502826,25.509908316085735,60.0
23,58.74833829353641,16.07044506845753,51.769365813175604,43.05764367712189,60.0
24,68.79625171118612,13.443875802187556,59.98574825071103,47.31659267909127,60.0
25,54.541260477884705,-12.829763791658255,37.406465238619866,45.890890108929696,60.0
26,60.0213271509846,0.14961399009870835,50.010528721726686,48.289506773457205,60.0
27,61.25240810183111,-3.770533799009147,47.6829111706824,46.343702979585615,60.0
28,64.6770136063002,-9.813435713428404,68.2230318322891,75.84521542534091,60.0
29,61.933774804176316,-3.965258584646932,68.47239904426665,48.8227238747176,60.0
30,64.79028858591197,-24.405045468622003,65.79302258718754,65.79272483502471,60.0
