unit_id,FeedWaterFlowRate,BrothTurbidity
0,52.664475941192826,49.905687619849814
1,37.76581527191109,62.3169956452334
2,38.835108092042326,27.95383081260274
3,52.32210782544445,52.13265724182943
4,38.346404872700276,65.49188336404991
5,50.76978224263966,47.4541007320669
6,32.093814373421964,38.902703387418875
7,33.584468602913795,8.342807612112818
8,39.72146279103445,37.93886177199369
9,28.46533622489889,39.760046993100445
10,37.843346379901014,41.928636393814074
11,50.497378860829876,37.89406138100047
12,45.41323921543564,52.54117980627475
13,37.639248299486276,61.17127430667546
14,40.37500124036887,67.07475074174747
15,37.86428300474471,63.39325311063475
16,37.30153626475395,30.3978118451936
17,32.82390032629087,24.477322297958047
18,42.310806618136844,38.07620850829141
19,30.246222792536166,73.53668204850945
20,36.10570194475596,49.25803306073275
21,49.497115444425226,48.349862494292324
22,34.3487625539387,66.30626179372715
23,44.697999785699956,40.511015105331424
24,36.31441869239288,70.43629051617066
25,32.40307635127026,13.893700291955108
26,32.727348481528544,54.64660864502429
27,47.261632493838434,67.50466321041502
28,30.155597046270692,29.32705747326074
29,32.2325675101784,46.646573665395664
30,36.21168586127971,41.40525366682145
31,37.75684656161532,32.581417803395574
32,35.510941992030524,13.019852933631189
33,57.84053934667371,57.405349679496396
34,59.79019525911159,44.54219278934967
35,37.13572895876589,44.24941917164567
36,41.01774968200744,55.01475154605096
37,50.03987827350872,63.78447938720859
38,50.199248723127354,14.311724839612758
39,53.04297303305773,46.19241572848019
40,32.75221910435745,60.15365731014775
41,30.631770192947045,36.44267716926811
42,51.44173461927062,49.53435064440683
43,42.64224650027852,41.09805564313615
44,52.33857440480656,45.53048522691268
45,37.14591271592584,31.512684544101383
46,47.02175569644565,86.54213008036905
47,42.43458751516909,37.46034778691279
48,49.3764567126321,44.62363775391782
49,36.00419165738524,36.707244861063444
50,29.221093647820098,55.99800444801985
51,47.88209417086257,16.319796184895306
52,31.224338152933193,41.620771708928636
53,38.71027616418486,74.75712929438735
54,32.842894136611434,24.558832736235054
55,41.37547070341614,63.74082022696703
56,29.51892604708155,17.572871005233708
57,49.68876617850935,54.71925184185584
58,30.879176917934917,51.93851791183821
59,49.644664243824685,68.94479174397019
60,42.84682068034915,50.429099621312616
61,48.99655762815086,1.6575541309786601
62,41.737450195679585,68.50320115044427
63,33.790832096125186,53.2918114027865
64,34.470934713077135,60.13075798840274
65,40.326398721034714,31.97137518560362
66,29.48183528093023,36.266784894016496
67,48.56126323194693,49.4684263381277
68,33.920394357305696,32.03764667053296
69,45.86720582825762,25.108554708428958
70,48.90644464362881,55.56124380012765
71,29.583280793164384,25.91969630428111
72,34.10535291922744,31.35651792148257
73,34.84974161441487,19.22540323219338
