unit_id,CropYield,LeafGreenness,do_FixSoilbornePathogen
0,-30.488304734604547,51.965752991470715,100.0
1,0.32680601352995664,39.724379540694855,100.0
2,-28.948913912628157,42.697241287093554,100.0
3,-26.697215850802962,57.49075005812477,100.0
4,-11.383580774005472,50.57135248863696,100.0
5,-32.08221348579379,49.638718572753035,100.0
6,-15.634708808716521,35.51393913113722,100.0
7,0.9818952847747027,-3.0655169836457326,100.0
8,-31.63972898952319,43.253647094426434,100.0
9,1.7118152047407733,32.370652615794214,100.0
10,-20.515623365095287,47.08440624431743,100.0
11,-32.135913292439994,41.58700687823334,100.0
12,-19.251332257731047,46.24860701258505,100.0
13,-1.5902269218573633,36.977892107372035,100.0
14,-12.848547016491587,57.99709221039497,100.0
15,-8.348055371041195,49.432451379496726,100.0
16,-21.875332391856173,32.69526073063093,100.0
17,-7.528426568988299,16.475819995237476,100.0
18,-24.757189135924815,38.27340038934532,100.0
19,-16.42582088876885,60.64531611859685,100.0
20,-17.261893466276206,41.537435920435925,100.0
21,-29.65175848840295,49.605952657706105,100.0
22,18.830395207268406,25.3406559323794,100.0
23,-22.458863559256635,38.632012385654015,100.0
24,-11.550545409611816,51.84056502800745,100.0
25,-1.46422078003396,11.546286834843494,100.0
26,-7.452979594961393,39.0438143260734,100.0
27,-6.007412230176126,45.964075623731446,100.0
28,-9.160618782203992,19.57427010675117,100.0
29,-21.13781556367674,50.93915228704233,100.0
30,-26.432909902213144,47.654265924892194,100.0
31,-20.575647419851023,27.534688577652005,100.0
32,0.5069218314424777,-0.1913060566301219,100.0
33,-29.05326881069443,56.73349475143115,100.0
34,-31.63486032992938,52.777043226514074,100.0
35,-25.87339364256813,44.66319520564025,100.0
36,-16.748282923105556,43.31323409059313,100.0
37,-24.58879738821777,55.86723126329666,100.0
38,-30.51475240538827,46.09378491602804,100.0
39,-29.23633713675561,48.17309135365126,100.0
40,-24.53045174673848,57.145377056187726,100.0
41,-8.355738730142575,36.003341153159624,100.0
42,-23.328070710458086,50.35530535888875,100.0
43,-14.151684511529066,39.050708795617695,100.0
44,-32.796746948139194,58.1339103644456,100.0
45,-19.334736050808196,23.013153758675443,100.0
46,-22.928375537172624,84.04715930822698,100.0
47,-23.846684526900304,37.6867425740668,100.0
48,-30.732856299172383,45.492142517324396,100.0
49,-21.279182873279293,37.546733540420135,100.0
50,-2.5315178267469642,37.015487701288265,100.0
51,-36.32434095343011,41.25576609707091,100.0
52,-1.0477990257472454,24.610774821870216,100.0
53,-9.5414181599912,51.01984939054607,100.0
54,-19.40388149675888,21.438610665342182,100.0
55,-12.73310342943802,50.13460884336111,100.0
56,-11.550298370441274,15.350290699407108,100.0
57,-27.141735393734862,57.6963039514269,100.0
58,-1.672979688940229,32.29648508822245,100.0
59,-24.282892740716992,60.8508356157932,100.0
60,-27.594399938718805,48.7965132336707,100.0
61,-39.498381000578675,24.60246143689065,100.0
62,-0.8092894356162308,46.72761874676313,100.0
63,-12.405801127177405,46.006522347309776,100.0
64,-13.686873549123035,55.13248075602524,100.0
65,-31.518166028420136,56.98343127864959,100.0
66,-15.395074125096173,39.518305035556445,100.0
67,-12.810502613585605,34.104412528461715,100.0
68,-16.46895413525953,24.526879261020852,100.0
69,-18.07103702579896,21.231699750397542,100.0
70,-27.27788209400759,55.30948339609178,100.0
71,-16.593981048211777,42.08326063530941,100.0
72,-3.9566496224366747,16.554830625992466,100.0
73,-17.533037268837532,25.025139479562846,100.0
74,-19.101207761586473,37.052350426966264,100.0
75,-26.041807456762562,53.891695647856956,100.0
76,-16.500458381833717,53.29107624561955,100.0
77,-27.91526658128721,47.95658435849742,100.0
78,-17.820187540943596,44.84008925012758,100.0
79,-24.437319148853952,53.29542536271387,100.0
80,-22.93353078757426,36.65045213434804,100.0
81,-21.94416611972946,56.560632336477454,100.0
82,-15.415146387579208,31.816416429332445,100.0
83,-14.5818373184827,33.04305246221096,100.0
84,-32.8921114849032,33.03556335731112,100.0
85,-23.518748058212427,67.65087412399627,100.0
86,-17.562504568526133,27.918717347953425,100.0
87,-26.176977008209946,48.657344655095315,100.0
88,-24.01328355018063,50.721716904840044,100.0
89,-26.067489133804685,65.6364949705676,100.0
90,-33.35036310919254,49.09754674163686,100.0
91,-27.439947443698784,62.33457108629715,100.0
92,-15.498212261766854,38.89984685311122,100.0
93,-18.684974813455607,28.16474173928124,100.0
94,-22.41330459961747,48.00274749142289,100.0
95,-14.62298289067095,28.6019350387798,100.0
96,-22.337116281834547,46.230912075136104,100.0
97,-20.74707367344297,47.11833813062902,100.0
98,-26.354365640220664,55.43278183560532,100.0
99,-37.723873082190835,61.1518181541459,100.0
100,-24.53191082919748,31.672985538874997,100.0
101,-19.523532876914352,54.41155288238232,100.0
102,-9.353391454094433,30.494891558256366,100.0
103,-10.573558443894324,22.193078130582542,100.0
104,-12.502548785715845,14.089001352567568,100.0
105,-23.55338143649083,45.76164982590127,100.0
106,-14.944611290014823,43.093416070418364,100.0
107,-14.955723690915685,51.01256741205928,100.0
108,-15.50571763199839,44.04226842397635,100.0
109,-28.14034807225848,66.54883692537481,100.0
110,-27.39666277260439,51.47059221419826,100.0
111,-23.253756033306722,43.39603428650571,100.0
112,-33.95568164285271,40.659205324059556,100.0
113,18.492413097788923,9.026437250787652,100.0
114,-18.569366429835128,46.49632370614739,100.0
115,-15.054382874065777,27.662701947642773,100.0
116,-15.221187074655328,37.20107635749163,100.0
117,-19.55657505232191,16.216908903667782,100.0
118,-17.471431230932374,55.76822819778586,100.0
119,-20.548570227390986,38.242360600025975,100.0
120,-6.534486769660567,20.510628886264133,100.0
121,-21.501140920245923,29.35647513297705,100.0
122,-10.410127281200687,68.91297710754807,100.0
123,-13.45693243390376,26.167064280314147,100.0
124,-20.732339657154892,50.25168563899135,100.0
