unit_id,CapacityRetention,do_ElectrolyteAdditive
0,30.400160245286145,50.0
1,23.38022921924342,50.0
2,27.088352340095035,50.0
3,31.981269925232628,50.0
4,25.47413330943131,50.0
5,25.861516687295303,50.0
6,30.426898608826413,50.0
7,24.802490893589773,50.0
8,28.275212708589418,50.0
9,33.820655543084214,50.0
10,29.286465379602912,50.0
11,30.34276425785363,50.0
12,35.52476989642169,50.0
13,22.2896112731438,50.0
14,30.949290548925603,50.0
15,23.402298816601895,50.0
16,34.624242978555685,50.0
17,26.496246890193245,50.0
18,25.136085079523287,50.0
19,23.597488512530862,50.0
20,40.58271680553954,50.0
21,35.067832139508205,50.0
22,24.54206731222145,50.0
23,29.895756995058175,50.0
24,49.62534127012029,50.0
25,26.82235944564157,50.0
26,24.22452431229262,50.0
27,27.24447855601571,50.0
28,25.868689438099082,50.0
29,29.609985509155695,50.0
30,42.470606180726136,50.0
31,36.19998280946254,50.0
32,34.25917257871457,50.0
33,37.58160294594927,50.0
34,22.43941967521718,50.0
35,22.489398311617805,50.0
36,32.93400626943216,50.0
37,27.12809883619218,50.0
38,20.18304430755167,50.0
39,38.729055602947405,50.0
40,22.201217427577966,50.0
41,33.955930508952044,50.0
42,20.56613872476398,50.0
43,38.471137394165325,50.0
44,27.692082072824157,50.0
45,25.447249751041323,50.0
46,39.89042449318471,50.0
47,26.28456365309047,50.0
48,37.92157775580278,50.0
49,34.90102038966798,50.0
50,27.16617640435251,50.0
51,34.37857087644601,50.0
52,34.29708343119153,50.0
53,32.32699272876275,50.0
54,35.644760816895825,50.0
55,28.863944701179854,50.0
56,31.84209600473471,50.0
57,29.559324603149385,50.0
58,27.454306287365682,50.0
59,37.00091471523106,50.0
60,30.189279439876536,50.0
61,34.75142363037142,50.0
62,28.740608676761205,50.0
63,28.301906412129153,50.0
64,22.10829389892416,50.0
65,34.15662969932751,50.0
66,20.054622294152402,50.0
67,26.519528826619457,50.0
68,22.62021852940413,50.0
69,39.35594757007243,50.0
70,23.122046808896386,50.0
71,31.382165623275455,50.0
72,41.083666969574026,50.0
73,32.13066765884218,50.0
74,29.799872555226187,50.0
75,34.254840279127535,50.0
76,34.954030637054736,50.0
77,35.53049454335693,50.0
78,36.698335831312455,50.0
79,32.77284244298708,50.0
80,18.954033852475515,50.0
81,31.414389945670127,50.0
82,35.6381882060265,50.0
83,30.091365954396945,50.0
84,17.151911273105227,50.0
