unit_id,CapacityRetention,FormationCurrent,do_FormationCurrent
0,33.97617589828985,18.91366933624248,25.0
1,32.45238625455696,22.079401549970363,25.0
2,22.19997799891451,22.52965550162095,25.0
3,35.090493840479496,19.61090664816113,25.0
4,21.96723777333114,29.046775843419184,25.0
5,31.275855716568852,28.787364030879164,25.0
6,22.683839790976897,26.01056449175116,25.0
7,26.980455121560322,26.73382402576458,25.0
8,19.37581133690484,24.139536037180427,25.0
9,17.719071942581028,24.90766980648916,25.0
10,32.662595470873235,20.456436415270584,25.0
11,17.27422236846468,22.580262719332055,25.0
12,29.77563323532815,24.011540104527047,25.0
13,35.94481089772501,19.77279367832571,25.0
14,34.00660137373351,24.30129547149992,25.0
15,34.08033686605343,29.11563143180761,25.0
16,23.442133746576367,22.89901860419746,25.0
17,31.642751523411356,20.267587945668232,25.0
18,38.87360662969495,28.758686655130486,25.0
19,22.308131889024374,27.049130032441713,25.0
20,23.456995822719534,25.342231947598414,25.0
21,30.961423774002405,28.054269351679903,25.0
22,11.586183541932064,21.99295930456109,25.0
23,43.32588179675224,24.21820084097739,25.0
24,21.91972157302726,31.245156381396,25.0
25,40.1465374566294,25.292663556684683,25.0
26,20.782562045216892,25.816358211425612,25.0
27,32.024505778572895,23.46657610787746,25.0
28,18.90495709817507,27.645167038464884,25.0
29,27.788069901080114,26.786647166936152,25.0
30,17.14228702543214,27.02096552072961,25.0
31,31.263182457293325,24.735314836767916,25.0
32,26.2299163699975,27.599037970491317,25.0
33,18.902654658183398,23.42683086256202,25.0
34,6.992438686896763,21.113479118306238,25.0
35,15.82712819062721,24.28673766462961,25.0
36,22.254191912353786,20.593018582148186,25.0
37,17.923997219111357,25.232627833062008,25.0
38,24.932043211087308,22.56881938178781,25.0
39,36.99778807425513,22.18669143416547,25.0
40,30.494439043620368,22.83138022826239,25.0
41,22.63020694678776,30.328302537677864,25.0
42,34.84504830131916,31.049269946758894,25.0
43,23.756593416331466,24.89028840482494,25.0
44,37.392601385344065,26.774156359488792,25.0
45,24.58253894660947,25.43695249095912,25.0
46,28.744453603059043,25.577190053107305,25.0
47,35.72189906834991,26.23284021814429,25.0
48,38.08332807787758,25.943231443819812,25.0
49,32.115552879685175,33.275339625025204,25.0
50,33.26366502901455,25.007235765221647,25.0
51,20.24317888192947,24.40236812023957,25.0
52,27.185842194437416,27.912152377336355,25.0
53,31.643562889208773,21.234150824763777,25.0
54,28.541651018107522,25.99361198818279,25.0
55,27.751876860606277,32.40994360423055,25.0
56,33.36044643494285,25.30214184265507,25.0
57,22.146091707114053,22.124616540333754,25.0
58,37.022101287569704,19.265081686624086,25.0
59,30.16806082873157,28.361654429215246,25.0
60,20.932266401704073,27.534874589196342,25.0
61,23.220472616702235,22.983170053261777,25.0
62,27.270724025007492,23.492438747650848,25.0
63,14.975378593010687,20.942298998165718,25.0
64,34.06759662216228,22.140995355792178,25.0
65,30.410821343641654,26.889827357438982,25.0
66,42.20480517185401,21.13584501737772,25.0
67,24.754140123413798,22.900832783110328,25.0
68,36.999078975343586,23.755661367899933,25.0
69,37.59180405648317,24.56824394121986,25.0
70,26.33756892837353,26.911465015028416,25.0
71,37.57097099107189,26.31226938110671,25.0
72,15.421013425802537,23.92130677673574,25.0
73,28.684838490431545,27.381908114441227,25.0
74,24.366395424687013,21.16414089919444,25.0
75,29.11307862601797,25.94205462431677,25.0
76,28.541426435008223,22.00695455149266,25.0
77,30.145805565606615,19.568756412537645,25.0
78,31.600786481994955,25.68407594570332,25.0
79,30.292140011320193,22.831872719926032,25.0
80,27.13229679816127,25.593904029989336,25.0
81,32.20209065577679,25.558626060705254,25.0
82,20.7825092841891,27.12217953174335,25.0
83,20.2886119933598,30.8019997487429,25.0
84,31.988634043090965,25.815888576938995,25.0
85,16.680806683245372,20.787899959258638,25.0
86,27.119203833327397,23.092931822480885,25.0
87,27.96779026736573,25.75047840623807,25.0
88,26.748906698877057,27.63052984768332,25.0
89,29.733930642961127,27.443046500983726,25.0
90,26.2499578568057,25.884487092127898,25.0
91,20.31599845590289,24.140419758923585,25.0
92,30.985167812510454,21.632036830113975,25.0
93,11.207205849761959,27.832645678320816,25.0
94,26.556253718625843,26.65285717882277,25.0
95,24.03064933927427,25.153578732930196,25.0
96,36.998245019098015,27.600792701937156,25.0
97,20.600745565679176,30.21213708357749,25.0
98,25.92402837242876,27.651277985829545,25.0
99,29.090467852296175,23.508570799932773,25.0
100,23.68510515578743,21.7149007607856,25.0
101,29.68349811022979,24.0457090110582,25.0
102,19.926300787398667,27.8620737391584,25.0
103,20.90560368336369,25.862726697271217,25.0
104,28.743658897306574,25.945341259591846,25.0
105,31.298093499979597,27.309615519402758,25.0
106,32.82401723551998,26.16388690120254,25.0
107,29.830625821775364,21.459977536973557,25.0
108,35.863787882525,29.585765242923653,25.0
109,31.40424533218512,30.24518984988962,25.0
110,21.838533712774236,31.535547863307926,25.0
111,38.821486724850445,25.708641806078113,25.0
112,29.71206956408379,19.923955758779357,25.0
113,33.43083656066545,23.62570361438126,25.0
114,41.95752484808635,21.670436846516655,25.0
115,42.21852681481768,29.25242291552172,25.0
116,19.713119944612643,27.56681165593838,25.0
117,26.93246895594314,29.38067210798769,25.0
118,24.61610735663974,18.99761268754303,25.0
119,23.995507905668,22.478372245538484,25.0
120,30.92232173209,23.88565924111731,25.0
121,16.59662687337059,28.913397462906197,25.0
122,25.98536228735582,25.96294049455855,25.0
123,23.359492691047855,29.140000688263747,25.0
124,21.16734568966578,24.919831610196553,25.0
125,26.112032829500432,25.21886742695272,25.0
126,17.823059688887582,25.042144690120722,25.0
127,32.06731046033046,26.501681400351814,25.0
128,28.7379183017396,25.275558359787244,25.0
129,39.859210109246405,23.56211639491907,25.0
130,36.23890413865066,22.19723886208439,25.0
131,18.292453738864534,24.566681073550672,25.0
132,23.35969991328128,23.400618002259563,25.0
133,21.539176990811516,24.88765795094503,25.0
134,28.093931705468904,27.111760431391218,25.0
135,30.640586380280354,25.71309469240885,25.0
136,29.295059666980478,21.05895355346361,25.0
137,39.13477335816886,24.25845738317641,25.0
138,16.464713052112884,23.671568685618222,25.0
139,31.890671467995208,22.66886545933437,25.0
140,29.458722707188336,27.988405504138782,25.0
141,26.574469549737476,27.12166530199525,25.0
142,39.50934095027529,25.048187741016516,25.0
143,14.651130740173535,26.66563499228265,25.0
144,23.716942090500197,21.010356555319607,25.0
145,32.346616023557225,23.67348752312709,25.0
146,35.91847889803758,28.52694150825122,25.0
147,33.44634173231104,24.834704238599453,25.0
148,25.552546873892428,25.00521592473715,25.0
149,32.68823769454671,27.03933466878737,25.0
150,16.466571952062758,23.18798879490628,25.0
151,28.643895140876946,24.860676768716516,25.0
152,29.350182778216148,30.417112169504684,25.0
153,27.627710307488172,20.856413800274876,25.0
154,34.77083108919256,29.477707217000187,25.0
155,34.8468014408681,31.591898442877316,25.0
156,20.383802871838704,30.369233637985886,25.0
157,30.378002097814367,20.73836028255082,25.0
158,32.321523474201065,26.168974123844123,25.0
159,34.015832894804724,22.29718939921161,25.0
160,35.061076155439885,21.409316551531106,25.0
161,19.928823137898487,23.66865977513362,25.0
162,28.355366002259068,25.53248126806671,25.0
163,23.669218766450932,25.33349974220848,25.0
164,29.75256086342384,34.088662816174164,25.0
165,25.838008413514498,25.16308720472402,25.0
166,21.024098726500387,19.765081923933455,25.0
167,24.792251094779466,24.63241750264527,25.0
168,24.25670131857622,26.636250512438828,25.0
169,29.46849987000827,25.469617628073944,25.0
170,28.36735667392947,23.896207052527696,25.0
171,37.70742053846552,23.76984586540057,25.0
172,29.50641353501767,20.304119156148374,25.0
173,26.181844269500107,20.49432535897489,25.0
174,34.3282688267487,26.203453160260466,25.0
175,26.630266409386532,30.92204317725091,25.0
176,29.903846901653495,26.46421991716641,25.0
177,20.28797120238917,25.42075940799674,25.0
178,29.61740745278864,26.291959829845815,25.0
179,26.538607459904945,25.77119634822345,25.0
180,38.68357194338815,21.1412283402818,25.0
