unit_id,CapacityRetention,FormationCurrent,AmbientHumidityBatt,do_FormationCurrent,do_set_AmbientHumidityBatt
0,15.550655948687357,23.595557277667343,56.68322833032148,25.0,60.0
1,40.465978677723264,27.05953864473027,61.51496342192702,25.0,60.0
2,20.608455701375348,25.898866201336098,56.88299420587432,25.0,60.0
3,23.30342547938243,29.94622098267203,60.72739929619467,25.0,60.0
4,18.556745136066926,23.12534959058777,57.31573827270699,25.0,60.0
5,13.949611606637518,23.13978282280472,61.0789193783502,25.0,60.0
6,24.462768848918152,29.739191827376533,63.12467040090386,25.0,60.0
7,40.976930052643205,24.11438203209829,58.33687828726503,25.0,60.0
8,26.141969651475097,23.58690546946344,65.63556777876266,25.0,60.0
9,17.64649162033532,22.00287203140043,61.690835689207596,25.0,60.0
10,23.375962259694962,23.487357334440215,56.82779539963201,25.0,60.0
11,32.614857745637984,24.11429001031581,61.17434467976752,25.0,60.0
12,25.741733358450592,21.466189047493664,58.341571101145654,25.0,60.0
13,26.870522251105466,24.537634626625508,60.66593319440675,25.0,60.0
14,28.597443264827348,24.32045360289379,58.80386670795265,25.0,60.0
15,20.39862902762801,22.14497829332666,58.155239755829534,25.0,60.0
16,21.391913606991466,28.103640442336857,62.74704254719338,25.0,60.0
17,30.80265920674516,29.424407063287436,57.21056947224159,25.0,60.0
18,26.521805968237288,29.09529518647654,59.532678453829206,25.0,60.0
19,23.94803181666591,26.479562418486204,55.747432245306435,25.0,60.0
20,30.757298259567587,25.88104597473961,61.00558505053071,25.0,60.0
21,24.903442770316254,26.038411618253736,58.343136523883175,25.0,60.0
22,25.6870445280926,25.815535066096977,60.3020349424708,25.0,60.0
23,29.4375598607284,25.909450156353508,60.76695358672131,25.0,60.0
24,37.00574761436094,27.023743303730736,66.01134227505301,25.0,60.0
25,31.89211552822672,23.86511016312425,63.93404778620644,25.0,60.0
26,27.98504160321451,29.167235367029086,55.75146154756721,25.0,60.0
27,34.146325514069,27.7615117864651,55.8791907539354,25.0,60.0
28,18.388690097858746,26.596998520290374,58.043599263229254,25.0,60.0
29,35.25829113612287,23.86738484091055,58.273860318967806,25.0,60.0
30,38.31578254097857,23.455972554640887,56.978848580804105,25.0,60.0
31,35.343924335224216,24.732838008993816,58.0082816618363,25.0,60.0
32,32.65800493314757,21.86281193509849,62.467188042343324,25.0,60.0
33,18.950348377428156,30.160794974751152,63.293292878991984,25.0,60.0
34,20.9954490199035,27.43117842548361,59.93093089199408,25.0,60.0
35,32.73304825005111,23.864224410226768,55.026620535168995,25.0,60.0
36,36.58310274021159,24.26444247542905,61.067238352964125,25.0,60.0
37,26.986581174877116,27.051118922540724,53.132812816784515,25.0,60.0
38,28.625853227775607,28.512269145837966,60.19586768786269,25.0,60.0
39,32.98679330282671,21.18970767586071,60.679914225358914,25.0,60.0
40,30.102401734467442,27.371446767027788,62.55262306525805,25.0,60.0
41,35.96565080499817,25.45664975096614,60.12661339373967,25.0,60.0
42,33.64028909026424,28.427398811827636,61.28303210665592,25.0,60.0
43,20.801041480132447,22.122189697596635,59.50634292684122,25.0,60.0
44,30.659955508671235,26.416273449564432,55.35259162736351,25.0,60.0
45,32.60970068282476,29.691002907459396,61.47655687194196,25.0,60.0
46,35.73511110738177,25.273687139835246,60.1268987987465,25.0,60.0
47,23.69254807599984,21.570515331066694,64.1231045329492,25.0,60.0
48,33.69117534384899,20.609863280753167,63.04259333709575,25.0,60.0
49,27.912176172736444,27.863319875691847,57.93262815806896,25.0,60.0
50,33.409341286582,28.775902573404323,67.59862605947337,25.0,60.0
51,40.776538661839574,23.778988539071438,55.87723566435554,25.0,60.0
52,24.81760965746812,21.581557420502847,55.75894944461357,25.0,60.0
53,25.95976068229514,26.820159341161744,59.60650046746958,25.0,60.0
54,24.128224362946728,24.247197064436428,61.78630075751298,25.0,60.0
55,26.42651654933581,23.87707011235215,62.57969084183868,25.0,60.0
56,16.70589812071746,27.07392361717251,57.49587039157763,25.0,60.0
57,18.0075167808021,26.6033988111434,59.05338142132795,25.0,60.0
58,19.785116811949422,27.08531576762612,61.57397214971607,25.0,60.0
59,31.240601461150902,23.030826894747825,64.61575018934337,25.0,60.0
60,29.56819263435751,20.103143014631907,59.45531472443715,25.0,60.0
61,34.79127445935791,25.955169179148495,58.40798004270355,25.0,60.0
62,41.608862003518524,25.727198165841596,61.87594078817724,25.0,60.0
63,33.48100128943685,20.42544433423027,58.925214416422946,25.0,60.0
64,28.448580166257322,23.31445476705003,57.40115554383315,25.0,60.0
65,23.728243680725296,25.301087446816435,60.86550048629954,25.0,60.0
66,24.3466344541023,29.020241933472406,58.453650728076475,25.0,60.0
67,34.11472771789455,27.641931989011876,60.636924392492105,25.0,60.0
68,18.500298052150335,23.55946683340004,63.15259345723626,25.0,60.0
69,8.183667380904925,27.569442914984336,61.34980409418051,25.0,60.0
70,29.433981051274436,24.658688392849214,59.69614026269509,25.0,60.0
71,19.25558511118934,26.366943640895663,55.616057482132184,25.0,60.0
72,16.280572086678244,30.089548985481162,59.80240919755875,25.0,60.0
73,25.861821212283132,27.356809218595714,58.27612211228336,25.0,60.0
74,31.097165166397644,25.867053943301357,64.25770067411665,25.0,60.0
75,37.59726748093476,28.151607982928464,54.0993997354913,25.0,60.0
76,21.15249092564204,27.77413669897457,65.26050838745712,25.0,60.0
77,26.245397873635852,22.01346172613071,58.65686195617194,25.0,60.0
78,18.194124137171066,20.580657989845125,57.22651764263823,25.0,60.0
79,31.82198374193953,26.65453298340907,63.64520270350648,25.0,60.0
80,18.121108042280188,26.3239304292255,56.59133952618193,25.0,60.0
81,31.005065428554552,26.554425731651506,59.373004942330105,25.0,60.0
82,28.51296158909349,18.43700625294174,60.44298403891825,25.0,60.0
83,29.314645250294465,22.27860372471119,54.953639471838876,25.0,60.0
84,33.44077012377493,27.23505058497657,58.359993860259515,25.0,60.0
85,23.178651676913248,29.103294434195135,61.16077003046177,25.0,60.0
86,43.96512132675845,24.943518219266092,57.55390448955775,25.0,60.0
87,36.66376430908868,17.054700081048203,56.24667151076014,25.0,60.0
88,17.09426723850257,31.701421456362226,60.17601783921026,25.0,60.0
89,34.077183873275686,23.129130517566708,61.626097514649864,25.0,60.0
90,20.94093918961944,29.851665279252426,61.76032800594603,25.0,60.0
91,40.831280843702366,27.406225949821753,63.26144740905749,25.0,60.0
92,26.09988688501853,31.024412571110524,59.28170698705126,25.0,60.0
93,27.440262749717277,28.23839640500357,61.15511009625535,25.0,60.0
