unit_id,CapacityRetention,do_ElectrolyteAdditive,do_FormationCurrent
0,29.749554850800372,100.0,6.0
1,35.86063757595596,100.0,6.0
2,37.698530933994284,100.0,6.0
3,23.35624760551439,100.0,6.0
4,44.4917536685074,100.0,6.0
5,24.030838690799406,100.0,6.0
6,31.016945101957237,100.0,6.0
7,26.206411077622953,100.0,6.0
8,28.531887732627908,100.0,6.0
9,31.11555681987598,100.0,6.0
10,15.263169515368611,100.0,6.0
11,36.19740021848163,100.0,6.0
12,27.012916858564836,100.0,6.0
13,21.336426688335628,100.0,6.0
14,26.387003097239152,100.0,6.0
15,29.02236267091768,100.0,6.0
16,39.14470447879743,100.0,6.0
17,43.65826736798448,100.0,6.0
18,27.727853637411943,100.0,6.0
19,29.12910954266457,100.0,6.0
20,23.058021177482814,100.0,6.0
21,37.076061524256964,100.0,6.0
22,32.09604411070157,100.0,6.0
23,37.87604451689863,100.0,6.0
24,35.975496116339784,100.0,6.0
25,36.609032195759326,100.0,6.0
26,40.350010225651396,100.0,6.0
27,28.09780098500015,100.0,6.0
28,36.95488964106055,100.0,6.0
29,36.9684744320385,100.0,6.0
30,34.83854099937356,100.0,6.0
31,38.14368606425467,100.0,6.0
32,38.152585093037594,100.0,6.0
33,27.714800115843357,100.0,6.0
34,34.57588990460125,100.0,6.0
35,32.065227413715704,100.0,6.0
36,36.67298234797343,100.0,6.0
37,26.309432602248496,100.0,6.0
38,30.804855653547634,100.0,6.0
39,37.26501123336911,100.0,6.0
40,27.87666781440582,100.0,6.0
41,15.696824572744555,100.0,6.0
42,34.23010022927952,100.0,6.0
43,22.204440877389928,100.0,6.0
44,35.499161297494354,100.0,6.0
45,29.987648137921035,100.0,6.0
46,29.160002954941405,100.0,6.0
47,28.446721674090934,100.0,6.0
48,37.60599645249044,100.0,6.0
49,46.45018055537094,100.0,6.0
50,38.82080230957769,100.0,6.0
51,16.382054004694155,100.0,6.0
52,27.689014269770112,100.0,6.0
53,20.61804600641706,100.0,6.0
54,23.386752546370936,100.0,6.0
55,46.817348534962164,100.0,6.0
56,32.2913723052952,100.0,6.0
57,25.47041255805853,100.0,6.0
58,31.299241868585288,100.0,6.0
59,21.21193964030583,100.0,6.0
60,27.157236424118686,100.0,6.0
61,32.13478477535866,100.0,6.0
62,25.775099154110208,100.0,6.0
63,24.60317002128535,100.0,6.0
64,33.27519499228901,100.0,6.0
65,38.84428998953449,100.0,6.0
66,41.85610950157747,100.0,6.0
67,28.298088554362756,100.0,6.0
68,29.309943406626083,100.0,6.0
69,24.833995391011626,100.0,6.0
70,19.825391682022364,100.0,6.0
71,26.401824713243794,100.0,6.0
72,28.824960952916307,100.0,6.0
73,28.993046244776153,100.0,6.0
74,30.93439335939066,100.0,6.0
75,35.48627351075099,100.0,6.0
76,39.60963288029376,100.0,6.0
77,24.86385154122968,100.0,6.0
78,22.41704013228604,100.0,6.0
79,26.779721293988967,100.0,6.0
80,45.39134998423167,100.0,6.0
