unit_id,CapacityRetention,do_FormationCurrent,do_ElectrolyteAdditive
0,34.83745114938479,6.0,50.0
1,30.958861900733055,6.0,50.0
2,35.101203976895974,6.0,50.0
3,29.30732876894036,6.0,50.0
4,30.39251633673037,6.0,50.0
5,35.7135792338619,6.0,50.0
6,30.08927316611744,6.0,50.0
7,27.59904290495724,6.0,50.0
8,27.89176109998097,6.0,50.0
9,24.95818184054319,6.0,50.0
10,30.261854568887543,6.0,50.0
11,42.97175474241721,6.0,50.0
12,30.574546431111187,6.0,50.0
13,33.25566305781461,6.0,50.0
14,24.739207043667125,6.0,50.0
15,18.697599856755193,6.0,50.0
16,27.675557850170474,6.0,50.0
17,19.775646463195876,6.0,50.0
18,21.379705286095138,6.0,50.0
19,38.41107282330966,6.0,50.0
20,36.65255506471271,6.0,50.0
21,19.883349323503655,6.0,50.0
22,34.63281542735901,6.0,50.0
23,27.10981134916358,6.0,50.0
24,28.335491353097183,6.0,50.0
25,28.873046767305667,6.0,50.0
26,29.345611762838335,6.0,50.0
27,35.331057449672656,6.0,50.0
28,23.938543171252718,6.0,50.0
29,37.318008318917066,6.0,50.0
30,34.58202137424761,6.0,50.0
31,33.65952592795032,6.0,50.0
32,32.66717802731786,6.0,50.0
33,23.144803503509156,6.0,50.0
34,36.20772054225403,6.0,50.0
35,28.87361236250571,6.0,50.0
36,19.97442884839025,6.0,50.0
37,36.6100351220404,6.0,50.0
38,35.089521928267274,6.0,50.0
39,30.291273700254422,6.0,50.0
40,32.316268493864314,6.0,50.0
41,39.3410453201796,6.0,50.0
42,37.601360177488104,6.0,50.0
43,31.468686840285244,6.0,50.0
44,20.914813241596477,6.0,50.0
45,34.99438143391934,6.0,50.0
46,36.30677840379761,6.0,50.0
47,47.037245935544895,6.0,50.0
48,21.84353557023329,6.0,50.0
49,19.388330536153845,6.0,50.0
50,36.01415136317839,6.0,50.0
51,22.217250295272887,6.0,50.0
52,25.65981806845373,6.0,50.0
53,38.17247009039691,6.0,50.0
54,27.820050481303195,6.0,50.0
55,41.49579838219604,6.0,50.0
56,22.813519066916626,6.0,50.0
57,33.39017128158781,6.0,50.0
58,29.735564823259843,6.0,50.0
59,26.81912659384412,6.0,50.0
60,43.3721466685912,6.0,50.0
61,22.660884969171594,6.0,50.0
62,26.416059759116838,6.0,50.0
63,32.25361606617545,6.0,50.0
64,30.460013131324324,6.0,50.0
65,19.558236128018567,6.0,50.0
66,28.00510917135844,6.0,50.0
67,22.80494073103442,6.0,50.0
68,27.290069539802815,6.0,50.0
69,27.715802929320553,6.0,50.0
70,35.75187465803285,6.0,50.0
71,33.04776590938807,6.0,50.0
72,33.70038201335941,6.0,50.0
73,29.170042956426787,6.0,50.0
74,26.866806783336937,6.0,50.0
75,26.27826230346342,6.0,50.0
76,23.034178184600837,6.0,50.0
77,24.294694590652316,6.0,50.0
78,30.038345863619774,6.0,50.0
79,26.950701901356947,6.0,50.0
80,21.950689205074816,6.0,50.0
81,27.864630402129364,6.0,50.0
82,29.614357747473274,6.0,50.0
83,28.551749939479176,6.0,50.0
84,18.838320295024893,6.0,50.0
85,23.83631992909749,6.0,50.0
86,46.474815600628084,6.0,50.0
87,30.335099075219993,6.0,50.0
88,34.68425845336687,6.0,50.0
89,30.38212614394828,6.0,50.0
90,33.26754879881818,6.0,50.0
91,28.974089195315063,6.0,50.0
92,19.860732435501056,6.0,50.0
93,27.62547749830872,6.0,50.0
94,34.67873428143038,6.0,50.0
95,26.40577564714503,6.0,50.0
96,27.48803660444737,6.0,50.0
97,27.37263353055985,6.0,50.0
98,35.37941978952027,6.0,50.0
99,27.346231727650608,6.0,50.0
100,44.75724643723162,6.0,50.0
101,33.20846612481777,6.0,50.0
102,28.346959377020745,6.0,50.0
103,25.225604999053665,6.0,50.0
104,37.90291611516554,6.0,50.0
105,30.845000835886324,6.0,50.0
106,31.90790031474041,6.0,50.0
107,17.76799796381615,6.0,50.0
108,39.4255158341016,6.0,50.0
109,20.081779653091836,6.0,50.0
110,32.57264651336311,6.0,50.0
111,31.371967669976748,6.0,50.0
112,34.373261174203975,6.0,50.0
113,35.93006543977954,6.0,50.0
114,39.15670047973636,6.0,50.0
115,23.63988751991956,6.0,50.0
116,42.114492555754836,6.0,50.0
117,33.96265464566392,6.0,50.0
118,22.9116205793974,6.0,50.0
119,31.217912408615522,6.0,50.0
120,29.110195810239773,6.0,50.0
121,24.97686061186589,6.0,50.0
122,25.73520586771143,6.0,50.0
123,29.84350367902278,6.0,50.0
124,36.16597527525594,6.0,50.0
125,23.225606467681388,6.0,50.0
126,24.385443496759294,6.0,50.0
127,27.85081562009539,6.0,50.0
128,33.99234314022611,6.0,50.0
129,27.19964963963964,6.0,50.0
130,36.774700058282924,6.0,50.0
131,17.486125810853633,6.0,50.0
132,34.47809157224181,6.0,50.0
133,26.143732546267977,6.0,50.0
134,29.4116230414283,6.0,50.0
135,31.27175678840246,6.0,50.0
136,28.729574192830928,6.0,50.0
137,23.83848695581264,6.0,50.0
138,33.36806004291817,6.0,50.0
139,22.472703944063262,6.0,50.0
140,37.51008519498752,6.0,50.0
141,27.059669014702223,6.0,50.0
142,31.80574316322725,6.0,50.0
143,20.396537021771977,6.0,50.0
144,22.646263028063014,6.0,50.0
145,28.027710981567147,6.0,50.0
146,29.354485599456435,6.0,50.0
147,30.836106984616944,6.0,50.0
148,22.354341614165254,6.0,50.0
149,38.40193402879501,6.0,50.0
150,21.344225810985943,6.0,50.0
151,30.023263882687687,6.0,50.0
152,28.191900353642815,6.0,50.0
153,32.62281771610092,6.0,50.0
154,30.646653224512814,6.0,50.0
155,48.95721698983025,6.0,50.0
156,18.39758529348602,6.0,50.0
157,22.47074204949154,6.0,50.0
158,24.04399999622504,6.0,50.0
159,29.998803971269368,6.0,50.0
160,34.131593482294775,6.0,50.0
161,24.610467225340138,6.0,50.0
162,39.160824165122946,6.0,50.0
163,33.93599575474995,6.0,50.0
164,49.94983963544625,6.0,50.0
165,26.82102565726158,6.0,50.0
166,42.3398472301261,6.0,50.0
167,25.753708959417054,6.0,50.0
168,38.241914204688854,6.0,50.0
169,19.30729283743341,6.0,50.0
170,42.280835301063036,6.0,50.0
171,33.27962692854878,6.0,50.0
172,24.423446168646716,6.0,50.0
173,22.777766491586856,6.0,50.0
174,38.80341737689584,6.0,50.0
175,33.41687650571154,6.0,50.0
176,32.91942708901065,6.0,50.0
177,25.90267468139546,6.0,50.0
178,32.04015718722093,6.0,50.0
179,40.78503617130016,6.0,50.0
180,35.96767548709757,6.0,50.0
181,38.55413885766423,6.0,50.0
182,41.13892389265259,6.0,50.0
183,27.691789238125867,6.0,50.0
184,33.005019763059884,6.0,50.0
185,33.98080998803654,6.0,50.0
186,23.073524813816967,6.0,50.0
187,41.01246330877979,6.0,50.0
188,33.0701890101722,6.0,50.0
189,32.4355657969441,6.0,50.0
190,16.39244313020993,6.0,50.0
191,26.024612815759504,6.0,50.0
192,33.37792561880183,6.0,50.0
193,46.044290147235486,6.0,50.0
194,28.094630415533356,6.0,50.0
195,28.649860893781288,6.0,50.0
196,34.799842411697725,6.0,50.0
197,19.57296381490478,6.0,50.0
198,33.227087899299676,6.0,50.0
199,33.89398104093725,6.0,50.0
200,26.256433635231357,6.0,50.0
201,24.29499124975444,6.0,50.0
202,42.51472326518914,6.0,50.0
203,37.687971378938805,6.0,50.0
204,24.357551690083277,6.0,50.0
205,30.72019327508572,6.0,50.0
206,30.259782095933502,6.0,50.0
207,35.10173113548572,6.0,50.0
208,36.197477484908994,6.0,50.0
209,42.02313462671771,6.0,50.0
210,32.20437151173664,6.0,50.0
211,21.44592497675837,6.0,50.0
212,26.64086679294853,6.0,50.0
213,24.949591437313458,6.0,50.0
214,12.814445008582064,6.0,50.0
215,42.21607718126463,6.0,50.0
216,37.23909340422595,6.0,50.0
217,29.197855673115193,6.0,50.0
218,32.79678821295757,6.0,50.0
219,17.890982917803772,6.0,50.0
220,28.749787298584533,6.0,50.0
221,17.79393620190553,6.0,50.0
222,41.56315205111464,6.0,50.0
223,12.868812671987016,6.0,50.0
224,33.89185763191779,6.0,50.0
225,28.397225992688018,6.0,50.0
226,27.607807026935077,6.0,50.0
227,31.07403571920611,6.0,50.0
228,36.187607857905356,6.0,50.0
229,29.782547924229245,6.0,50.0
230,33.18716821833485,6.0,50.0
231,26.89497214337114,6.0,50.0
232,34.14487721601603,6.0,50.0
233,29.52747432705016,6.0,50.0
234,35.23676699398684,6.0,50.0
235,14.669968395649171,6.0,50.0
236,31.985823134292964,6.0,50.0
237,34.56868629305477,6.0,50.0
238,38.513916107411404,6.0,50.0
239,24.91405693647644,6.0,50.0
240,38.466150689776825,6.0,50.0
241,24.533519423238484,6.0,50.0
242,27.877463776156386,6.0,50.0
243,19.162357419121186,6.0,50.0
244,30.302190844858256,6.0,50.0
245,36.40323654886719,6.0,50.0
246,40.024602503097306,6.0,50.0
247,39.582352967696565,6.0,50.0
248,45.62256505875665,6.0,50.0
249,29.605412367566323,6.0,50.0
250,32.30547786778234,6.0,50.0
251,25.81628886709121,6.0,50.0
252,35.037337369299344,6.0,50.0
253,43.92624609826713,6.0,50.0
254,31.24918101241286,6.0,50.0
255,38.13893412590363,6.0,50.0
256,29.739245042176925,6.0,50.0
257,31.36818484558287,6.0,50.0
258,23.72042884960922,6.0,50.0
259,38.21351565661949,6.0,50.0
260,18.970679797577,6.0,50.0
261,27.79772280731571,6.0,50.0
262,29.495792408712028,6.0,50.0
263,35.66317997615727,6.0,50.0
264,27.33397390691724,6.0,50.0
265,32.351903457944374,6.0,50.0
266,32.337792475263164,6.0,50.0
267,30.48104560918888,6.0,50.0
268,29.71516536892809,6.0,50.0
269,35.2492896444591,6.0,50.0
270,19.298201540654077,6.0,50.0
271,26.045536752027193,6.0,50.0
272,16.216293128296808,6.0,50.0
