unit_id,WaterClarityScore,ResidualChlorine,do_LineFlushRate
0,16.368319609599645,71.74197405534547,25.0
1,19.503300169659,77.14543216292998,25.0
2,17.635710791539275,58.584874010854094,25.0
3,20.644813381912932,66.67330013504656,25.0
4,17.042596847809225,78.58521095891913,25.0
5,15.635507463379813,80.92703964959397,25.0
6,20.643010905803067,78.46344042880659,25.0
7,20.130658093504355,55.38515614481661,25.0
8,14.403008043803865,68.16133857568354,25.0
9,20.84362848439285,65.67770915802919,25.0
10,10.75725383149261,61.05741424797745,25.0
11,15.510275889061862,71.87164416000702,25.0
12,18.693165055880854,75.96785672632099,25.0
13,18.255298219775845,85.49475227717782,25.0
14,21.290631826716986,79.45594473292985,25.0
15,22.14701101995035,90.82699276442811,25.0
16,16.551742610838073,63.25433173461052,25.0
17,18.682723721958073,62.82600462882701,25.0
18,16.99949132485694,72.41818150624125,25.0
19,14.79069696847159,93.59887728243409,25.0
20,17.366639408699687,81.99088169196772,25.0
21,15.913589158696313,71.30478464026899,25.0
22,20.055510772133232,85.77091328234258,25.0
23,19.419785343228217,83.66809271801763,25.0
24,15.305682135261042,90.27480697768816,25.0
25,13.84088731660482,52.429383638088055,25.0
26,19.810211383796922,94.82737199632261,25.0
27,17.779665300738724,78.4705632827578,25.0
28,18.993205601919133,75.93073138711532,25.0
29,19.728915082006864,72.63455109797447,25.0
30,16.52824732308059,68.7388413225719,25.0
31,15.4526738783731,72.79428430334683,25.0
32,20.12694491575009,58.87761852037377,25.0
33,17.617689557006965,84.66019418190199,25.0
34,16.891199379024634,60.01691880922431,25.0
35,16.094647628873638,75.85841466458676,25.0
36,15.802371429205598,81.71834445895215,25.0
37,14.619417110291192,94.33920915822353,25.0
38,15.1764758142213,47.6408842396841,25.0
39,18.292031031370072,83.25292238108146,25.0
40,15.185071418326238,83.31512724215014,25.0
41,16.672151994036454,64.77305579464095,25.0
42,22.974917499778904,82.39929382878219,25.0
43,23.12562200986,66.89173049641913,25.0
44,16.172916945349943,60.846211443135644,25.0
45,9.01993222036721,64.69242280003725,25.0
46,21.78504379359047,83.76564908918465,25.0
47,15.875504975010646,66.64928220109476,25.0
48,14.980098988028539,76.76568735784403,25.0
49,14.41167010275246,65.45277037280268,25.0
50,19.27156985731182,86.6507265632102,25.0
51,14.757919838873551,49.592681324709986,25.0
52,20.02944426271849,76.86165271817477,25.0
53,9.506364998442436,80.54984543454611,25.0
54,15.43098914126373,71.39428323734643,25.0
55,18.837585628574402,84.854225898814,25.0
56,13.917405759749203,59.12112165420237,25.0
57,19.914719015025117,71.71481371848792,25.0
58,20.67121231369156,90.97769350512024,25.0
59,15.29180630019577,91.83041958780953,25.0
60,14.736019494332503,76.0901808546376,25.0
61,11.86477002041476,45.29899586743912,25.0
62,21.569099731101907,80.70183948964771,25.0
63,22.133082523955178,85.2857869705752,25.0
64,22.072161791546964,79.8945251651757,25.0
65,13.070509498935916,56.773863714966296,25.0
66,14.48163799649534,63.59757902752861,25.0
67,16.867466155287662,79.0429426937155,25.0
68,15.143987956319286,73.44998869501859,25.0
69,20.031158637268497,71.42122633404227,25.0
70,17.724566440937853,77.33488915853479,25.0
71,13.384042946588016,55.08938586274358,25.0
72,18.23431030642345,67.73565885503794,25.0
73,9.907462880115512,52.41758384478231,25.0
74,16.756749648570672,80.01521331070347,25.0
75,21.01365546315926,76.00606374125144,25.0
76,16.12293302235945,78.31192899799007,25.0
77,14.95719030623387,70.78196636026449,25.0
78,19.73349896238162,88.77988509802532,25.0
79,13.675743926614567,77.22948647771946,25.0
80,18.701499327367735,72.82717599554276,25.0
81,24.097942125610537,72.23133449635145,25.0
82,25.368548071485954,75.02722560329167,25.0
83,19.328020740815266,68.43880452137999,25.0
84,14.948100644382524,64.47866780127066,25.0
85,15.309016049823871,80.54257686220608,25.0
86,16.560223322262882,71.44444956463533,25.0
87,10.443142852334729,90.34893897553918,25.0
88,10.937246408824244,60.91710496654577,25.0
89,15.378767351296728,72.08954279950179,25.0
90,13.673099832067658,46.778026743376344,25.0
91,16.51862103220231,87.6293494138659,25.0
92,22.002936786290398,93.76348381272491,25.0
93,19.658397434835898,56.74440801577622,25.0
94,21.269239223882945,75.55832194636214,25.0
95,15.973363904146755,92.29148077724662,25.0
