unit_id,WaterClarityScore,ResidualChlorine,do_ContactTime,do_FilterHeadloss,do_LineFlushRate
0,-15.30493320855653,71.91556919108082,75.0,75.0,25.0
1,-16.958794366839456,63.005291711565874,75.0,75.0,25.0
2,-9.83226267786994,62.464121375052386,75.0,75.0,25.0
3,-20.98549664805218,66.8438011459594,75.0,75.0,25.0
4,-18.35907427388539,64.74387396509914,75.0,75.0,25.0
5,-16.301939758811166,66.57564504351556,75.0,75.0,25.0
6,-11.628037846841101,65.6377425030433,75.0,75.0,25.0
7,-12.882788759502962,78.99287127234658,75.0,75.0,25.0
8,-9.946438185322751,70.66856112768528,75.0,75.0,25.0
9,51.27174594851412,75.44268082718202,75.0,75.0,25.0
10,-16.949608451564615,74.03705652763459,75.0,75.0,25.0
11,-12.606539059624328,98.28822844771558,75.0,75.0,25.0
12,-17.370053668205774,73.02799666960064,75.0,75.0,25.0
13,-19.215003876237297,79.61755937698483,75.0,75.0,25.0
14,-15.458711313950436,78.07998984587621,75.0,75.0,25.0
15,-20.337371025512134,79.85369920031904,75.0,75.0,25.0
16,58.04627767619846,108.69347042993634,75.0,75.0,25.0
17,-15.741562889955137,81.68851929759802,75.0,75.0,25.0
18,-12.809423919559219,86.21954291745851,75.0,75.0,25.0
19,-16.976265219604045,85.98222718762207,75.0,75.0,25.0
20,55.98177295537045,80.18403147015853,75.0,75.0,25.0
21,-19.31648212231738,86.35805944448634,75.0,75.0,25.0
22,55.650879965937484,73.4716992342687,75.0,75.0,25.0
23,-15.697954299950645,73.18032809202563,75.0,75.0,25.0
24,-14.232453461616617,72.3288583551107,75.0,75.0,25.0
25,54.90666946484393,78.79969308152675,75.0,75.0,25.0
26,-18.124127832627345,67.49868078981842,75.0,75.0,25.0
27,-12.442936750694628,86.00321257144047,75.0,75.0,25.0
28,-13.53424795731549,78.84140012617453,75.0,75.0,25.0
29,55.90864703356709,95.85352895572684,75.0,75.0,25.0
30,-15.726160907232211,59.73056724121071,75.0,75.0,25.0
31,-10.652062367622994,105.01329662699325,75.0,75.0,25.0
32,50.03516511891452,59.988710120117226,75.0,75.0,25.0
33,56.466008638215264,72.77036955933043,75.0,75.0,25.0
34,-9.078295144637734,86.30864609288061,75.0,75.0,25.0
35,51.1498801946295,55.94077396380664,75.0,75.0,25.0
36,-8.470722411496276,86.02651718973901,75.0,75.0,25.0
37,54.04936611516256,79.13075915663352,75.0,75.0,25.0
38,45.78223192800695,54.08267512283494,75.0,75.0,25.0
39,49.780015631697,69.04095498304338,75.0,75.0,25.0
40,58.50013029889921,68.5375162831769,75.0,75.0,25.0
41,53.55906831331144,77.61905140104025,75.0,75.0,25.0
42,-12.421233501268448,83.04727038941498,75.0,75.0,25.0
43,50.84355727655103,74.11538621204387,75.0,75.0,25.0
44,-13.846564903575924,75.43897407421402,75.0,75.0,25.0
45,48.07119870712491,65.91008792435035,75.0,75.0,25.0
46,-9.30232647929645,91.40575573874484,75.0,75.0,25.0
47,-21.008826462726773,79.55741067759236,75.0,75.0,25.0
48,-14.256004233395595,81.88400741990613,75.0,75.0,25.0
49,55.00802560532842,76.8088712285214,75.0,75.0,25.0
50,-17.27537725393499,67.18775244351545,75.0,75.0,25.0
51,52.03827428731463,91.92132431712552,75.0,75.0,25.0
52,-16.563596893013948,79.75725053343221,75.0,75.0,25.0
53,-14.923156667378429,83.10080508952059,75.0,75.0,25.0
54,60.59381126619378,59.942448917980734,75.0,75.0,25.0
55,-20.66857074659598,68.78153247712554,75.0,75.0,25.0
56,56.10278381276294,75.91542202817355,75.0,75.0,25.0
57,50.90298763159526,71.47447110292663,75.0,75.0,25.0
58,52.74372340600533,71.52548951772818,75.0,75.0,25.0
59,52.0153337959259,75.10626875078486,75.0,75.0,25.0
60,52.27052143370718,73.45024042847058,75.0,75.0,25.0
61,55.53942869382716,75.28198605965791,75.0,75.0,25.0
62,-11.594696860281333,82.0590426176131,75.0,75.0,25.0
63,-13.896333269796951,74.85994923188365,75.0,75.0,25.0
64,-19.657868594405986,78.0412367672388,75.0,75.0,25.0
65,48.52883155802204,68.39973867654233,75.0,75.0,25.0
66,53.39283688973377,79.02014603962694,75.0,75.0,25.0
67,52.14364850396875,65.52360192826663,75.0,75.0,25.0
68,-20.804949597717613,58.2557730376362,75.0,75.0,25.0
69,54.796723809468546,82.87175447343074,75.0,75.0,25.0
70,-14.508780081359989,74.1262557402589,75.0,75.0,25.0
71,-19.13826011944248,73.17557790632752,75.0,75.0,25.0
72,-18.481256751680732,52.977449500916606,75.0,75.0,25.0
73,48.980969644823105,89.79974575802309,75.0,75.0,25.0
74,-17.938132846757412,79.20138160186258,75.0,75.0,25.0
75,56.02426053217697,59.36557771559465,75.0,75.0,25.0
76,-13.196238249810474,93.213392230376,75.0,75.0,25.0
77,-14.64934117541848,92.70936339426417,75.0,75.0,25.0
78,57.4058374702814,75.17123836210513,75.0,75.0,25.0
79,54.3434949029505,88.53757422251597,75.0,75.0,25.0
80,55.345392029115786,73.26148278324418,75.0,75.0,25.0
81,53.950709288847506,71.41487514551076,75.0,75.0,25.0
82,60.28650925344504,71.41841724613445,75.0,75.0,25.0
83,-17.17233759192345,63.846604964930805,75.0,75.0,25.0
84,51.68886953231454,73.97483596700516,75.0,75.0,25.0
85,-20.04232594357803,66.86536043292814,75.0,75.0,25.0
86,-10.711572808039747,80.54185573800991,75.0,75.0,25.0
87,48.68648250039063,57.42200319719128,75.0,75.0,25.0
88,48.77945737916778,72.6011377539705,75.0,75.0,25.0
89,53.149911932794645,63.89797474370069,75.0,75.0,25.0
90,-15.550681972480376,73.28133748595187,75.0,75.0,25.0
91,51.30866252012462,69.43134777292371,75.0,75.0,25.0
92,56.51317375774131,77.65043166772679,75.0,75.0,25.0
93,54.35487550044096,78.492733171387,75.0,75.0,25.0
94,52.099861872236104,72.25525072303662,75.0,75.0,25.0
95,54.26346251843315,88.91752535779801,75.0,75.0,25.0
96,53.734460027288904,88.01442453660422,75.0,75.0,25.0
