unit_id,WaterClarityScore,ResidualChlorine,do_LineFlushRate,do_ContactTime,do_FilterHeadloss
0,-23.42926185543549,75.27152833759408,0.0,90.0,90.0
1,-21.747910029060805,83.09629060846298,0.0,90.0,90.0
2,52.46837865751546,64.1799789630793,0.0,90.0,90.0
3,62.68796584762126,89.95525717514661,0.0,90.0,90.0
4,61.4967491150317,92.42666180799888,0.0,90.0,90.0
5,-20.38435444497953,93.67342936777082,0.0,90.0,90.0
6,-21.603716882682917,71.20757808419017,0.0,90.0,90.0
7,-24.366349236833802,65.95939723083724,0.0,90.0,90.0
8,59.44950127067293,86.02566514779794,0.0,90.0,90.0
9,-25.082535774675804,74.30502800056873,0.0,90.0,90.0
10,61.30489240830839,74.6225346616269,0.0,90.0,90.0
11,-21.169174596345382,80.21790952575404,0.0,90.0,90.0
12,-20.4554170939338,70.66267365427247,0.0,90.0,90.0
13,-18.126422533253837,83.03833183726158,0.0,90.0,90.0
14,52.27351025612186,72.63373478482293,0.0,90.0,90.0
15,-21.484679292739926,87.09255374326555,0.0,90.0,90.0
16,-24.97304285060613,59.79273383599202,0.0,90.0,90.0
17,-24.72871783549398,80.63952188872997,0.0,90.0,90.0
18,-21.400415141246263,72.81619800870158,0.0,90.0,90.0
19,54.86275560108455,73.53675861686706,0.0,90.0,90.0
20,-25.607209802243037,84.87380763631876,0.0,90.0,90.0
21,-28.999188241078166,69.09425322973733,0.0,90.0,90.0
22,-18.003094886060847,91.28844302832411,0.0,90.0,90.0
23,55.338830035383,81.86688453517645,0.0,90.0,90.0
24,-24.464005125234948,84.51402697968076,0.0,90.0,90.0
25,-26.0410979620707,88.06458318480809,0.0,90.0,90.0
26,-15.336849894231786,83.799045824564,0.0,90.0,90.0
27,-26.630980213487046,67.91176229284335,0.0,90.0,90.0
28,-25.639597116569547,58.07944590979477,0.0,90.0,90.0
29,-24.175927564081913,73.31682967961713,0.0,90.0,90.0
30,-21.963579002057024,93.63395699565298,0.0,90.0,90.0
31,58.19870506920194,64.23848840050249,0.0,90.0,90.0
32,58.599339329066474,84.204610643385,0.0,90.0,90.0
33,54.46076159186412,62.73428228824444,0.0,90.0,90.0
34,-28.14536388248899,66.96056332463856,0.0,90.0,90.0
35,65.8445425410246,95.02094967971676,0.0,90.0,90.0
36,-22.6186664695041,69.98176587065386,0.0,90.0,90.0
37,-23.76022520441897,68.82150981520115,0.0,90.0,90.0
