unit_id,WaterClarityScore,ResidualChlorine,do_LineFlushRate,do_ContactTime,do_FilterHeadloss
0,-7.316139442905225,93.61831346741737,0.0,50.0,50.0
1,-3.1823980450122358,73.27191051309008,0.0,50.0,50.0
2,45.21107731148045,76.325964772695,0.0,50.0,50.0
3,44.34748631853292,62.330186837686895,0.0,50.0,50.0
4,-5.885737925095108,85.34322273755505,0.0,50.0,50.0
5,-0.8498191927854668,79.45848820768981,0.0,50.0,50.0
6,41.145534176876566,66.99979707379165,0.0,50.0,50.0
7,-6.647189110485171,72.34423889522881,0.0,50.0,50.0
8,-7.102067282518346,78.02001289642556,0.0,50.0,50.0
9,41.283671948520194,64.29944837261748,0.0,50.0,50.0
10,-4.138060055897052,72.36228374985667,0.0,50.0,50.0
11,50.2857727875189,80.10959029303515,0.0,50.0,50.0
12,40.3217057529165,81.50593287534987,0.0,50.0,50.0
13,-4.066959256415247,71.0183445484036,0.0,50.0,50.0
14,38.58762328272963,63.78565639658004,0.0,50.0,50.0
15,-10.552568387263339,58.85295588897257,0.0,50.0,50.0
16,-8.741728102780396,73.7156380012654,0.0,50.0,50.0
17,-12.465124364131565,68.0201379406945,0.0,50.0,50.0
18,39.87841490658166,64.2032156456114,0.0,50.0,50.0
19,-3.2760868953608884,85.6434474062604,0.0,50.0,50.0
20,42.50060420415222,84.36906313967737,0.0,50.0,50.0
21,-10.201787937213194,65.7870039719062,0.0,50.0,50.0
22,41.45487639454554,81.49916339486612,0.0,50.0,50.0
23,-5.710380703794164,68.11378385857688,0.0,50.0,50.0
24,-6.051535997925421,77.42923137367342,0.0,50.0,50.0
25,39.40392701206233,73.49544560040832,0.0,50.0,50.0
26,-5.508958419016449,76.2228918845941,0.0,50.0,50.0
27,43.16026388598682,83.36088298007077,0.0,50.0,50.0
28,36.36179708429533,73.35199160173268,0.0,50.0,50.0
29,40.7198490773709,92.95212858065884,0.0,50.0,50.0
30,-2.3126554144261036,81.14295189506505,0.0,50.0,50.0
31,46.37193821438158,71.11290222421916,0.0,50.0,50.0
32,42.062027075170725,80.19055918718526,0.0,50.0,50.0
33,-8.51778619655705,69.21426162518377,0.0,50.0,50.0
34,-3.8584339090992996,84.54867183890445,0.0,50.0,50.0
35,40.57879785281032,63.35424701151083,0.0,50.0,50.0
36,37.501539603980156,60.61674899203321,0.0,50.0,50.0
37,-2.5413656597252947,79.07449680672605,0.0,50.0,50.0
38,44.37608946094785,82.72717619652818,0.0,50.0,50.0
39,-4.127438270728666,75.54497449492702,0.0,50.0,50.0
40,-3.318949754653692,73.39085122856501,0.0,50.0,50.0
41,44.09328861639108,93.34664813198184,0.0,50.0,50.0
42,42.6848943686643,82.89573009071312,0.0,50.0,50.0
43,-8.539958951437262,80.03855383027239,0.0,50.0,50.0
44,39.350874456152184,56.66408328990581,0.0,50.0,50.0
45,-4.340803623347091,79.75205201222138,0.0,50.0,50.0
46,-5.501614292418416,97.79765169482754,0.0,50.0,50.0
47,45.811815995904766,106.42629692855132,0.0,50.0,50.0
48,36.5789576126468,67.32946192310071,0.0,50.0,50.0
49,-8.605630573499768,60.404305650971,0.0,50.0,50.0
50,44.39051580513435,78.7311905091861,0.0,50.0,50.0
51,37.73967252407119,67.46195345155708,0.0,50.0,50.0
52,40.09954072113756,70.38836386802055,0.0,50.0,50.0
53,-0.9544101329276273,81.66099794160056,0.0,50.0,50.0
54,-5.942179891701716,67.31077363560809,0.0,50.0,50.0
55,0.7827067963960674,89.6818756960107,0.0,50.0,50.0
56,-10.46130419629214,74.56272826942038,0.0,50.0,50.0
57,45.89623042797721,72.61269405811687,0.0,50.0,50.0
58,39.53282662228777,72.96224580115468,0.0,50.0,50.0
59,-8.584851017392992,74.0786260145058,0.0,50.0,50.0
60,49.25015798916783,86.67660776239444,0.0,50.0,50.0
61,36.906082694322485,66.28732736181915,0.0,50.0,50.0
62,38.28768511731518,65.72852550404964,0.0,50.0,50.0
63,42.859503588788904,69.68571254487685,0.0,50.0,50.0
64,39.35577593120927,78.8161081205898,0.0,50.0,50.0
65,35.48972506274281,67.17405653688074,0.0,50.0,50.0
66,39.91468092740365,69.47997132637262,0.0,50.0,50.0
67,35.83037386034134,75.70690128576383,0.0,50.0,50.0
68,-5.848667004472921,64.51750545397373,0.0,50.0,50.0
69,-3.336025361405312,62.99972429302772,0.0,50.0,50.0
70,44.677566665445426,70.11234664456241,0.0,50.0,50.0
71,-3.957260919653329,74.75523339884388,0.0,50.0,50.0
72,43.81820865425468,77.4742610759407,0.0,50.0,50.0
