unit_id,HarvestBiomass,AmmoniaLevel,TankTurbidity,GillHistologyScore,StockingDensity
0,-2.6831762988263392,54.6509110024461,88.11596620273696,54.60123553831779,54.170224149839946
1,5.360301106309021,51.226268128381136,78.77779239863905,51.930575618921495,58.22958800453082
2,8.933226343413656,47.596230133428435,86.9224881635239,25.62184922696517,29.54119487471564
3,-5.208422610582936,56.91177564565862,70.02518708746179,29.146218293688626,15.949002315509485
4,18.5875944380861,69.77578519357651,78.51671051043365,39.787486140943514,58.69346149996602
5,9.138608695860396,38.96177119644954,84.213069478883,51.457579846799284,65.31453796878894
6,8.011050600342635,50.427629353270405,79.76357914381045,55.709270058171306,80.14992476519862
7,11.338345089900809,46.1282972547251,77.24529219386811,52.40065720415668,81.18113746221631
8,8.79807222480238,37.978636773900405,90.95422065324884,52.920001903944055,66.12253611162878
9,0.6722649315572783,67.92863084610165,70.8822534874648,52.87738502026452,51.41085136455383
10,0.3983382483918203,27.713501872693318,64.88306480823576,53.27110275294102,62.465289014261565
11,16.263908975242742,33.07486811635172,72.38010965211242,58.54717650598002,98.8904890634642
12,-5.379780708628385,64.70247999454644,64.07502596032633,49.54326593242518,48.06502893201012
13,14.038832926892308,52.09341752921412,75.5648489421798,55.11736191214482,74.63439006225491
14,8.912052140895252,60.148644472311915,89.21708615062418,57.545098463899954,82.23309336031271
15,10.89635374373037,34.961314728498095,80.95411271529466,57.50984683085279,79.80841299564842
16,9.179010950469902,45.49625615619371,69.87875990494625,56.71747381881765,79.1604933330642
17,8.880193725677417,76.73375740861628,82.90002739204458,51.69262365556491,64.4287195790374
18,-6.9950745409202,65.56808645312768,51.62239166063582,46.639670680194136,33.80080963767405
19,7.237490800152023,44.69031444511751,88.91337328512618,37.00897152611769,43.17644979447238
20,4.35635676824236,33.107710781708,80.3135542984737,49.529704159832036,53.09095162169993
21,5.604818931717599,46.45747333158998,80.2405585275907,50.93372453012137,67.5935062703488
22,-6.8992403610363695,48.97511720056479,52.60386315025217,54.81799575853945,64.35786129517264
