unit_id,ProductTiter,BrothTurbidity,DissolvedOxygen,FeedWaterFlowRate,Temperature,do_chelator_dosing
0,68.97531005105652,-26.886878834862557,56.472731284354154,28.121009556837762,41.30438658061765,60.0
1,70.70462899288349,-9.781682814117337,60.518946130017284,38.37754524630531,45.37682897239682,60.0
2,62.462883902226764,-7.531109906362498,53.923973079534704,43.039127818963244,36.54231034366718,60.0
3,67.97183118648168,-22.84180236826778,57.3062188571913,35.871482636290175,40.96439252325644,60.0
4,52.659391556267494,28.183374174384014,50.819407070957304,48.9080145079577,38.50134497804947,60.0
5,52.644179900187545,27.41418189533792,38.710535007917954,41.33848912358987,33.49069611000494,60.0
6,63.642969733249586,11.243701388717156,60.32490935739769,49.835267035367714,41.16378501351025,60.0
7,68.58822207554529,15.232649686081349,58.223077036809755,49.743597508994796,38.82639512826955,60.0
8,54.391614717498044,1.7899524906002569,57.48657584678794,48.82032387125201,28.95815027522389,60.0
9,69.55325474610825,4.751938377865953,63.220143904744134,36.78638585965143,37.84016126521021,60.0
10,53.901903064625074,-14.341465033374563,48.54864282091976,58.46505375441613,55.19786569879903,60.0
11,68.34623392814672,-7.704744553955985,69.12849079837181,38.106293797228425,48.12254575188873,60.0
12,61.44488643417452,0.6972539986677804,50.29232505755272,33.79502756046736,40.69688172883983,60.0
13,66.78399470746362,-21.15794074983594,57.964896049954206,39.6033950833146,41.17145247132847,60.0
14,63.174920132766985,2.4838314273354256,52.440514891068545,34.77077036608667,38.85594911876554,60.0
15,68.4031372064025,27.9106324272838,64.9339704935736,30.564753910736016,37.23541829500787,60.0
16,64.34607676041985,-5.482884927283202,49.02129015758327,41.09611512294504,31.59668595256385,60.0
17,54.687335230170795,-18.13698026208385,43.57658095258041,45.15525671466245,30.174604053254818,60.0
18,64.02400540408867,26.89969751562566,46.68240596777675,34.404120756123,30.16502091020366,60.0
19,63.3782770258316,16.99715693782383,62.20148106490948,51.5482834231149,38.63013770510904,60.0
20,64.56185791142411,7.533262912014123,52.14978560227936,41.57524172396421,34.12076209396214,60.0
21,72.25538887871502,21.921481977792773,49.50271149682458,38.73268140673835,33.320049322697706,60.0
22,73.91721323923886,-11.052028739593815,79.36718770625005,46.72535497236223,34.00593290327606,60.0
23,50.101989478980215,8.25048983370499,48.83962646582476,53.75397128561728,39.39741179005547,60.0
24,56.99428206462212,39.47075576187349,53.780952422129026,41.10261770724238,42.317251204279,60.0
25,61.76016960847274,8.617248264718398,45.530626440044834,37.35519919791183,37.18378078578623,60.0
26,52.52182701526928,9.850657804660813,37.10912827320041,26.806496010535252,47.37998511658249,60.0
27,76.56671012830861,-1.7915242126366717,70.66190887779834,46.015960626258355,39.90160283032294,60.0
28,53.56611405680472,19.455995332043457,46.87519241235217,23.64692131335849,36.18719423267128,60.0
29,59.69014760548262,16.086264868344664,48.82735900186456,44.574002384804196,29.199949530661645,60.0
30,67.8181648800532,16.062095320315365,59.48624796020774,49.1106515481584,26.829264470432655,60.0
31,70.45732539841069,4.295667676366048,47.422852129526824,42.046378530049076,27.576013812303376,60.0
32,53.49169111530735,20.489596378653925,44.24546359466073,43.9147589653858,41.54691260007438,60.0
33,56.826781923563956,-2.9416500912269843,50.720513701634374,31.610073244331076,28.2178729535583,60.0
34,58.03967141493416,-15.791710336487212,51.14739753685374,45.77687942107565,42.80913378830602,60.0
35,62.76875851418822,1.256240748283307,49.88004857754691,31.061993685841284,44.408065386239045,60.0
36,63.70877756529799,-17.86102503447686,56.74190101803276,34.90569011283969,32.60706240107276,60.0
37,54.66220126773195,6.962584312598684,45.56862830824415,47.53838392297569,40.91644927987222,60.0
38,58.40177117939667,-7.095335230941364,40.91591505267729,40.55547347971307,34.75973848792607,60.0
39,73.42157591754105,-9.087731959162083,65.64658910548002,30.030835139926552,40.3068636246289,60.0
40,69.93295870282032,-5.778923177684961,65.4676737787976,36.19310323740135,43.65256831797882,60.0
41,64.24208705015675,34.07356737619969,64.40916162252637,37.373106532871,43.56650278173872,60.0
42,74.74744160200278,38.55800698591271,69.24529444992388,32.73284734795516,36.17870538472661,60.0
43,54.751216059141306,5.087948470018988,36.33444690256541,34.66448243684376,32.45999118920744,60.0
44,66.58713764676091,17.497558250477482,54.86937857034973,51.272007710035965,37.40596880107752,60.0
45,70.97579242220382,7.83581863441101,69.620397706363,34.49755504844503,33.830317855771284,60.0
