unit_id,ReadmissionRate,Creatinine,do_diuretic_titration
0,69.93132923827717,33.02753172400123,80.0
1,38.616840910754036,49.24687453291117,80.0
2,74.45944700278676,26.791303184727585,80.0
3,56.10863269260565,37.529278618708865,80.0
4,44.05906599585083,27.895409987455523,80.0
5,34.64334655384045,60.4607107831192,80.0
6,34.42095929666439,37.16607462728955,80.0
7,45.46445016706907,56.90037032045544,80.0
8,53.312671759343246,63.22678701323532,80.0
9,32.266758652408065,64.05637211601716,80.0
10,35.48100865535453,50.97969263366898,80.0
11,53.20310999564942,53.93601292227975,80.0
12,72.85673215070081,43.40380054516575,80.0
13,50.73249922887013,49.07750761030819,80.0
14,57.533789594133324,65.84961693536674,80.0
15,81.57145392499574,55.48243363824762,80.0
16,53.53725968193086,48.71255328661203,80.0
17,39.77883625398641,53.46628624550539,80.0
18,66.05956308612642,52.49420512664269,80.0
19,64.12145016691363,44.942403673258845,80.0
20,98.44380811150818,59.06550602229404,80.0
21,24.0878565680276,55.09954365703105,80.0
22,85.42974706355675,44.75863089855352,80.0
23,45.09519567129244,43.80950779020986,80.0
24,86.19973631406675,40.06350889605534,80.0
25,66.91590559012947,42.89308042362483,80.0
26,56.86962396505573,33.93532789084054,80.0
27,41.62638762407467,50.19491256337749,80.0
28,55.83008946476,56.27628792574661,80.0
29,43.99856812733323,63.888948007524505,80.0
30,48.32256094180926,55.44834021805345,80.0
31,44.36698317953939,32.05318718992411,80.0
32,42.42931657496663,58.54532664051312,80.0
33,43.0236336232216,30.083325266257628,80.0
34,53.65201974014957,60.59524374910951,80.0
35,70.50018089146964,39.1939453624474,80.0
36,65.76398264158033,45.6156569294663,80.0
37,80.77598154531745,36.374651799100384,80.0
38,44.711452325217664,35.977237097152056,80.0
39,62.50784374885005,50.58910199516298,80.0
40,35.68826515529377,46.94634078964415,80.0
41,68.27796531965116,53.45597088012667,80.0
42,34.238449306508755,43.06254843462803,80.0
43,68.78769248649772,43.56438694625157,80.0
44,69.05417763464934,61.53356879353916,80.0
45,60.400001717267784,60.16941166180815,80.0
46,75.56394406785665,80.484484743583,80.0
47,60.210593998731504,57.01770194917916,80.0
48,37.72378929120739,58.77847956891992,80.0
49,41.310321629777235,55.958387100656076,80.0
50,54.3734429282233,62.253114007035535,80.0
51,45.49436958193142,62.218970848072374,80.0
52,46.18552150958741,46.01313579108635,80.0
53,27.369871496642943,21.359480289885312,80.0
