unit_id,ReadmissionRate,MedAdherence,FollowupDays,BloodPressure,Sodium,Creatinine,Hemoglobin,HbA1c,LengthOfStay
0,63.872428102277794,58.046552879070376,44.90325997689527,43.81381939816197,49.840092073929675,41.49475144772225,48.73489766550957,51.55081402824199,42.986882063692356
1,47.07509802227845,49.43796091373247,38.72611407812858,41.165316197137884,49.10940488579857,63.013071130435804,60.58242557667954,50.96842095657602,44.27643786639103
2,35.38777505107259,42.30605237206944,39.44195799379742,27.36992148873817,71.27169401071909,54.03171928228588,55.2112768456696,55.69577367895214,50.8925893411876
3,58.502218123813456,64.61424471319123,41.958436677161515,50.037731196502946,31.010172344862376,36.81942710281109,53.43710642804876,38.82354605355808,42.01636147549382
4,44.34331563442514,48.60996274620243,38.91395361800977,77.66329707357333,55.28301949272638,51.72640299638484,41.85003516580151,49.1446033115432,42.89919428613144
5,43.60453834859628,60.79645760359907,69.58207112958594,43.27710971185804,38.088951374118956,48.45212425598057,56.211021492624376,69.98444638884402,44.63112033051779
6,46.824022914980716,35.23962214952491,37.77508609504798,37.29134174353746,62.76190530501011,49.662913609331966,72.12618594459792,41.137852476826026,45.55777239557404
7,33.93886147805878,71.98372678192425,60.12307547397674,50.283288210282024,64.9101829328165,46.83359591316389,45.928580850092885,42.92247015146826,40.653416854089
8,50.09118592610506,48.27663330235268,60.1286299164502,25.780459339872614,66.16629938737145,41.25699953387116,44.87983305903403,58.83558963729911,55.367362670909145
9,63.29151803733423,58.72365048337356,24.482572905694383,25.959873248496194,25.460245100787827,65.24118235450268,65.87376942763854,54.74260891310817,43.590057898097456
10,45.46837771505787,49.48048055643546,42.53389059026906,52.586388412458,63.0995117201408,34.674823114344946,58.703752780597526,64.75734956024385,37.76413250695904
11,83.8644468725457,39.56403291437846,32.1227484894224,35.41474938699291,49.28806165003174,68.97722824863848,40.81237968818693,60.82839934447185,44.43105739097125
12,34.61379101733742,57.02945356256268,37.09463468417685,62.75033972027747,43.031315743757325,73.7706841736569,49.24550985451059,53.46412853689227,33.64535820546583
13,53.332817765429624,32.59257732034817,60.88403799187388,55.8689605725109,41.924095957300864,45.97337842443689,59.92285514656214,45.05275724888158,42.06466428428014
14,71.07943892406638,53.027897956678956,60.65152088364178,37.64338558957741,78.45978999273422,77.9856290542953,30.15941899779682,67.34713224392719,46.3764824786814
15,65.25249494030108,53.53568767419374,49.921378929218584,42.33077393018743,48.451921831900904,53.76475642325898,58.91295538396173,53.303190198679296,34.727376384465174
16,70.17069824382253,32.05921973938575,33.31895909256959,33.019778465320485,38.77998239138367,45.35865443831118,46.47421220617305,49.25290196247605,36.45801954073528
17,43.23785862668137,45.7302493358833,43.23424734387548,43.13131580164864,66.13035150961693,37.88249602195146,42.669277517871905,45.95621305077132,46.75080416030579
18,49.56142239998452,83.06574769594638,40.321688258691196,53.24160958155075,62.421928689939314,58.58138091886807,59.60735469279695,53.618547678760535,23.572190272463946
19,34.282299149050615,70.98976908766552,84.00440006599416,31.18583515322062,52.82237819992311,61.43757803690627,75.70878013312273,46.20881296825681,48.894385536262476
