unit_id,ReadmissionRate,Creatinine,LengthOfStay,do_diuretic_titration
0,33.30590622094619,39.81404099955083,34.77349620010793,50.0
1,67.04086199266082,43.79669427068456,37.58023336572716,50.0
2,39.36970040864396,34.042844402770726,33.611927300011985,50.0
3,34.89076890671162,46.65646001183351,37.310204238560836,50.0
4,56.93470313789846,79.59633345644721,38.339792973771196,50.0
5,43.51119601213335,46.306046432222544,53.443353642202695,50.0
6,44.87975513149564,30.489553227872026,39.80471385809183,50.0
7,61.82230803647796,75.46566259824635,29.664022612657085,50.0
8,36.54737913419761,62.91214593708226,32.94648596795909,50.0
9,46.483330519279576,52.216312939778845,27.380485666497528,50.0
10,40.295026456315895,64.5841692426041,26.785627920228166,50.0
11,33.1942921962937,35.704697265913495,42.86650159331714,50.0
12,51.92477477063406,62.52999653888012,34.05550590254608,50.0
13,67.33478401213681,31.739008462640214,47.266233931348864,50.0
14,51.20412770920997,52.580735098515774,38.93871854491462,50.0
15,55.188365428327124,52.456060996074925,52.337092287696436,50.0
16,34.194113053573105,50.57731954362498,36.64660412897456,50.0
17,50.420884428692716,55.84987838241925,36.50784074846126,50.0
18,34.13833242601631,35.20073525866401,39.16091799604025,50.0
19,34.159614925187576,56.99915574325972,55.22001375588524,50.0
20,41.37628743531269,30.663066092523867,48.226723928456856,50.0
21,35.52951765707823,47.97912936599407,37.648088269059926,50.0
22,87.7630836304086,71.44290762843272,40.381317190844136,50.0
23,41.6768793421881,21.76809073186412,48.326659012087156,50.0
24,57.34824401280516,59.06630238031982,46.31496001142905,50.0
25,54.686124071927324,65.41353013694575,23.263465034570775,50.0
26,51.39068200404512,45.223261288125165,61.17661425660535,50.0
27,67.146560896056,57.71440207359478,45.88316546375612,50.0
28,40.00713746022161,55.93555232114712,47.23261457423023,50.0
29,53.04974209825267,36.88164319351933,42.54493840669869,50.0
30,38.543376647111685,53.61892842517632,37.91554206502363,50.0
31,43.85267765830686,31.085060629284232,40.181941932962225,50.0
32,61.69433713295465,37.895261642439024,48.43403080400516,50.0
33,38.88919461100721,42.556110652306636,44.864606583042224,50.0
34,37.36519095395052,60.05911622254296,30.05151135976066,50.0
