unit_id,WaterClarityScore,LineFlushRate,do_LineFlushRate
0,-6.894699268227068,27.425680748737186,25.0
1,3.067047264468835,25.58734514598071,25.0
2,-33.11557967271304,26.228446960718294,25.0
3,-15.977402595796889,22.867408392696255,25.0
4,22.34391854448798,24.755163919305485,25.0
5,-12.755432888281371,26.45186954301326,25.0
6,-5.017635983225853,25.265408301493082,25.0
7,-9.42771798777749,22.250404551913995,25.0
8,-11.607849116225543,25.72559558240939,25.0
9,6.321671194983772,23.489554105876,25.0
10,7.909378630231279,25.584301487896614,25.0
11,1.1837806784360625,23.803345637060403,25.0
12,3.011517301038775,19.34781448622434,25.0
13,17.926613784732574,27.459672042177385,25.0
14,-25.24367701491066,22.553840764757556,25.0
15,-5.991540442473123,25.90807562140743,25.0
16,-17.06839970384173,23.663561538128167,25.0
17,-20.21029188086078,27.39969907313161,25.0
18,-11.014980279891672,25.081128538575197,25.0
19,0.7035422089936034,25.05684862804729,25.0
20,-5.062964228265607,26.104694169435987,25.0
21,-26.356347273064486,25.935104598061088,25.0
22,-1.969471039398702,22.730589314643073,25.0
23,5.715342698891627,27.667773692337178,25.0
24,3.437810108957998,24.435460794784614,25.0
25,6.540288721183568,26.459034694322227,25.0
26,-4.2894290277326395,21.7312173555177,25.0
27,-2.340791422266044,18.129347191971846,25.0
28,-13.639821365441454,24.068548125886267,25.0
29,-0.9552830322401039,23.699667859612948,25.0
30,-11.31510056751359,25.427132515510216,25.0
31,2.945909942209663,20.492874137608638,25.0
32,-17.29592747275215,30.167129379991543,25.0
33,0.1346605718817515,22.316000940461187,25.0
34,-28.323132782766077,23.95617357106056,25.0
35,7.150224405559811,29.33583634337506,25.0
36,-13.055660653627317,30.494834749694654,25.0
37,6.823654690020636,25.899239877772168,25.0
38,-2.3040194986241453,26.102979794052356,25.0
39,-5.825347801521008,26.230060125704576,25.0
40,-19.5342637174852,28.034274233981282,25.0
41,-13.322522407165021,24.71316524510172,25.0
42,1.9383150642052223,24.831208582943788,25.0
43,-4.640154504955735,21.696341683044363,25.0
44,-4.601326864053933,28.924255113736784,25.0
45,-8.738566464103137,24.074119414867884,25.0
46,-9.053438678382868,26.81186618911244,25.0
47,-1.034650233029189,22.930908511504185,25.0
48,2.6267370658154827,24.69033117481322,25.0
49,6.918983496913441,28.327383425179065,25.0
50,3.473660227617951,24.19414348169289,25.0
51,-7.512774803047687,25.762047360922484,25.0
52,7.31299141222655,26.517499349202513,25.0
53,-26.985791069994107,30.146429173735307,25.0
