unit_id,ProductTiter,ViableCellDensity,DissolvedOxygen,do_set_GlucoseFeedRate
0,7.5222084105955505,71.91556919108082,64.47218829799777,50.0
1,7.450464502497273,63.005291711565874,63.0822918338374,50.0
2,3.6445688239216434,62.464121375052386,73.3216316465103,50.0
3,-12.355477649741406,66.8438011459594,72.62004228695393,50.0
4,-6.507715768032017,64.74387396509914,56.01374466751733,50.0
5,0.3096345514800459,66.57564504351556,77.22705097830962,50.0
6,15.376158958845972,65.6377425030433,69.38655650096571,50.0
7,0.6738568799197857,78.99287127234658,73.52616575203966,50.0
8,27.734547179199307,70.66856112768528,69.55445871417925,50.0
9,10.8498835927798,75.44268082718202,84.68090694597828,50.0
10,2.096099961548222,74.03705652763459,73.39456726642595,50.0
11,1.9676155921670424,98.28822844771558,98.96407418591788,50.0
12,-3.0323972045878276,73.02799666960064,73.48260089944439,50.0
13,-3.774024069246665,79.61755937698483,79.26824816939867,50.0
14,-10.900253711050176,78.07998984587621,68.6369810809194,50.0
15,-4.791015327981183,79.85369920031904,79.88501877476098,50.0
16,9.858763080922772,108.69347042993634,97.52381230192383,50.0
17,7.6109008654917005,81.68851929759802,84.10922596272673,50.0
18,1.731408969676909,86.21954291745851,89.15085693787638,50.0
19,16.58135685506952,85.98222718762207,83.68852883317206,50.0
20,15.14917333179681,80.18403147015853,80.59374859161274,50.0
21,-3.980247615035923,86.35805944448634,82.00596774841762,50.0
22,20.223309604651288,73.4716992342687,79.35357083522827,50.0
23,10.64818013919116,73.18032809202563,73.95377201786508,50.0
24,9.108007345126412,72.3288583551107,69.80896107524858,50.0
25,12.032176379870995,78.79969308152675,83.63896824371704,50.0
26,-4.791890376822229,67.49868078981842,66.03192553894387,50.0
27,10.521573052749918,86.00321257144047,87.5011474143265,50.0
28,9.382023365624061,78.84140012617453,85.97779957395451,50.0
29,9.750587220448946,95.85352895572684,99.16462250345289,50.0
30,-1.4196415716153594,59.73056724121071,58.60285643312726,50.0
31,2.329409660042613,105.01329662699325,88.9851103627556,50.0
32,3.4624310007715993,59.988710120117226,59.90664353415535,50.0
33,26.780935790394093,72.77036955933043,77.61779276795211,50.0
34,27.516699302040905,86.30864609288061,86.00770186415221,50.0
35,7.789608058346618,55.94077396380664,64.11949664064706,50.0
36,10.556380500199744,86.02651718973901,81.28389675784398,50.0
37,28.040613818313528,79.13075915663352,80.65958717643491,50.0
38,2.9612272168563525,54.08267512283494,44.45534534104792,50.0
39,-2.8508637968732526,69.04095498304338,67.15452487713391,50.0
40,2.7709823784482532,68.5375162831769,58.4839422869537,50.0
41,6.5560220368683,77.61905140104025,73.28846197002053,50.0
42,1.2214521809457586,83.04727038941498,71.67706938122126,50.0
43,-1.1147018448339272,74.11538621204387,71.64135631045964,50.0
44,0.3860397863907534,75.43897407421402,76.4414477989893,50.0
45,6.691300049855878,65.91008792435035,67.66819579506723,50.0
46,23.412735934246793,91.40575573874484,92.88400015246732,50.0
47,-5.843315515817318,79.55741067759236,72.04107417982284,50.0
48,2.1513461400631555,81.88400741990613,86.55441288159409,50.0
49,11.34742120990478,76.8088712285214,77.30456672444,50.0
50,3.7406781451793623,67.18775244351545,72.89725718584552,50.0
51,0.6217278356753351,91.92132431712552,86.4786944406541,50.0
52,14.792715550383015,79.75725053343221,74.52713615014659,50.0
53,-6.864736411189557,83.10080508952059,93.01321153333006,50.0
54,15.688350859627864,59.942448917980734,61.532332168616186,50.0
55,-5.04829979883209,68.78153247712554,57.18367789634706,50.0
56,16.77537160263436,75.91542202817355,78.13763294840125,50.0
57,4.07037746061936,71.47447110292663,73.88679315118172,50.0
58,3.228868319508438,71.52548951772818,68.02131122178672,50.0
59,8.502407809343563,75.10626875078486,64.61542846179249,50.0
60,5.113782697339615,73.45024042847058,70.46182367575538,50.0
61,4.986319908735592,75.28198605965791,82.89785206413688,50.0
62,0.8584595418599488,82.0590426176131,75.22046080402968,50.0
63,-2.7475633184234747,74.85994923188365,72.90512639614656,50.0
64,-12.327344894842192,78.0412367672388,82.39943689801724,50.0
65,0.7137441592604628,68.39973867654233,72.71517680093082,50.0
66,6.558943151548514,79.02014603962694,71.79505553187659,50.0
67,0.34595600989253583,65.52360192826663,56.16552759281824,50.0
68,3.4755750041970153,58.2557730376362,59.32237516904441,50.0
69,13.409441015428603,82.87175447343074,78.10570372776529,50.0
70,4.797358535192621,74.1262557402589,69.61038165573174,50.0
71,8.075045681955313,73.17557790632752,73.27620828817757,50.0
72,-3.0693685633336303,52.977449500916606,52.41320457153355,50.0
73,1.1254328512663143,89.79974575802309,85.36052266989053,50.0
74,6.869746442729683,79.20138160186258,66.04163999021327,50.0
75,4.421155551323698,59.36557771559465,53.53160168629264,50.0
76,5.767853446884341,93.213392230376,92.93911644924762,50.0
77,-8.128842006492622,92.70936339426417,90.21094185994627,50.0
78,8.687104977417341,75.17123836210513,70.22087156464123,50.0
79,11.550373684357382,88.53757422251597,80.84305847030895,50.0
80,10.632447838741902,73.26148278324418,77.70032047789459,50.0
81,4.229261470306403,71.41487514551076,81.36836887299518,50.0
82,25.973711267202596,71.41841724613445,66.07705293646642,50.0
83,0.04391783632290214,63.846604964930805,66.62792554706671,50.0
84,-0.3342402419028532,73.97483596700516,74.57769826999265,50.0
85,-7.9265566589636185,66.86536043292814,57.03508663708565,50.0
86,4.613965458874792,80.54185573800991,75.45372899957451,50.0
