unit_id,CropYield,TissueNutrientAssay,do_SoilAcidifier,do_FertigationRate
0,2.6376905664706576,20.871282973757054,80.0,15.0
1,5.811795024597936,8.787963747841502,80.0,15.0
2,8.194186484022062,31.404034813017535,80.0,15.0
3,9.60788437702381,12.61085594503714,80.0,15.0
4,9.03930014390764,2.227763503752204,80.0,15.0
5,12.51187495818527,19.522257888206834,80.0,15.0
6,3.5996838026545883,2.751537504698419,80.0,15.0
7,10.339267927529667,15.596094247693834,80.0,15.0
8,5.0120176066930195,8.435809364162559,80.0,15.0
9,6.32867871734478,1.315714419158569,80.0,15.0
10,7.301411129698932,3.8624379303268483,80.0,15.0
11,15.329611261253017,6.772417073403271,80.0,15.0
12,15.09738751164739,8.040355956146783,80.0,15.0
13,14.210482075191175,21.33286549033123,80.0,15.0
14,15.70416255158074,8.236679099776817,80.0,15.0
15,13.170983915583475,1.244860488721832,80.0,15.0
16,11.235143422563084,4.705406848408411,80.0,15.0
17,9.373745435765468,18.396270303928198,80.0,15.0
18,13.42113963578632,3.7574802165830015,80.0,15.0
19,1.6683586050691321,21.50194235521643,80.0,15.0
20,5.726917084337018,19.861620644410607,80.0,15.0
21,9.139538713178318,18.60074488345081,80.0,15.0
22,8.771106849242958,6.6103936750223244,80.0,15.0
23,11.81550789889241,14.66884341066705,80.0,15.0
24,5.010350019976302,13.186037183723606,80.0,15.0
25,6.391039248655066,8.548382738759074,80.0,15.0
26,13.616829160466601,-6.662247339762411,80.0,15.0
27,4.709624136970932,23.11612326259788,80.0,15.0
28,10.30622127635787,4.18932865382792,80.0,15.0
29,12.282424515766316,6.623310003815613,80.0,15.0
30,-2.4153823648486874,10.51519842471533,80.0,15.0
31,11.61417474278824,15.302409067966561,80.0,15.0
32,11.545128268277917,11.28445443658564,80.0,15.0
33,9.818041052453042,9.369017663377468,80.0,15.0
34,9.21309899239219,-4.461220672674068,80.0,15.0
35,8.05794444137234,5.20791288790758,80.0,15.0
36,5.213979142126609,21.928228919464246,80.0,15.0
37,6.165289656547499,4.910231177970836,80.0,15.0
38,14.08960507455269,-2.6047018263475277,80.0,15.0
39,3.253869110399465,12.459414118539453,80.0,15.0
40,12.80111164189838,-5.318598054969241,80.0,15.0
41,0.6852437357806345,25.722142724791677,80.0,15.0
42,8.09418177221011,6.910333493507041,80.0,15.0
43,5.8646101157216695,29.554177300283254,80.0,15.0
44,7.659942770790549,-10.255306477110729,80.0,15.0
45,6.188257408324776,14.267757656636086,80.0,15.0
46,13.139082326353993,10.099891294416583,80.0,15.0
47,15.709959119074732,-2.1384435031361555,80.0,15.0
48,8.594905996175722,12.16523100548275,80.0,15.0
49,2.0390738936667248,11.270486017782055,80.0,15.0
50,9.912833399538114,3.3068851738619944,80.0,15.0
51,9.564773852788164,6.450269611987432,80.0,15.0
52,9.969803435018022,2.5548139890142423,80.0,15.0
53,5.843493368143549,4.83781380161115,80.0,15.0
54,8.016182747644919,-10.215186262932633,80.0,15.0
55,10.867952880849636,22.98515874746607,80.0,15.0
56,2.977884571071309,13.4257257622074,80.0,15.0
57,9.246693742622078,0.7251181347402511,80.0,15.0
58,11.54901413291581,20.787685872500845,80.0,15.0
59,7.957718491075312,7.519397254466583,80.0,15.0
60,4.020379934793408,2.7742131096143954,80.0,15.0
61,9.003105049411765,9.394140739408172,80.0,15.0
62,14.849569381280475,5.0417061404830665,80.0,15.0
63,6.371108567794154,7.507479642034977,80.0,15.0
64,4.65642043835247,7.566020132856298,80.0,15.0
65,0.44109271569689046,16.66039538893944,80.0,15.0
66,10.498505337704678,7.943786587422694,80.0,15.0
67,10.734887272424867,-7.868778387066207,80.0,15.0
68,11.294808266337636,4.77727825193621,80.0,15.0
69,2.142950799143363,18.083501818025773,80.0,15.0
70,7.536144749097987,6.647696152427014,80.0,15.0
71,14.570532873054415,13.366488707425006,80.0,15.0
72,6.059170258725645,19.80985213993506,80.0,15.0
73,5.610822117836157,13.71289947563088,80.0,15.0
74,6.699797335467744,16.11714437504206,80.0,15.0
75,4.072654092080217,11.314690217336084,80.0,15.0
76,15.437059585110113,5.486006891776969,80.0,15.0
77,8.594813249054551,2.204739441003217,80.0,15.0
78,-0.5501563056841188,-4.492759326311518,80.0,15.0
79,6.283841808316486,4.981980232769407,80.0,15.0
80,11.016019241322164,23.350191760168894,80.0,15.0
81,3.945249987749907,0.12776017855181898,80.0,15.0
82,8.098540663493017,6.810430176152415,80.0,15.0
83,5.423693718921088,13.990046717729044,80.0,15.0
84,10.773085907582555,-10.689609821532116,80.0,15.0
85,6.02426508459378,5.9938272969060415,80.0,15.0
86,6.442720026842304,21.68261288474965,80.0,15.0
87,7.726957480309505,14.475704622464455,80.0,15.0
88,13.230323299386676,0.11316647288115256,80.0,15.0
89,6.346734515723875,2.73771457061905,80.0,15.0
90,10.227571561074793,9.009289201557447,80.0,15.0
91,11.321383648635887,11.37058625502237,80.0,15.0
92,9.06984595910877,24.800668925112568,80.0,15.0
93,4.993601137948032,26.695699576738452,80.0,15.0
94,7.1631848655738795,0.05088782435325356,80.0,15.0
95,11.051432279159297,0.917104727969134,80.0,15.0
96,9.104575740267551,-2.4257857524038045,80.0,15.0
97,10.98454740738461,1.0016074730924078,80.0,15.0
98,5.052509414924506,23.205505799449448,80.0,15.0
99,5.532665174659538,11.351695035397409,80.0,15.0
100,1.6700778041769775,4.217332589367166,80.0,15.0
101,12.419742628126802,19.13694307887816,80.0,15.0
102,7.089316091142484,14.010553722803845,80.0,15.0
103,9.907665264243457,-0.5645262772294206,80.0,15.0
104,3.8630578341490542,4.6552413344552885,80.0,15.0
105,6.80077506404011,7.4786091725875385,80.0,15.0
106,9.187787021362686,3.550508212635333,80.0,15.0
107,11.241748761205262,15.400426446606087,80.0,15.0
108,10.778126014948679,14.785066385465047,80.0,15.0
109,9.735130951633497,-5.289013217345824,80.0,15.0
110,3.6258986135843783,10.023493164212267,80.0,15.0
111,9.118334134091358,1.8784421281264967,80.0,15.0
112,10.266452827133458,8.850252404810005,80.0,15.0
113,13.43617709695484,15.76540499635848,80.0,15.0
114,7.254979882502598,-0.6900848608334886,80.0,15.0
115,11.714637787669389,18.981934132724014,80.0,15.0
116,3.3023880761737088,7.531949802853568,80.0,15.0
117,6.386960315272968,-5.698551825070151,80.0,15.0
118,6.683603697095088,16.572468219519457,80.0,15.0
119,12.42837435305266,2.243602949431221,80.0,15.0
120,6.93510010415747,-0.33686301721535195,80.0,15.0
121,4.522645867167581,3.3331304844765555,80.0,15.0
122,9.569892644260944,0.41264128848717263,80.0,15.0
123,11.576837756323641,9.721654336488307,80.0,15.0
124,3.0901561355109974,15.047511578268914,80.0,15.0
125,6.788860528911736,4.420445928630241,80.0,15.0
126,10.685466562162272,10.31801381097197,80.0,15.0
127,13.454753160337601,16.375406193119844,80.0,15.0
128,12.118722866176684,15.940495590583268,80.0,15.0
129,10.727827084240158,8.787017522023064,80.0,15.0
130,9.123459955953614,5.1570514567753225,80.0,15.0
131,9.655549371350354,1.4500347030299583,80.0,15.0
132,7.947560257337329,10.916441205178746,80.0,15.0
