unit_id,CapacityRetention,CoulombicEfficiency,do_AmbientHumidityBatt
0,36.10723088868973,13.9587988284181,100.0
1,58.905627071801014,40.104137945586736,100.0
2,44.78208705303747,25.308275373742482,100.0
3,45.45985908706234,20.23459904122602,100.0
4,66.01396832798362,50.363118701866156,100.0
5,45.402417736434806,25.05188506640459,100.0
6,50.32340189110757,29.792063717918282,100.0
7,66.01939776046518,46.421616954591244,100.0
8,63.900872101590345,49.29781793766524,100.0
9,44.77187098472672,25.344950792823653,100.0
10,26.28134440048597,13.330985871138056,100.0
11,39.89758195833711,18.936490472342072,100.0
12,56.508412271043994,35.80057734830559,100.0
13,42.85638843353902,23.489100483141105,100.0
14,40.129606807416444,17.152534073198503,100.0
15,34.911627184877496,10.71405408767353,100.0
16,48.06534865684709,30.229107069522858,100.0
17,65.05581797801796,47.58305733908488,100.0
18,30.616614391132572,9.341218857430137,100.0
19,42.637414385216964,29.183419680884036,100.0
20,32.05396445006171,12.462793945534662,100.0
21,60.819692397712785,42.260993653398195,100.0
22,32.032676576146635,10.927153541443019,100.0
23,41.999490779735616,18.569755270017946,100.0
24,57.48095238563591,43.246474488352845,100.0
25,31.440598587399798,16.274169156539287,100.0
26,34.6306986024737,13.649097774432175,100.0
27,36.592467712469606,15.113160451308584,100.0
28,46.047787285782334,26.910735384936185,100.0
29,36.585002642703664,16.296330849037716,100.0
30,28.99691772674569,10.058928067461672,100.0
31,63.39177193534712,47.75951188116798,100.0
32,40.23049530334356,17.711592313393936,100.0
33,38.97616833221163,14.647735776249387,100.0
34,46.97072657732107,23.82165728429804,100.0
35,39.47095196347889,21.543411638342956,100.0
36,36.50333068796271,17.94383556452622,100.0
37,57.4504559548096,40.0458451185274,100.0
38,62.78738571862588,45.21424522659297,100.0
39,40.24022836093821,15.991119531306431,100.0
40,58.7108526817476,45.336958924596075,100.0
41,27.300289281137022,9.828920902298165,100.0
42,39.78697146689344,11.232185950164117,100.0
43,54.95720683720175,30.019557645845076,100.0
44,35.259260525057044,13.703018386817341,100.0
45,22.62910748852992,10.109564574272984,100.0
46,50.09412228712215,26.683322623657194,100.0
47,30.531748828946228,10.548983807486568,100.0
48,43.64801413850641,24.095179792990667,100.0
49,27.334311936630108,10.369502300201663,100.0
50,44.89423819727548,26.66015401068429,100.0
51,55.39738600684024,37.53329093405856,100.0
52,33.39304009015495,12.306444556036666,100.0
53,22.465269146819494,10.732140676644157,100.0
54,30.363030762364744,12.525815957464406,100.0
55,41.753031569807135,20.843451067641805,100.0
56,29.497329017512893,14.34160040680861,100.0
57,53.334005150680845,30.209497965883354,100.0
58,61.48327368242293,42.65710042245182,100.0
59,33.71204499615868,13.680900293343711,100.0
60,59.72114964560584,43.94527242530557,100.0
61,47.09118629948685,30.31462953387546,100.0
62,44.8002358567947,21.64975218977909,100.0
63,35.120434652489806,11.6765141568031,100.0
64,39.34786179967641,16.717595628715458,100.0
65,27.013078171131543,11.03289907145169,100.0
66,29.959431852577243,15.245186330896884,100.0
67,47.080470493223416,26.30694771635473,100.0
68,30.058792462451336,12.514553564134735,100.0
69,67.08604175463275,44.666843245960884,100.0
70,34.295930872465995,11.656264863985587,100.0
71,43.787773798664546,31.800565957813706,100.0
72,55.000956054770384,36.82130993294655,100.0
73,54.24166295543659,44.81891418044056,100.0
74,61.579822523055384,42.49072002563679,100.0
75,60.72878735731591,37.966214123615636,100.0
76,26.6204166103467,10.532284302687298,100.0
77,33.573496050615326,16.915151266903838,100.0
78,35.359186558282765,13.343163647899198,100.0
79,30.500799931134253,15.52957072855097,100.0
80,60.783063371514665,41.76296245789152,100.0
81,52.3954335830936,26.300989968544364,100.0
