unit_id,FeedWaterFlowRate,Osmolality
0,43.0010170222023,30.677676543645493
1,54.46908601980842,45.87950130264611
2,45.65454563079979,47.67111298636803
3,49.2911574724149,67.70644302486649
4,45.96654413242385,56.574194342234215
5,41.893954539424975,33.873522868336096
6,37.94317004846911,48.13694209976585
7,22.29593493467506,55.109847840051735
8,44.581442445384866,65.06539353581098
9,71.08274438534818,43.26523949656773
10,58.20340631693086,69.9276779313474
11,41.1529208065979,44.341398722478566
12,69.72927098212021,42.535590806428885
13,49.593336786273966,61.19590272227784
14,55.48583919353672,46.609709309609855
15,46.769025279847085,26.858932307684523
16,40.71255693309852,36.026769723448304
17,46.3251125389409,35.874058469657456
18,47.904157565027496,57.75897951543241
19,52.84986228713734,67.62633927641185
20,40.42043308064205,66.93282587278179
21,48.89481176395792,49.89578671437429
22,61.03977243122871,29.253596174416515
23,38.33970891494546,34.69550409601809
24,67.16981281314935,41.557663622808505
25,38.00390369631944,50.65847232500227
26,37.5891278730294,71.30583808584194
27,48.321806833508475,63.78225784728707
28,38.03598603054747,47.258173401523315
29,49.19763154434498,45.8050405108104
30,43.32865903379028,49.68126570091682
31,29.27744319182592,27.3216843325994
32,37.29946359743492,58.63422104852856
33,35.61655269250905,44.28904347301809
34,54.316959860556516,54.43744316497583
35,39.84175865360519,45.763735285097646
36,49.57913035260854,57.07185359299933
37,52.25275656861266,24.858182408434516
38,35.17139307572978,19.399695971039893
39,35.16989228700016,53.2476208651933
40,45.13572132298898,41.16185944834205
41,48.58880360620485,62.82740617453532
42,31.04281881130354,49.60684502782468
43,50.87696437660693,38.069846769732756
44,70.82251210445845,38.00600591319705
45,50.93534977510264,53.55108983775071
46,71.19407594845579,53.12179720164799
47,62.632593284179045,49.53975854532343
48,29.080004136310638,52.789635651340745
49,49.47827789786595,50.57467858019151
50,57.12479344874394,49.66984835763373
51,19.69240248071553,65.00223620692651
52,37.63678892383125,43.856438434155464
53,46.898178198293365,58.18648571485129
54,27.792605281308205,60.77915437994551
55,49.31363959256711,56.58028950662581
56,55.087942205719294,46.84475075851437
57,49.92038219637227,64.14636339032769
58,40.98643673853576,36.4169344818754
59,68.2501866244769,61.65446189889035
