unit_id,ProductTiter,Osmolality,Temperature,pH,CO2Level,do_FeedWaterFlowRate
0,18.792651567479247,54.133499442992,52.80317333510561,56.967287075049974,29.366506663135937,0.0
1,21.018044121731574,49.06840139648457,70.0389678003887,59.71137851456355,59.54666055126716,0.0
2,17.072736476826528,38.14987080893752,53.48385044521251,56.631534080121675,55.98823548714611,0.0
3,12.088106713042801,45.60019204266888,35.292843740458316,60.19229150766351,63.588786397495376,0.0
4,25.060120248686726,48.73372838253988,54.65937700526395,51.49121318385256,56.20370385336451,0.0
5,23.298694278572654,63.93456260727197,29.147871337119575,23.338822304884328,39.784350048428735,0.0
6,19.841182600552315,55.422889358783685,30.80511461066988,51.35574894181125,40.68043570163835,0.0
7,18.4751693038075,52.526265853378085,40.293789699934884,66.26676472047546,51.42125566345523,0.0
8,24.529985241465276,49.76133785884621,52.98692101246892,66.14593011929304,38.54789683730165,0.0
9,17.99799795571002,46.356731762921775,33.74803364746972,47.25578916982239,52.8095100392715,0.0
10,21.14169310033542,29.606898678691067,87.2736514729466,65.43974561538252,44.24490778257625,0.0
11,30.202677688629464,49.78277601100937,53.082664600506575,55.70018643317563,55.63849715298264,0.0
12,20.29022987595489,58.19932012937754,37.864243525493194,42.3571426800768,44.955481969524975,0.0
13,24.736913007302515,51.789735716944435,80.09700636692176,56.01054764199702,47.17970005125125,0.0
14,20.232038318706415,70.88368370461276,50.08751643411396,34.29474294144594,58.43246992001129,0.0
15,12.382671997078791,49.54703837927248,43.42289152021114,36.10987448790264,60.63319958739214,0.0
16,25.496078821993372,37.99432163666883,54.94299320602502,35.323352510008874,35.14569696623969,0.0
17,16.208263802100497,52.19817091909114,77.6003519315213,61.27483903099721,55.89980790179715,0.0
18,16.867114037724733,47.19620870984032,78.64900538899131,46.890592148741725,73.85205626823526,0.0
19,18.462082125159707,34.05489978521589,61.16588135880635,46.60483182543116,41.80373813160578,0.0
20,23.724679202845657,43.60838338999209,53.88109956682987,58.75610405376109,65.56922933213971,0.0
