unit_id,ProductTiter,FeedWaterFlowRate,Temperature,Osmolality,pH,do_FeedWaterFlowRate
0,-4.038612653176596,18.91366933624248,52.90632262535315,63.390083390736294,39.42743503326419,25.0
1,-1.3124484156181557,22.079401549970363,58.191491349374495,54.332253751933706,44.23271575517271,25.0
2,-10.540428579044196,22.52965550162095,58.16724960372101,37.60580941962523,40.67479833907373,25.0
3,-2.651509049230074,19.61090664816113,66.217450169962,43.89549844672959,51.4888804301282,25.0
4,-16.421577378949756,29.046775843419184,49.03941365967653,37.586284042010185,42.86407702574639,25.0
5,-13.419967830786273,28.787364030879164,24.948917442844586,65.18743502646885,43.0470096198019,25.0
6,-7.312238003519012,26.01056449175116,57.74271018370455,50.85875780061807,56.388829820676236,25.0
7,-1.4169183920836712,26.73382402576458,54.34145378749814,54.86264861824325,35.71470492573006,25.0
8,-14.981584665844386,24.139536037180427,83.9953338729151,60.94035764559487,51.544564376641084,25.0
9,-2.959004429379853,24.90766980648916,41.63880443395224,55.795201023363425,59.344510405829254,25.0
10,-3.870310936729003,20.456436415270584,40.1219921880326,50.02469880163421,49.34212514616162,25.0
11,-3.8271922793147364,22.580262719332055,51.606928903217494,49.51982333739582,67.90760660255478,25.0
12,-10.363914447480418,24.011540104527047,58.5921712774964,44.65911383378397,45.65137094268328,25.0
13,0.9534150831658859,19.77279367832571,63.35310599310041,59.60461648434138,35.1675801623125,25.0
14,-7.103412674403702,24.30129547149992,64.9927024262075,64.68354949218897,62.266054878651325,25.0
15,-1.1484810421362837,29.11563143180761,54.97549925920922,50.246204473144566,43.69138741541461,25.0
16,-7.96417702287474,22.89901860419746,51.824582877306085,36.25797433298176,47.842239008401975,25.0
17,-11.592798802622672,20.267587945668232,59.38997222716585,38.539274110938095,50.63929477819006,25.0
18,-3.3520601194544506,28.758686655130486,37.780888084343815,31.081179291949944,58.94336133183982,25.0
19,-6.606879078414028,27.049130032441713,61.53831827555685,39.37667026257921,54.04731144805875,25.0
20,-8.010124799074006,25.342231947598414,60.61925804108031,36.02370189844404,57.73602223094245,25.0
21,-1.7497598938742271,28.054269351679903,59.66128199954567,44.48838031272696,38.05801870038543,25.0
22,6.56169159711825,21.99295930456109,38.35067072705434,36.64258303834686,38.87478226523616,25.0
23,-0.9027101310452057,24.21820084097739,50.695572055110354,55.307922106927016,27.129581606170554,25.0
24,-14.465668353830768,31.245156381396,55.05082388396349,46.995625259777675,30.833821231326606,25.0
