unit_id,JobThroughput,InterfaceErrorCounter,FanSpeed
0,18.761682131430156,20.95292457660652,69.53624590060114
1,28.805955117850708,28.999764702927397,74.1296228585167
2,33.361440349038844,19.637888021173065,57.409401748594576
3,19.73407783591916,22.87445644197849,64.75932366068355
4,20.75173999241509,54.414429175829824,64.99095605549233
5,6.423279540749187,66.50474826968679,55.68638132791516
6,41.29591175100724,30.575522296165857,65.42625996503467
7,41.44072119681066,38.4506142580539,63.648665118063505
8,25.408357794981427,28.006025219922236,47.93627548755915
9,44.32743087078934,27.22352016895402,61.35166202418952
10,26.425359520098954,12.475072716383927,87.79858101397063
11,45.2799842723643,14.072983441224618,76.20455749497255
12,13.748590598210544,43.614550286695966,64.83187772245445
13,18.791008242510053,24.25548699287124,64.20127113770961
14,14.137866600715174,46.44030784083597,63.651021231438236
15,16.91479383555849,71.51048286950426,60.03174904808308
16,30.028370732195384,26.12825952181676,50.342054194205886
17,10.67305609277152,23.47922709755246,50.02242282276956
18,12.857429362302355,70.40152346995588,49.802995222129375
19,40.82470530591595,35.96556776066289,66.1987422697204
20,31.67579794482446,36.585074056589754,53.6954647577775
21,37.69241538827353,51.03554322185602,52.843154022382784
22,70.9006425576423,-6.786924478576819,56.9751985682162
23,9.729983731255182,44.548464722101365,62.51131455432768
24,18.73349856684703,70.19122539902722,71.61493900624845
25,12.22078304988053,52.49812239916865,60.92837269734286
26,3.3697161817196486,53.11147433202078,73.53742435750505
27,39.82495767907402,31.67541454764528,63.80846861700629
28,5.588852859462416,60.70932842275623,58.98609458058623
29,19.986000445581077,50.43787261367077,48.05446040274946
30,57.994306873939884,23.730038373720713,45.0389786357658
31,37.86102902596201,33.409554193400425,45.73098467620751
32,13.259152005649561,54.88302670055764,66.35470162622727
33,15.710511923656387,34.43468120996375,50.58481769387634
34,56.85963374134941,-12.695886962275384,69.63039749146365
35,48.005143155939436,14.755105896688407,71.71600930431237
36,20.52962217817717,22.841456634143597,52.24855442657456
37,31.36021439492523,27.55294420745867,65.05318429894199
38,19.13006081002701,29.093273556312308,54.87626462117355
39,23.020869191247776,37.19457208666035,66.3658612978474
40,24.505174945691667,35.743468797322315,70.59751268667664
41,27.693824151917745,63.75467283812404,71.72756886128741
