unit_id,NetworkTopologyHops,FanSpeed,InterfaceErrorCounter
0,47.16616804113483,46.304744319386764,47.328344293764516
1,54.862801016872574,59.787370675293,31.95613555344122
2,67.79388625288038,41.693018998462065,37.02149963905282
3,60.28897507215681,51.74131481151956,17.94371251772405
4,44.32444473201658,40.020420922553605,27.14553920698465
5,51.80188144700014,67.55830258274105,40.739093109052575
6,60.03488325776101,47.586361409847584,42.51829825932529
7,50.74378160598565,65.97621036085499,39.36652881469991
8,55.25695740972115,69.96958149642198,61.142283488872806
9,46.24101787814122,72.47908629854312,21.24805469547447
10,36.07096719095929,60.14974979909086,44.79942308123268
11,48.499840735610704,63.35681638302946,47.45426193623757
12,49.44917871308719,53.55283258811353,62.327816219355505
13,73.21686972323462,60.86468962150285,62.104377238305915
14,52.655083895913535,72.31963975326242,61.21147003887431
15,58.5295588030896,66.57985442914679,14.043083945448902
16,43.74827121079984,60.00020201153478,18.69315517482407
17,24.779430938700678,62.81833425191143,48.41143054550312
18,58.18265589204322,61.28349600653179,46.132335904688006
19,68.14002428072679,56.68308856584334,26.996063216217493
20,59.09586446882972,66.7663216116957,36.057285811953165
21,30.268955005111618,65.80609972545224,20.618321569321207
22,23.749229933292987,54.829606104721805,40.14824193413528
23,34.47826519170529,52.036924339976295,64.38663986011622
24,55.506324299302804,53.090591374000624,65.45998686570272
25,53.09679799454069,56.46094058636876,20.7353292789794
26,51.511657814116106,48.54586303362373,56.42428032228367
27,40.82507792904592,59.241469542831545,15.132291689029305
28,16.80400552220943,63.99114747389703,39.01052366747665
29,33.84223591065874,72.14503987565651,39.94321837627684
30,31.58913007864644,63.13880518572883,35.195365644265905
31,43.60299491827227,45.635665191447046,45.511508838017896
32,52.54154448618949,68.99036005046408,47.41085282676259
33,58.52792602757795,43.96584599444264,21.580762011614848
34,39.920220044433975,68.38511430771939,40.651827079552625
35,48.612975355415315,50.66676378478129,33.665626867488264
36,60.617475066092304,57.86719737944784,35.80454850701622
37,36.72161926413078,49.60502579958616,67.75123452769168
38,48.67290028263238,46.88518162437585,34.32060283172117
39,40.50211383344363,61.127217686494966,11.878178472182164
40,56.376895972995285,58.27819881486256,24.20999024577876
41,54.75402255401745,62.346546293508766,75.26786725517734
42,56.67582194488371,55.97182684567953,43.830257177027754
43,66.44377442814131,54.64736962753173,22.21224499594658
44,58.421433029612196,68.72569976011584,16.452524835804542
45,37.65722051446838,68.70113160864311,49.502928714198354
