unit_id,CropYield,EC_Salinity,LeafGreennessIndex,do_iron_fertigation
0,15.497492745140713,49.67447697743513,8.138382494490003,5.5
1,22.81814960715806,51.90569702309587,7.662142766962274,5.5
2,17.486305136270094,57.36821122686931,6.863750528972835,5.5
3,14.099444355784616,54.79567570692275,7.209798078273737,5.5
4,25.522480676086342,54.014801616121765,8.492848034956529,5.5
5,22.805405995053675,43.73077030242874,7.521056124332895,5.5
6,18.60376831173248,52.19811095127574,8.058738017735637,5.5
7,16.587223672322033,50.68824734225911,6.956022079308558,5.5
8,19.35398115188776,40.990128120090674,8.015494164425354,5.5
9,16.63549326586614,49.38666948986295,7.349072807112592,5.5
10,21.16041842095795,56.6649938801466,8.22931243414732,5.5
11,20.409170889615886,36.689448611525044,7.457517690210272,5.5
12,17.335341048013717,46.741953642231394,7.255888654271827,5.5
13,15.289145205601105,44.049339514881005,8.388322238541255,5.5
14,19.05275835806689,64.39809271197674,7.008851605340057,5.5
15,19.753785149060683,64.38691083507612,6.826639743353752,5.5
16,24.016017498828756,42.16498932852115,7.413939512674075,5.5
17,16.964706505921917,59.90997398966214,8.700679017814135,5.5
18,16.636724347221943,61.23602359919472,7.4853032952959575,5.5
19,16.985506303071862,38.94602412915325,6.872628764934458,5.5
20,18.65026532254997,49.75106216334673,7.340883676528916,5.5
21,19.985296490029523,37.69674008281835,7.8463576121446375,5.5
22,9.091735928179503,44.10628393698619,7.026007714492053,5.5
23,18.638640633600208,45.20140710377744,7.6010674871547765,5.5
24,20.910863736435406,59.46938348512629,7.419110260722472,5.5
25,23.300327171733844,44.47558031415741,7.0489980429248735,5.5
26,18.826268017888196,38.28110333698419,7.464799927414248,5.5
27,22.34485275979854,53.18330679908464,7.434120315042374,5.5
28,20.289699886767742,57.68250926733986,8.77216705038669,5.5
29,14.144864351327948,36.737170640730206,8.33085969610345,5.5
30,17.682534598712735,27.233426153869633,7.62062172902458,5.5
31,23.614959000757178,41.91250126741533,7.273460594856401,5.5
32,22.13950865341146,52.10355041434147,7.907134297563005,5.5
33,19.386524623190805,75.00355010464985,7.7379279577637,5.5
34,14.388894496833197,49.01161276744342,7.505737054502221,5.5
35,19.693183803123496,30.85242092780295,7.244288406984691,5.5
36,27.40955688480355,37.03062672555524,7.41499851856412,5.5
37,20.032018296458016,54.59160666142473,8.125141535136411,5.5
38,18.329863350080622,70.76816656593795,7.323559247574169,5.5
39,17.61941983529508,54.365123873546565,7.685086185998871,5.5
40,20.584923907781082,40.15047973589076,7.618238488033662,5.5
41,22.906335817778327,34.393767017521796,6.324002056061177,5.5
42,18.383191648385587,53.82710596916612,7.954730897376872,5.5
43,22.033012705153247,57.64795630738459,7.83502990590099,5.5
44,21.71863610516329,48.493731659923284,7.38063113816146,5.5
45,25.270641211054222,42.196009222473776,8.23040886626141,5.5
