unit_id,WaferYield,DefectDensity,EtchPower,do_EtchPower
0,14.01325630643757,13.173847495990724,29.397601070262958,25.0
1,15.81007978163014,4.933344313680092,26.55013275702375,25.0
2,12.189796031689228,7.910869199467303,21.761287536749595,25.0
3,6.85919758718186,17.988848789860143,23.833498355513406,25.0
4,18.71175900090771,2.992545949048166,31.52502008664879,25.0
5,18.455162123127,15.724736869901637,25.69751173670526,25.0
6,14.914575220524554,16.98364282213882,28.931998842880137,25.0
7,11.09542787372433,19.803863657957546,22.298587518107144,25.0
8,20.588310287572355,2.4182167669184507,28.675667025495564,25.0
9,13.160346518252016,12.512235197841733,24.678731534290783,25.0
10,14.992072953101234,10.823052729275965,29.92096216195707,25.0
11,25.27079656344705,1.5188309982612633,25.315313008179942,25.0
12,15.338507987952593,1.4796190137281027,24.113161713641233,25.0
13,20.655065449235167,0.4981279128204399,30.900458474739537,25.0
14,16.240634778487237,11.103946165278115,22.63056173679985,25.0
15,5.9079441317261026,9.837818083631776,21.546342005760035,25.0
16,18.472034688289625,12.056122118137832,25.01233278231376,25.0
17,10.578746791383459,4.396162472909981,32.78435911078257,25.0
18,12.095024692109934,22.299649947532885,25.489374576395434,25.0
19,14.255116726026504,3.769649701022243,21.81421836424357,25.0
20,18.522592195623794,3.7602104740413838,24.610574053077112,25.0
21,13.080401279980128,1.566350154624729,27.651575106758102,25.0
22,13.592093786979628,6.536505154418437,22.729838509413526,25.0
23,14.139528645882093,16.599519695824174,26.184881077455945,25.0
24,15.527606428110413,14.753781642739972,25.10183770442231,25.0
25,20.194455755667942,1.9383387078068175,22.872086485351286,25.0
26,7.400893424129518,9.17299031185874,25.38052849785465,25.0
27,15.399411823975452,6.985911499970833,25.170677058673924,25.0
28,19.007211322206107,2.2167848387664915,33.213055984527855,25.0
29,12.426195970633563,5.231026246015392,30.558632941809066,25.0
30,22.07911214302328,-6.851601926537548,26.29766695455232,25.0
31,18.801666698352978,10.25759310115615,24.223735557664273,25.0
32,17.909232756917376,12.672628004678042,28.022843568996826,25.0
33,13.116361592080443,36.52995987091181,27.014618554283068,25.0
