unit_id,WaferYield,EtchPower,DefectDensity,do_set_ChamberFlowUniformity
0,13.591406981612117,42.24260398869263,19.74233497820366,75.0
1,14.843183154568568,46.01329861948792,26.913385323960878,75.0
2,13.398861292223906,33.197867039437135,14.747583748421315,75.0
3,19.82290204111523,18.23278711103397,17.09612735319085,75.0
4,11.041281782043292,48.97251042742454,30.26889990461558,75.0
5,16.484786931423383,34.609388643543504,9.883684522812448,75.0
6,14.96179080503344,21.45591887997638,21.8386177180914,75.0
7,17.954250110975263,40.90652664849478,12.546108223480763,75.0
8,11.10816425011953,34.96601835004727,24.987998170079088,75.0
9,6.307467696507196,50.17575908257533,8.05740958042464,75.0
10,12.302866445712779,43.987081708952594,13.485110574260245,75.0
11,7.858126432281695,29.58785612609511,18.831062084457685,75.0
12,14.330420062225176,36.254719375056595,14.10136775958771,75.0
13,19.567963562087197,35.37329980126214,10.560539142327686,75.0
14,17.995889311756553,31.42264372856023,17.602511869655256,75.0
15,17.140535920619943,35.65593964604612,20.551684361830375,75.0
16,10.808382417517638,46.48167624458517,1.3292820578379398,75.0
17,17.852040428997647,38.1131321417377,17.607849743139408,75.0
18,21.453629030795014,44.8649406265329,2.612248167991778,75.0
19,14.063406581592073,45.67175975362209,24.77485277279048,75.0
20,13.870105878147584,39.49109933809365,4.849001464577423,75.0
21,20.86949794393483,45.598342898508584,2.305476293415996,75.0
22,8.105031580493689,27.167238365909462,15.550709551358292,75.0
23,23.632455162267757,31.310799777810374,8.664994246405644,75.0
24,9.443177460917145,40.982310736633835,20.04291356486823,75.0
25,23.089011303829427,30.877266145450974,14.37790297073092,75.0
26,3.837091296975827,32.3886230601954,1.5301569510516693,75.0
27,20.29182069413172,23.490897795545365,2.5775959448974994,75.0
28,4.415942015172848,27.286870615493278,14.415916030729104,75.0
29,16.66353356392294,23.021753353309744,5.2630174932241856,75.0
30,13.413118065955294,43.42881919590317,9.502899161166773,75.0
31,-0.8126601077191555,65.16631381685525,34.24413006231567,75.0
32,13.468099380801178,31.806397227626633,18.690940271333833,75.0
33,-11.290604913106186,58.08806000470103,38.88550670572202,75.0
34,2.977583490622487,28.397207095033544,15.71368393335821,75.0
35,6.476906358141263,38.02975601536081,16.289046263128533,75.0
36,-12.26163576609903,68.14212969814332,30.233851425747922,75.0
37,10.306599905988447,18.864578285811827,14.463584721524882,75.0
38,13.38061597130722,37.629078688843244,4.419413251493694,75.0
39,19.08440123455469,43.874718049340586,18.750405519741115,75.0
40,16.081235989473356,17.504102444748696,15.732479264264468,75.0
41,10.870276632600493,40.77052845085369,28.33559046236764,75.0
42,18.50301915825807,48.38832938729972,4.308032624165642,75.0
43,12.091318062745888,34.813688385062555,10.27612417726026,75.0
44,20.52610346341119,51.02453747736589,11.09520955971323,75.0
