unit_id,WaferYield,EtchPower,do_set_ChamberFlowUniformity
0,-33.41950376975809,62.7824582153073,55.0
1,26.734790697831375,48.39327637947409,55.0
2,-16.99478643843816,28.116801666382084,55.0
3,-22.739901066348597,47.03320078635004,55.0
4,-29.434319867693876,57.039606541676136,55.0
5,-22.827471687917004,21.608418600409525,55.0
6,-5.713151470473141,34.31085693329173,55.0
7,17.16400377432677,54.27037662273013,55.0
8,-19.535679810316402,60.68904537575187,55.0
9,-21.37567148830329,23.448705643259075,55.0
10,-17.05749736663074,28.788743739657388,55.0
11,-3.0329420603197508,38.1148290748626,55.0
12,-2.305604666829878,48.41892215813582,55.0
13,-10.803106270573588,26.292858537475407,55.0
14,-12.171154582182677,53.859596374092085,55.0
15,-24.0443402603803,46.51622094876426,55.0
16,-15.842191327126375,43.47275253761855,55.0
17,-1.3659471849493108,32.70432242975318,55.0
18,-12.668518821150439,36.67775462664782,55.0
19,-9.783269291542018,38.817444884672184,55.0
20,-15.159897343470927,59.64001918532216,55.0
21,-12.921717070401892,41.837692430165085,55.0
22,-22.290550102675954,55.08387781408764,55.0
23,21.931574501819583,44.14933758875548,55.0
24,-6.266914247616274,50.982756575596596,55.0
25,-4.366046412582429,31.508479678675705,55.0
26,-16.114644524858406,60.60634812289653,55.0
27,-4.396626684495273,33.92708508078261,55.0
28,-23.72999346465549,56.71275631266562,55.0
29,3.2951608695893233,34.3259922495304,55.0
30,15.923213829434445,24.590392234930846,55.0
31,-5.823814139199122,61.11436226115922,55.0
32,-5.882364024381367,38.199974614882464,55.0
33,-21.693021603447804,49.48477806068811,55.0
34,-26.66408100336606,59.79103267511444,55.0
35,5.25072342198672,33.877935424663406,55.0
36,-9.100572748557445,60.11425403614546,55.0
37,-10.120013383687688,37.90811903731771,55.0
38,-3.3969369165913488,46.01129400738029,55.0
39,-10.593548377015056,47.89516623451767,55.0
40,-3.14035147007431,32.2900091751557,55.0
41,-7.018294356711821,46.493308232280135,55.0
42,-6.0462140309494785,42.8933984670063,55.0
43,-24.34157310861153,43.94861069389613,55.0
44,-0.34536185755734733,32.962268868515444,55.0
45,-9.517591347568942,45.088646713261966,55.0
46,-6.510756939353601,35.86418720797202,55.0
47,-14.5181605369787,37.45861886779587,55.0
48,-6.6550082266587385,30.873197162278053,55.0
49,9.80575520605256,30.969404661549998,55.0
50,-4.640245191686185,43.766938667306306,55.0
51,21.839843140312553,21.617742306940347,55.0
52,-21.515914854573932,50.98460597127522,55.0
53,-5.517862680634488,48.59367268465179,55.0
54,-16.915578318826952,44.41556344414804,55.0
55,-21.768623484474176,55.7438862406828,55.0
56,-27.96686305689654,40.185743558681416,55.0
57,-26.388461393831566,39.963833194429554,55.0
58,-16.926066675192196,39.681155252786354,55.0
59,-3.5693862906179894,36.262402503975814,55.0
60,-15.231754000579384,31.45997011595274,55.0
61,-9.453969587195878,58.256271985669315,55.0
62,0.526700235561945,49.82508099368785,55.0
63,7.7751493665390425,20.05046029319536,55.0
64,-3.921001855943965,21.675912762563467,55.0
65,-22.443211429883547,46.45072322255225,55.0
66,-14.662951409033534,49.82410335165357,55.0
67,-5.956292676067026,37.45397683829004,55.0
68,-19.566340513198895,28.042148186575197,55.0
69,-37.3821482506385,46.605869547185115,55.0
70,-17.725275249683925,56.496603660334415,55.0
71,-8.876436412649783,25.822879368808707,55.0
72,-16.117945222614694,41.30833445854111,55.0
73,-10.657589796703714,42.535095852369174,55.0
74,-16.447528804784007,51.516031885430294,55.0
75,2.1075127825966127,57.740165416866894,55.0
76,-8.250192916857637,35.176607245421245,55.0
77,-11.091838691102522,39.22937360700893,55.0
78,-20.123581475482673,30.679602560681378,55.0
79,23.02547196954597,52.730930433665215,55.0
80,-28.025842874174167,69.1569649075418,55.0
81,-16.153315665769924,53.739883461469496,55.0
82,-9.455690493898196,22.2006490985287,55.0
83,-16.93591895209245,50.06067860025415,55.0
84,-2.0329627104129693,46.033693025829216,55.0
85,1.2608472885563695,30.172105340673447,55.0
86,26.160403808704732,29.149010922953078,55.0
87,32.13088908361115,21.610686758058264,55.0
88,-19.5389339605421,53.11902543213634,55.0
89,-9.860004204661738,56.680119144507444,55.0
90,8.796043456366137,30.77590531102157,55.0
91,5.120310065705009,51.52644950233185,55.0
92,-3.8692470355837574,51.87571046436126,55.0
93,-20.52433073614325,69.63987497125422,55.0
94,10.42145502262409,35.18709319293713,55.0
95,-15.769917520738565,42.94310823211937,55.0
96,-15.297071053040995,53.35095884275914,55.0
97,-14.138284246789954,36.56311064651094,55.0
98,17.833131025053486,25.664240862291834,55.0
99,-8.708896972032601,41.09036735216126,55.0
100,-6.559689943254164,38.91576777070191,55.0
101,2.6124764452260076,22.211165906252763,55.0
102,-12.944093348554153,46.79758653840574,55.0
103,-19.34292668093013,19.608070713206637,55.0
104,-4.864197546346035,38.871809673762385,55.0
105,13.78712187226095,28.714067286333943,55.0
106,16.426801141698082,27.11435246130127,55.0
107,13.723689016549883,36.09986767513074,55.0
108,-26.350119416315042,58.83392916358772,55.0
109,11.455547545791594,31.632538060921117,55.0
110,-8.520827048105856,37.233652179430734,55.0
111,0.941452270080426,38.423502159686855,55.0
112,-23.85687025327063,48.62955466506122,55.0
113,-25.095491539885657,57.939250718929166,55.0
114,-10.275281997685282,49.2002443713641,55.0
115,11.680224158930331,28.63640194342386,55.0
116,12.144603239522592,18.187262211337355,55.0
117,14.674418059382848,22.200638651324976,55.0
118,-19.2443635403473,55.384850255711875,55.0
119,-15.153383926710564,39.69031835904292,55.0
120,-2.714840420017026,30.74179150806099,55.0
121,-9.880341620319648,55.586190051617024,55.0
122,-16.39417135302909,53.23689263093608,55.0
123,-1.4068510218109302,34.254491931583004,55.0
124,3.763252719081472,20.373348626396247,55.0
125,8.50659079364275,53.00523089774979,55.0
126,-11.163517248186661,33.63332013300463,55.0
127,-18.177324891613114,46.67554535790351,55.0
128,-1.661090925737891,25.645209793768196,55.0
129,-15.47387455849897,46.581215118705884,55.0
130,3.5151366258018415,40.57613808944429,55.0
131,13.086077426417344,36.441034609707735,55.0
132,-25.784593177110832,48.82248846799527,55.0
133,-23.737313986636853,63.36455610674828,55.0
