unit_id,WaferYield,ChamberPressure,EtchPower,GasFlowArgon,HumidityFab,ChamberFlowUniformity
0,-10.241465088706702,65.2382107374582,28.35146025140011,59.562908653116224,46.26666302663622,54.7833702414562
1,-25.860116244989467,65.49602679519307,46.63669120546364,78.6713219064687,65.05803282311068,42.31002029102875
2,-13.947566795418957,65.23444905989321,30.960379999548056,51.70595302033092,30.65698476767028,49.70965211331761
3,-3.524923864100253,71.7599290454949,27.567413457915794,57.463299246326336,24.111684377905355,54.17597246587061
4,-22.899681285208686,68.16711801326655,49.299885394573806,25.144619546728396,46.63230321161207,67.77591158892203
5,-22.033850574578008,68.22383871592939,63.833811435785336,40.84513481274683,62.16289318652987,38.943442904054045
6,-13.742204883107616,77.28462326614749,31.909838185395458,44.96789461536921,57.95890432831543,40.48222898101146
7,-23.34254296722101,73.28980525911601,32.42135662194796,65.38536413424657,39.14629620229797,55.57337407403923
8,-9.171940176067324,66.04875169570454,38.1083199380942,40.20755199398299,32.6808825335129,51.95428067347842
9,-9.81202793866702,85.43857690734326,42.648687907141564,64.08753752823566,53.00369575641713,34.543870748965375
10,-20.038307723049332,75.23792376532816,55.32843045852056,56.64595923132813,61.32609634026384,50.50746874583416
11,-6.00892965867237,63.23826800057867,27.97878000757277,60.606628696674264,55.8173930607223,34.083626601734224
12,12.806413259307575,91.87467755690099,23.546218043915008,23.397618388633017,45.67754698786008,66.56820933898588
13,-12.934981950011238,57.645032855868195,40.355433557562755,27.180948333192074,44.099219678744966,47.600561405524914
14,-10.665250756572776,78.89487434987912,36.28181008817979,70.37760372068317,58.08675485144027,20.001256220356485
15,-20.341255488570138,60.24656800714674,44.870731467992755,59.92095632152645,32.67404495937821,41.010320822794284
16,-3.5843333893463343,78.59781526711566,30.53970232339368,53.676694601596836,44.87894774777659,34.85157611466795
17,12.062337343467167,66.45093832776571,27.489734579472625,70.30284855238096,34.4457786775283,37.85387014206825
18,-16.73812361592225,73.06251085251859,32.15727122116401,34.12453706209221,51.0660223487988,45.83055705805277
19,14.958945762933098,68.00640738703287,9.552938925607965,53.37232088350201,47.96336494919806,56.15247884283251
20,3.547005913038569,86.7965654176949,38.4497693852634,39.13539471807919,64.52658006993333,36.79167086695685
21,-5.846751760440937,82.98317512959433,36.035006393894385,53.053123441411834,50.9875161234664,67.02944353894621
22,-9.337032814013117,62.953184224397724,41.92350060212942,3.2362250772087755,26.478733885104674,29.716734361537878
23,-3.497546109568963,77.6972911884906,34.05532341114157,58.134553195566625,58.06598246158588,30.38252328347062
24,10.375470730664869,107.83057556091717,52.20024823707542,57.92506443938463,48.57361698052518,42.75597196325244
25,-19.65484269707088,77.69748709745153,35.93163702133223,77.45302731068503,47.7387898212018,38.60961689118219
26,-14.9670626004058,66.73345664794009,53.88790782025989,42.81094395676199,78.52761939735564,56.291514732220975
27,-16.582343160359656,82.7245150971886,31.665244028849056,32.34799136188928,54.91703845246099,41.94813471416561
28,-18.284884676298656,70.37451096795836,38.320608405846706,46.76070089210367,45.039986131586694,40.43087188553918
29,-12.024642387485635,71.52538084057575,26.933488205788827,60.976712797425876,55.541888760571034,48.28221415184443
30,11.759257489088172,94.07798954855375,47.730502343376024,39.415352423243,57.14890412978463,37.03000924406751
31,-11.826611172679486,79.78388120680515,48.59794591566053,48.48558694535472,47.738885313132464,50.805179556887104
32,-7.890853250071471,91.074082273196,43.92383914939679,50.89687923500728,61.8754225949265,53.5524127852728
33,1.7543127067809525,96.49711242335458,45.55709242862196,61.39377735693699,44.93617268821957,47.80007294857106
34,-27.13621152197015,66.76813457293588,47.59266434486491,58.74780597305426,48.5179029289819,69.63520729329325
35,-24.69965175499464,72.17231984852108,61.76132685487089,40.128988494180625,50.450717445108054,27.024661252846723
