unit_id,WaferYield,ChamberPressure,EtchPower,ChamberFlowUniformity,do_EtchPower,do_FilterUpgrade
0,-4.0746632510695076,68.655620770405,12.78215672724335,46.23908198648587,15.0,1.0
1,8.14272387826114,57.191083209554606,16.332877100082793,57.02450567260368,15.0,1.0
2,25.132284870066034,86.46923346918489,13.966825293090062,53.51587023793023,15.0,1.0
3,0.6366308543350128,81.785913044897,21.15906214947625,43.21481358402948,15.0,1.0
4,6.683370445561717,60.12057020813274,15.329581949926428,44.03083781258307,15.0,1.0
5,-4.095174651521612,77.14820578645724,14.571420106390878,32.023958110263386,15.0,1.0
6,16.13548316307716,91.69182596602627,13.184439867975989,43.01782237474971,15.0,1.0
7,4.139771244673328,83.90862342644436,9.399553657338275,47.34488884039554,15.0,1.0
8,12.880498025870198,69.10721508486046,12.917957849747332,59.55817261138702,15.0,1.0
9,27.81172574584472,76.26298177105684,19.919823907305805,53.65607397348515,15.0,1.0
10,19.495885148915107,63.14702337314237,12.10782045677301,51.533585182708144,15.0,1.0
11,18.413649944016438,85.25615082201026,14.64510265057038,42.83888223101324,15.0,1.0
12,18.40420827711654,67.18066673279658,11.815779878447948,62.26737958419878,15.0,1.0
13,20.564731128220675,80.30047857196674,16.87547270851629,34.90783842899734,15.0,1.0
14,14.344604694374448,66.30548699900478,13.804136079108169,61.47649100489903,15.0,1.0
15,14.347274478238907,72.62725264788277,18.50903670047252,48.41061523851877,15.0,1.0
16,29.596556240593145,89.24001596731307,12.557671165474089,65.86019288394233,15.0,1.0
17,17.545498257854835,73.9673376920586,16.781370155931505,35.581933827636895,15.0,1.0
18,-2.4044373488800725,71.85350953879622,15.668120092286864,46.719138844996294,15.0,1.0
19,6.391975134632487,70.09158392802681,15.311310899050145,65.9553501142062,15.0,1.0
20,13.600307036574971,67.97462106644919,11.847444768332458,64.57131530359327,15.0,1.0
21,8.942913379273207,92.58199195586344,15.472882147138373,60.52237092377794,15.0,1.0
22,22.543935242507775,84.28769115959757,16.746520165435864,61.4898967937049,15.0,1.0
23,25.649581447536733,77.96167756346934,15.94824768253958,59.78881458407796,15.0,1.0
24,27.568560539104894,93.92008064178293,12.122812605890209,61.80754147200007,15.0,1.0
25,-1.8287070801388026,78.17282933329665,17.91496385445703,26.516941753606368,15.0,1.0
26,4.424057659255755,55.18394349973046,15.575295391801816,45.862577320131045,15.0,1.0
27,11.85547897827892,80.3028440720748,13.233500561292976,51.83298715749696,15.0,1.0
28,19.052277026984793,79.19429565714523,17.607676371115158,40.96002102825871,15.0,1.0
29,-1.9866511632943156,63.90103145740469,15.048946315538844,73.3942108596077,15.0,1.0
30,22.5577353704536,89.03114081865539,19.095193389801196,60.961676702540416,15.0,1.0
31,12.140971858077439,78.94446947019124,15.689678604882566,54.36633706049214,15.0,1.0
32,18.04438786948745,73.719533661934,19.226246944140016,66.23211867765113,15.0,1.0
33,11.605514913871811,79.30553708603371,21.1228824794292,61.907896752840756,15.0,1.0
34,13.805736105021262,70.58630020150532,17.124561317820742,55.27601513713691,15.0,1.0
35,17.775553034782828,89.83945670867277,14.464781496824308,51.75785268733685,15.0,1.0
36,21.46737154000823,78.3065235358739,21.440860662341333,34.73908876563556,15.0,1.0
37,25.804184680748016,78.40767151570438,17.701596036027478,52.38257933393139,15.0,1.0
38,22.827710619606385,74.84739464249802,17.086036034427604,44.08055403546824,15.0,1.0
39,0.08697723254164336,64.33170222957649,11.33349731376785,29.15487483546735,15.0,1.0
40,17.74437841525837,77.50298072761342,11.725614089106866,62.595846039848716,15.0,1.0
41,19.401620359584008,88.49877034426125,13.181760684342025,46.841204502380194,15.0,1.0
42,4.2480562726782445,68.45436272423372,16.872674254019323,57.74905962268729,15.0,1.0
43,12.246356817231558,85.94787073614529,16.717736376446723,65.49068830134414,15.0,1.0
44,-9.475523122449605,53.50893422478896,11.161937676695489,31.346077437646077,15.0,1.0
45,35.303424677158,77.0334475887754,14.003923449587042,51.813312809819905,15.0,1.0
46,22.488861391839485,92.5033519601138,12.59403253499438,60.811633647018574,15.0,1.0
47,20.997451276107128,71.183659598006,14.715848930481604,66.19782131513199,15.0,1.0
48,29.428569569789154,86.59120246545378,16.473323792343297,54.93245615521274,15.0,1.0
49,34.04287380770019,94.22747789190461,15.981845827582394,91.5717611118555,15.0,1.0
