unit_id,WaferYield,ChamberPressure,EtchPower,do_FilterUpgrade
0,29.22920785324049,75.27152833759408,24.083193701696093,75.0
1,35.31450671156269,83.09629060846298,28.3550962216877,75.0
2,18.257460798838764,64.1799789630793,42.25945396701842,75.0
3,41.44418926155743,89.95525717514661,47.84037803051478,75.0
4,40.233428499270715,92.42666180799888,73.95179984165664,75.0
5,40.717107822757306,93.67342936777082,37.6791448950311,75.0
6,30.54750125867374,71.20757808419017,41.54450029314865,75.0
7,27.258507824273934,65.95939723083724,31.92642612237755,75.0
8,34.88836399305218,86.02566514779794,58.416740191305195,75.0
9,29.410934728338567,74.30502800056873,21.48723006635333,75.0
10,31.93743869062164,74.6225346616269,42.81805218192206,75.0
11,35.67907854250018,80.21790952575404,19.96767093025685,75.0
12,34.843752757611696,70.66267365427247,25.601592556122394,75.0
13,37.84125365045668,83.03833183726158,29.040500689283643,75.0
14,23.78540557588429,72.63373478482293,43.502906816694356,75.0
15,37.10714709112655,87.09255374326555,34.5141894769283,75.0
16,23.201440192016978,59.79273383599202,13.496063459971126,75.0
17,30.24516720972915,80.63952188872997,38.27186277650866,75.0
18,31.54551426085407,72.81619800870158,34.05455216232202,75.0
19,25.33137092698604,73.53675861686706,43.7652806910724,75.0
20,31.92137193691563,84.87380763631876,31.252285564349105,75.0
21,21.86363565033127,69.09425322973733,37.203900111948776,75.0
22,44.202676223838935,91.28844302832411,23.28324451154262,75.0
23,27.88554214668001,81.86688453517645,36.75017206000599,75.0
24,33.864232546593946,84.51402697968076,29.62978728012613,75.0
25,32.652478712219846,88.06458318480809,37.57134702322519,75.0
26,44.23024924784244,83.799045824564,16.568445973133663,75.0
27,28.18549465130454,67.91176229284335,35.755384051457725,75.0
28,21.56919876467869,58.07944590979477,28.772823570277247,75.0
29,29.773964370674946,73.31682967961713,23.910962169224803,75.0
30,39.70653055048819,93.63395699565298,40.79402965888845,75.0
31,27.29033286834071,64.23848840050249,61.80093985153518,75.0
32,30.719730808078943,84.204610643385,43.93439940248318,75.0
33,21.86594288411941,62.73428228824444,47.3130200844296,75.0
34,22.933839207878414,66.96056332463856,35.86124425674639,75.0
35,43.07553248510294,95.02094967971676,48.691593281158006,75.0
36,26.018959895650376,69.98176587065386,32.318305968647415,75.0
37,27.00620277806863,68.82150981520115,38.62780292023552,75.0
38,28.691807601651945,75.17626096575864,20.89350752366699,75.0
39,22.41701385977775,68.60472839415169,27.707394211028976,75.0
40,22.13557067661656,68.98799952309952,53.85606784231018,75.0
41,38.41422825855756,92.65764144488304,37.57059360026976,75.0
42,34.639888604996116,80.94398608872285,47.149676187634235,75.0
43,34.94878019496294,85.26826192852293,15.863531506199624,75.0
44,34.047106984606266,77.59815136293929,65.08459913817242,75.0
45,35.261668458813894,75.91487992263663,17.011378160920373,75.0
46,33.03029641509253,73.73466890504764,42.82411977010426,75.0
47,26.628314406963998,69.744378882895,31.92363474027386,75.0
48,33.88800393259243,84.34307198265024,50.02979585295952,75.0
49,31.05098240291894,78.14323711876894,57.12864469254265,75.0
50,27.391846296219466,63.493726900744605,29.52600635619509,75.0
51,30.469649413726977,88.15290466007035,17.07268601570601,75.0
52,50.890935129799225,105.17221109993861,38.54112108141462,75.0
53,20.720101209815773,72.40154061264202,41.447319555136325,75.0
54,23.124852225644602,76.88562358192891,50.42197348314889,75.0
55,28.80575264162639,69.39734514136575,34.49651308873335,75.0
56,31.823488971887098,72.64266556965786,30.94517012258393,75.0
57,32.88895401765936,77.0420543551857,24.119396445544808,75.0
58,26.648216601544327,84.00153570114865,22.003545630534543,75.0
59,22.6587115457817,67.39602317159812,51.4599895257433,75.0
60,30.319862602142056,78.95211321980759,41.56491223524515,75.0
61,34.17511437124609,69.62442183421916,29.965482324684775,75.0
62,11.737714261722171,56.39402718980504,61.43285416074118,75.0
63,36.902101420307915,86.37752066052101,27.617637071078313,75.0
