unit_id,WaferYield,GasFlowArgon,EtchPower,HumidityFab,do_set_ChamberFlowUniformity
0,-13.556807189379228,62.152080433560734,72.54839151485551,41.508389691037934,85.0
1,-4.797246856600466,41.299267978650555,17.123388335720698,39.595164277884855,85.0
2,-5.407811009104542,38.35481231286734,55.88578086643316,47.120966938039544,85.0
3,-19.363273550409897,57.01530608076985,54.45911628822228,51.4202430304122,85.0
4,-26.06781104995588,53.65010465586967,54.10611929279852,40.09612959574674,85.0
5,-17.467406047978024,53.27023761007758,35.36707607558631,52.11568876630769,85.0
6,-18.99992083726569,60.97411294676327,43.79423160554142,23.68843644514275,85.0
7,-17.3807608772399,32.86383168978735,60.272911769512774,80.62955223590696,85.0
8,-3.9190283630916687,37.74886584517396,41.14278183371444,44.49581020809443,85.0
9,-21.696966891622335,50.10640134688815,28.967583631244043,40.3797355985734,85.0
10,-21.14543967389624,17.909090588183357,35.15428970468659,51.16364609699167,85.0
11,-15.389805932107251,26.18009772334131,43.73840641437082,66.39983538119954,85.0
12,5.417259463102992,61.943810013799705,39.786593932967506,50.912081812763745,85.0
13,-3.476706107920446,25.785656584746025,33.71752385466732,51.639361355934334,85.0
14,-1.0336240024728802,48.34430997388702,39.749409011817015,62.91428859290788,85.0
15,12.44378662023547,22.606522117161887,33.617499809008685,37.99589134381292,85.0
16,-22.530331237425358,69.54227097743059,52.688941480792266,24.340138232568165,85.0
17,-9.034715556451777,43.656820305611696,25.54178992954922,75.96805259907029,85.0
18,1.9378003157506791,48.20290101051329,32.792069226264275,42.6986526988698,85.0
19,1.17095941038344,50.1580891324118,30.82171141519138,53.732329483228476,85.0
20,29.048453651280674,57.32737944892427,30.398891976225066,49.464926618328846,85.0
21,-28.956312438443486,52.64946730331737,32.242484839985075,45.695333985632246,85.0
22,5.734817086345158,54.481679588016824,61.97203259759068,33.34303125076647,85.0
23,-14.66339021659624,53.93313246955301,64.69289532988498,59.597826961924824,85.0
24,18.255078529083942,38.86790470906551,39.38602174392885,47.96853580688007,85.0
25,-11.87448647138564,58.63747832464097,52.028024158044914,53.570696462692986,85.0
26,1.885401326435633,44.3413141610991,27.99787017372515,48.64820037884692,85.0
27,-21.104065203851583,41.580604489312336,33.764490781043094,48.52394690746897,85.0
28,-8.929773291882197,51.001844500565014,38.29683461161261,50.89211392736827,85.0
29,-4.361315534710225,53.91755035357114,22.662746626464372,54.092455141935,85.0
30,-16.26140230049772,46.63384884768206,53.28386982825323,64.65657148174917,85.0
31,-21.44098984775987,37.99026778272702,44.42796267976423,41.837703912034684,85.0
32,-18.03984790935239,40.046082430158386,50.81402216349808,43.22137281273188,85.0
33,6.106662024709344,45.114373047979235,12.549856432902248,45.536682045410764,85.0
34,-11.706664566094343,44.812472229622564,42.041021931617784,55.7999359372198,85.0
35,3.84476463509867,43.212274494684095,33.51195885797193,53.82060219351943,85.0
36,-4.008561695407307,46.44151183532386,39.98324509744702,47.47547610235491,85.0
37,9.697027379612553,38.805066519399276,48.446198892589976,24.078817838510084,85.0
38,-11.023988091970564,53.06003794235238,27.3590950621533,61.21864033701248,85.0
39,-1.7426957022381737,54.396830859281735,29.537468393883305,60.69523636684542,85.0
40,-23.65108658543176,56.84410503070247,42.29784892737797,42.34196043391892,85.0
41,-10.889978727984634,56.16714780403144,63.47588178505547,44.93447559722276,85.0
42,-23.102178429061333,42.434037342915076,59.98488688061793,35.80136373567368,85.0
43,-5.276275966012364,66.64966722595435,43.581457892767574,22.348562482486546,85.0
44,-9.674223710589,57.92154394571963,51.71863651824968,52.90020497129741,85.0
45,-3.9209410316068465,63.75283546816519,35.62563565375217,46.52702057842665,85.0
46,20.81241158468767,53.226823336801026,25.589211689796116,26.789613364864294,85.0
47,2.3607350392229747,31.359318709535643,26.65954574066206,32.08927361925576,85.0
48,-19.623895079489248,38.58063661080813,46.00974235074477,68.71176703394184,85.0
49,-17.483598742526965,41.47096383806547,44.29003588570751,12.622606991214017,85.0
50,0.4050629150934828,48.263836406383824,22.925144233195734,33.076527308441825,85.0
51,-15.840502114862858,53.70872654192071,39.32195595336248,38.84082665748481,85.0
52,-13.224039991183707,48.94427715711193,40.2494100247067,60.59421830165578,85.0
53,-20.93856125796061,54.91131255822353,38.32184574340459,33.29558958590617,85.0
54,-7.667034271391056,48.371934273561145,33.335063843080476,40.08755495637409,85.0
55,-8.216578375181033,70.6042653169701,37.275166416953724,58.581494410063115,85.0
