unit_id,WaferYield,ChamberPressure,EtchPower,ChamberFlowUniformity,GasFlowArgon,HumidityFab,do_set_ChamberFlowUniformity
0,-9.494930841852018,72.28894055322236,44.94523860864189,83.47127553424802,55.208898534991874,50.17807485898054,80.0
1,-11.839373641636207,74.10916029242972,51.373539241584986,79.6866979856505,42.338112472124735,67.90940592446503,80.0
2,-3.574974457959745,84.83366049213703,34.706882851901206,73.44854225739911,54.78330306085467,49.79299758350682,80.0
3,33.34824496753153,77.13525997379426,15.195686202699694,81.62287859850852,42.81307846920744,35.49712719311124,80.0
4,33.11264999747651,91.90776164725085,46.736529229742956,75.15058340091056,48.81442870859057,60.578685874194626,80.0
5,-17.590048637797686,75.01897565885139,57.147810480892915,80.13723950726578,60.82057649898125,70.28143281372627,80.0
6,9.538856455552553,62.79849002413914,40.07495201808861,81.9384262595702,36.01300253580017,61.626164538842175,80.0
7,-15.464069051814825,72.00191807903221,41.89554038556284,83.03731215230086,49.99345062100153,41.212998921571696,80.0
8,-20.376180257794818,67.10181819549943,31.395106100594205,81.6027974670818,30.557793216240864,57.800164043600645,80.0
9,7.446473299711342,68.49722319304547,27.91115996539666,82.41896319627479,70.72334472097911,41.166636084531675,80.0
10,-18.910879321308833,70.12098022440293,46.48838033724677,80.73545804032501,64.00464308827105,65.37580936169844,80.0
11,5.8072088360616885,81.462314324766,42.32668270811203,77.70364961940288,39.84192179481151,49.732101751667585,80.0
12,-30.41440684687641,45.33886429664057,45.691541207264045,82.69141960321002,46.24999203178815,56.06590156071332,80.0
13,-8.682469244866947,80.74925999079184,44.91755123044151,83.55017448048852,39.12445054492155,48.04608809775802,80.0
14,-24.293616889135876,70.37396566996384,64.47614830682794,83.10681629269607,32.755895396999996,43.135386603048445,80.0
15,-0.5508580283289026,79.66333341389017,46.16950993128357,75.53671868807687,57.9608121842944,52.314118762374775,80.0
16,-17.992921765621652,73.7304601362622,41.496047885204476,81.20031815886615,46.99566458762599,50.381868677995776,80.0
17,5.741965751058422,66.33844466651722,33.521902456491,84.3331305998606,38.462518231851526,49.57936718637375,80.0
18,-7.180558233719229,67.76642804891328,28.328841921301468,86.17709922572882,52.73943894140277,42.82809850834611,80.0
19,-4.362093966168395,73.6014733010166,46.07631518487176,78.36678048866933,43.53664147573615,49.362032457525025,80.0
20,-26.771623241439876,69.99745077275782,45.0166073598352,85.24750776813951,58.4984027200675,43.05562856022681,80.0
21,8.840994087197036,80.94849955375824,29.38002160746473,83.39253749315475,62.144689988355964,45.93839724837833,80.0
22,-16.76367241035201,75.55336416193094,34.70150066787309,78.13734671842072,53.56521918177713,34.26754547061801,80.0
23,-10.7505617515239,61.42871397270292,43.505472317816384,76.80261921465585,55.969260020641904,48.785330620366274,80.0
24,-14.394052622539824,85.27797631365739,36.7919222017333,79.59319321325462,68.33793028490561,60.28053132288833,80.0
25,-9.024824306887755,85.94094688504462,48.412094619240364,83.75662130596902,40.484896822145735,48.5995280549763,80.0
26,-22.34882169815008,55.766725822458426,31.866962347371725,79.92616117623481,34.7919724552029,53.14505698844941,80.0
27,-13.48682043847688,70.98862165534631,40.36236825721441,79.11270465010898,59.556964931362735,48.96104055298819,80.0
28,-28.275954593705794,52.67624837034428,59.203015492571495,80.10125743148639,45.886401725902076,54.16332988808682,80.0
29,-17.11342581288973,78.28781060866551,29.87318025949787,83.09525086810103,47.4705310529212,53.87875451470692,80.0
30,-16.48520357655775,73.9568262857458,45.139405916836736,81.16545692163258,36.43909428798287,47.166239383926964,80.0
31,-15.187904213464213,74.67349930198674,50.600003917473366,77.03307315328887,45.93811569014617,57.643371201037276,80.0
32,-23.0610473233008,61.023328864866514,50.145207042392585,77.65635128590789,31.771803943406056,54.06511827068622,80.0
