unit_id,CapacityRetention,CoulombicEfficiency
0,-16.006638238116825,62.071337239078886
1,-7.036710430152055,70.49794172979173
2,19.604949796695134,13.661892787494143
3,5.364576318756441,32.366977138130196
4,10.892756524368385,63.395407352929666
5,-4.640868295892873,47.84045149161421
6,-16.281798660097277,50.51285620881121
7,-11.539087416552562,70.09932483101277
8,-3.2601818680516907,44.249628826908506
9,-9.75896816383037,66.67021161142368
10,-15.19817162863946,24.381899114041595
11,-24.151631213607764,56.42147803088822
12,-14.881671175386582,50.52731347182224
13,-8.7629137462214,28.226306849041237
14,-16.807790538432954,34.20868376763005
15,-19.270704152995375,53.36518679469303
16,-19.901241599562898,71.31774147876939
17,-4.9184750305207405,34.590858078855575
18,-11.493451206947437,61.18104352928593
19,10.436663164456387,41.17616518679597
20,-5.186510169150939,38.53536570742731
21,-9.579165444847831,61.758475372701525
22,-32.014131999486764,34.47701587649202
23,-21.221306786905505,65.28192605401243
24,14.859216345875929,29.11192101798156
25,-0.40351873085340895,33.272900549172086
26,-31.476907770515115,50.77228296197357
27,-7.20266583414379,45.88143420102981
28,-8.704505615124065,28.972703925966314
29,13.251003703314455,19.420071532116328
30,-15.776283746116494,68.38773630085225
31,-20.829250846811387,26.925555402070646
32,-7.528811211213667,39.75546816353709
33,-28.371812443634973,42.65807047901528
34,-6.281472255359434,61.01806701461358
35,22.688297263681854,20.737913079638563
36,-10.002347983400442,33.06578604383592
37,-26.22627285473773,58.73513939742033
38,-0.6747611328257447,45.496857538490815
39,-22.134123931114818,63.71806728869565
40,-11.630883832451897,41.151369206295946
41,-20.022141295892975,50.69293286674587
42,-4.906340498593556,28.16364476371381
43,-3.2632033391128195,49.925680848447165
44,-10.384684543396558,75.33324360718129
45,-8.040702686354008,66.40067514734923
46,-17.406900738743285,75.23732828336054
47,-17.86023666193805,34.67838822160263
48,-15.85739344128378,44.0774436030945
49,-11.491313854996164,43.7147476630078
50,-11.698365967589513,40.16983544516451
51,-9.211880174917255,85.06766035485205
52,-10.1736828209017,24.785252780633005
53,-18.255370828564665,30.394450094770896
54,-10.475767170807664,62.630592596195804
55,0.24525512066069632,51.960748100713516
56,-12.331757845306434,35.35145420730038
57,-7.301597227564445,53.96235408862397
58,-1.8016918792850767,47.24322898700257
59,28.10434971752139,-4.617811575719706
60,-14.261105625452341,48.99222619056667
61,3.346424273859699,37.20384674721279
62,-31.80802415271452,57.24076623810544
63,-7.447831069284245,66.34680901834243
64,0.18827925160205217,33.931991719252
65,-5.030650159268146,35.16628823902918
66,0.18348442027835188,20.294970565057955
67,-11.450435501352434,72.34749914447691
68,-27.897383023348095,53.531741062437824
69,-10.553392169904424,8.339206055576753
70,6.11028514661618,0.9445704744264063
71,1.5222882732945378,47.357892848510375
72,-13.488721080423193,58.71312507526594
73,-4.880019238808416,27.80366783039673
74,2.5688449203854478,37.79815816556623
75,-16.389458244138122,67.55559602257524
76,-7.472026512695885,72.15514763605256
77,8.21646663092333,46.16208327843664
78,-1.4055252260634354,40.03256873729752
79,-13.34978346725601,37.407880476989924
80,-28.64099777740247,43.88846891826609
81,-1.65096781791208,66.58901629766525
82,-9.158482005932502,45.23063282708384
83,-40.37758543739832,56.544302774024985
