unit_id,CapacityRetention,ImpedanceSpectrum,do_set_CyclingTemperature
0,18.337922314977014,8.24763556053167,10.0
1,15.516128984214793,9.506750675657837,10.0
2,18.674264712549828,9.314397181605912,10.0
3,20.37546284325895,9.221451887383466,10.0
4,15.679471004912783,9.187479247136523,10.0
5,22.436464912136216,10.217600435065622,10.0
6,16.667205886549873,9.28224046918204,10.0
7,15.505482098790974,10.012843226838601,10.0
8,20.19425544318444,9.560616795881211,10.0
9,17.6263264169239,9.608784738022456,10.0
10,18.5434785273936,9.890618032339843,10.0
11,22.44222633259552,9.228685519500061,10.0
12,18.37463411341131,10.109953628751448,10.0
13,18.841106581095712,9.862965651412923,10.0
14,16.60258670695866,9.36853923323544,10.0
15,15.859502905358585,8.962630362021565,10.0
16,20.269466001141968,9.263330352032686,10.0
17,16.637190925913753,9.094434343101492,10.0
18,15.85445202034759,10.068290397519938,10.0
19,13.156689828536585,9.094875901713861,10.0
20,22.308891782209102,9.18109078124169,10.0
21,20.956682665037714,9.989027461330098,10.0
22,16.14991942110609,9.093149425714547,10.0
23,19.900086823707657,10.45348494417506,10.0
24,25.879799279163652,10.255167881748136,10.0
25,15.868157662097172,10.1497853910789,10.0
26,14.043642384159096,9.14043744449242,10.0
27,16.16614781957557,10.70649351472408,10.0
28,15.983952252576959,9.580106675808047,10.0
29,19.778537079465504,9.663672784582664,10.0
30,21.025244662618192,9.169807836610739,10.0
31,20.385836691232022,8.998788594869241,10.0
32,17.81242730418228,10.24565207678228,10.0
33,17.30694321310878,10.087562464295226,10.0
34,13.325424429999625,9.20150381464654,10.0
35,14.269470003777768,9.960430704085745,10.0
36,16.75572931194665,9.16965634449591,10.0
37,17.84777280537384,9.532290757968095,10.0
38,14.56697013831196,9.413815283226223,10.0
39,20.716955313255323,9.911051965437428,10.0
40,13.43802133231733,9.804047731838821,10.0
41,16.54725005726989,9.327917083973382,10.0
42,13.11277415962933,9.084448687287374,10.0
43,23.543708795192185,9.014706037201565,10.0
44,20.79041088171796,9.922658181460916,10.0
45,18.358952511627308,9.640315267826185,10.0
46,20.908713345853474,9.354828736199483,10.0
47,19.323041313589734,11.151671174696574,10.0
48,19.49955888756689,9.26457683407448,10.0
49,18.158874405485957,10.343068394307222,10.0
50,17.808562046344846,9.973861574294025,10.0
51,20.94020129511467,9.379127069773812,10.0
52,18.714716925616766,9.095893093504841,10.0
53,19.898502098418103,8.86486587163554,10.0
54,22.689510389444255,9.580585297975212,10.0
55,15.437106574974353,9.793222673864873,10.0
56,18.221718886865986,9.529519349503133,10.0
57,15.941160621850411,9.806368574466225,10.0
58,18.65031111556522,9.432003509405106,10.0
59,18.351619413054042,9.256546612927533,10.0
60,19.44567854220018,9.556612941918203,10.0
61,19.3177251809615,9.04695540611675,10.0
62,15.49345897579107,9.266872096331499,10.0
63,19.703665525179964,10.482106892051181,10.0
64,17.180198257395524,10.576144666345053,10.0
65,19.815004440719235,9.599294616884915,10.0
66,11.79448411087604,8.933798225801977,10.0
67,18.584150554683028,11.279669054936386,10.0
68,17.142087837196,9.775039336516954,10.0
69,21.924876133074232,9.5130546097841,10.0
70,14.941186691141137,9.235363627890848,10.0
71,19.498436685681497,10.270438968409117,10.0
72,19.988348218832854,9.802694497203852,10.0
73,20.381233475996556,9.559697602558478,10.0
74,18.929815116800853,9.711691756041219,10.0
75,18.22877805166319,9.360017876908953,10.0
76,19.954260739854448,8.726781281588728,10.0
77,21.258977977574308,9.097704693466316,10.0
78,17.53441925650283,10.221306242971494,10.0
79,19.984233722191775,8.928749884513136,10.0
80,12.760281741705832,8.679494202261264,10.0
81,17.085970228436537,8.949926067745382,10.0
82,17.783204842518725,9.556240049962193,10.0
83,18.463162326109476,9.317798857820485,10.0
84,12.541988477937844,9.57098825895353,10.0
85,25.470989152273773,9.462288424303237,10.0
86,18.987567112792338,9.695296808660187,10.0
87,25.256114699092308,13.222257758113145,10.0
88,18.72890913345028,11.67113653017135,10.0
89,20.83274732484075,9.148283886895245,10.0
90,10.767574548472972,9.3297213816001,10.0
91,15.355792358255279,9.005046262642079,10.0
92,19.657953472672475,9.307198862186912,10.0
93,10.387479163005587,9.375245539227075,10.0
94,23.74828588708243,9.75545334260333,10.0
95,20.72945057251002,10.534715134798903,10.0
96,15.547119558398116,9.979951825898835,10.0
