unit_id,ReadmissionRate,Creatinine,Sodium,BloodPressure,MedAdherence,LengthOfStay,Hemoglobin,HbA1c,do_diuretic_titration
0,55.53132923827717,33.02753172400123,49.611152620928436,51.28470630089278,52.20519162019734,34.61487103809134,62.32505348971098,42.562270870116755,50.0
1,24.21684091075403,49.24687453291117,43.28838635411972,47.31649297714728,60.58930130115603,18.413845834169788,42.43190161422611,50.261823721930554,50.0
2,60.05944700278676,26.791303184727585,51.18163712914798,55.07890566803965,27.219240832482118,32.67414350717603,47.25318543586054,49.731704940949555,50.0
3,41.70863269260565,37.529278618708865,54.57605262234468,24.522882594169065,50.71847693464482,39.13320940951991,65.2478323635961,63.42743091769885,50.0
4,29.659065995850824,27.895409987455523,41.39798129925565,43.76894213876068,49.89833419512145,26.334110718141172,44.82417085334092,52.41769314759135,50.0
5,49.04334655384045,60.4607107831192,49.115098201941734,77.63431134563523,60.719841229520576,39.80354780551088,53.53447886727052,76.05010007022175,50.0
6,48.82095929666439,37.16607462728955,23.70963826094383,28.608246013044848,41.95375309239017,42.73009693537894,44.842396535015,21.223831826178788,50.0
7,34.99059105894373,56.90037032045544,79.40146299903628,50.226286487290835,23.802161116175235,49.07761202178476,59.59150000466645,23.777530189070195,50.0
8,42.437702715970225,63.22678701323532,37.70833132698056,70.30616004198416,34.43394135157043,53.639509582563456,44.80286720464987,41.18061944130639,50.0
9,17.86675865240807,64.05637211601716,40.735608019238,50.18094775053632,47.477719553373014,21.621798181579685,41.84037196602277,49.72278868531999,50.0
10,21.08100865535452,50.97969263366898,46.18285510123902,48.1973215746759,67.80184413080468,38.33066635370854,54.53041885225677,55.76778335616055,50.0
11,38.80310999564943,53.93601292227975,68.82681694696429,43.54736201578877,41.595134459166246,40.81203868195813,29.017295729693597,57.36481339289589,50.0
12,58.45673215070081,43.403800545165765,55.62598421889676,57.62732980852943,82.63945718216696,42.93581918104515,58.94610936878723,40.00718606132238,50.0
13,65.13249922887013,49.07750761030819,53.80345089311408,48.75236846641819,41.00186634296796,60.95425427703692,35.9853056416655,49.33040576115251,50.0
14,43.13378959413332,65.84961693536674,60.843200480535295,70.78587062948999,53.12888162940101,41.27559382762066,47.9049801587585,23.39267283484168,50.0
15,67.17145392499575,55.48243363824762,36.09034228207499,46.64024087108957,42.744400860788005,26.21884406294295,39.097423584714996,48.811437317647496,50.0
16,39.13725968193086,48.71255328661203,24.838634937224512,46.66969905776982,56.2006428979131,34.18654994691863,30.939163680807226,49.83612601308635,50.0
17,25.378836253986414,53.46628624550539,78.42784354447859,52.14120891770045,59.82992265915528,36.42522640653048,40.49323007149768,61.00375595227556,50.0
18,51.659563086126425,52.49420512664269,44.107719775692935,36.3029769684523,55.64330419367406,39.857335031592775,72.86749203716188,39.9974444595793,50.0
19,49.72145016691363,44.942403673258845,47.491679377423075,47.70715715021619,67.14754389353399,31.834358953718343,50.762519181877224,22.455949710816462,50.0
20,84.04380811150817,59.06550602229404,44.02054108720862,48.769711298597116,27.023946720406897,47.08524328372548,72.6272432679119,64.2566146916563,50.0
21,18.28426249207761,55.09954365703104,50.77977562556726,50.19577210132802,32.380431997312115,24.639782091318807,48.96974869294514,63.22569509104089,50.0
22,71.02974706355674,44.75863089855352,34.43126398065324,62.59351722058761,49.592665540007545,35.59570575584559,39.284847683629515,69.10998490234637,50.0
23,42.07168853722081,43.80950779020986,62.18993567166433,51.173667209214294,42.986998727561385,49.411833151806476,60.908161003279986,34.000788918657705,50.0
24,71.79973631406676,40.06350889605534,50.55180585418647,61.06476579405842,41.96405185882919,42.47562709204789,69.59562019775554,46.917006359918275,50.0
25,52.51590559012947,42.89308042362483,48.51802791903824,41.76290963558424,45.03409946790195,30.320017474821658,52.07025257903964,43.25536569934849,50.0
26,42.469623965055725,33.93532789084054,49.73277098581324,52.28319958775678,42.9207596497556,45.37875010721824,70.81536783958587,60.065595251427794,50.0
27,27.22638762407467,50.19491256337749,45.03557344635185,38.398318470625846,61.017100103872465,35.774062121161904,40.60558819122534,46.77895349141337,50.0
28,41.43008946476,56.27628792574661,47.0486023327729,49.512758422503616,59.99712082393792,39.44159168541443,69.88866425303112,25.541550410065938,50.0
29,29.598568127333227,63.888948007524505,53.92004573811717,67.2425888240911,76.69875758112103,43.26326356898701,51.03659424905418,47.04169039825311,50.0
30,33.92256094180926,55.44834021805345,56.15244668588493,64.43584622068904,55.093773398603965,42.856989272850505,39.29901184456632,59.299174959118716,50.0
31,29.96698317953938,32.05318718992411,43.787599469220034,61.177583037871806,61.892884561457535,34.76547998380894,32.04630084227054,60.47509130956959,50.0
32,33.51029713992263,58.54532664051312,45.05300937427391,47.116335847963555,66.29027024965056,32.414999901566674,24.95207140603815,68.8533020078568,50.0
33,40.2626845380949,30.083325266257628,35.08816448594192,57.79674523250869,36.631896041830345,43.10739505088732,47.373754636020415,42.66492006727746,50.0
34,39.252019740149564,60.59524374910951,55.077855752536934,56.06734942025042,78.60570172618795,24.80500612864075,51.03022293197881,24.9352992536373,50.0
35,56.10018089146965,39.1939453624474,51.57538911666356,56.79749922659799,60.88484769602223,42.01496430366856,24.650832731372866,33.4802878765733,50.0
36,51.36398264158033,45.6156569294663,44.50840671755716,43.759063369177056,54.24583512524757,35.203643648430486,55.705853939343704,58.168396897762,50.0
37,66.37598154531744,36.374651799100384,29.338670813290022,22.064007349966268,72.27696910564353,32.39041144984023,55.98060878203749,35.60125483645768,50.0
38,30.31145232521767,35.977237097152056,58.56757005713399,44.37198664364834,84.76710487482076,39.807995760839816,57.84345177553254,58.975340371861975,50.0
39,48.107843748850044,50.58910199516298,50.18606702058254,45.25857504807472,75.02711353965002,51.89721637052342,43.1652053325401,46.831466396270514,50.0
40,24.75029658388651,46.94634078964415,42.00261223953641,37.138003079910554,66.55730115157837,29.388397647924208,52.342126829353646,55.950021989982346,50.0
41,53.87796531965117,53.45597088012667,55.13566836620844,56.10499765953324,53.519524488690365,40.806367863089704,49.22335512213741,46.131530012292835,50.0
42,36.72594832385035,43.06254843462803,37.15843931156325,49.744492600288275,46.41920948625382,34.45993333227156,47.40345102212263,50.94013278576765,50.0
43,54.38769248649772,43.56438694625157,17.01449044740766,70.57389037903326,49.65583991688771,43.86889168229926,66.77736582106107,40.68550878495659,50.0
44,54.65417763464933,61.53356879353916,54.66070805218613,52.20992976627102,27.39944840650852,37.40564127775407,67.6615440246888,45.750222471055636,50.0
45,46.00000171726778,60.16941166180815,51.05804264222189,64.76861246203546,68.90756359509557,36.760789165461226,36.03435228097762,35.117786566413535,50.0
46,61.16394406785664,80.484484743583,28.99163817157933,47.91934014032466,50.65572294916536,58.86015994683246,76.8164933703087,18.200156899483414,50.0
47,45.810593998731505,57.01770194917916,34.00577011889141,58.498914412318996,34.27641273554253,61.774287209901836,36.7596615365298,51.91387250910569,50.0
48,33.66343774425806,58.77847956891992,67.66112405913475,58.954987056393826,63.260968614166025,42.35578795874085,50.67187006841466,35.24503882959501,50.0
49,26.952442642205497,55.958387100656076,23.602793252989336,48.04494354868031,59.9765779099259,44.81708848832388,39.9085070894537,46.04177886889278,50.0
50,39.97344292822329,62.253114007035535,32.10017518136276,50.48941953029695,58.72704741034475,40.52248062989301,56.4324199661053,59.331589827324784,50.0
51,59.89436958193144,62.218970848072374,42.347170471445104,53.363865020911895,55.584374773852325,57.34661119218627,55.57254518206995,62.046997101731776,50.0
52,31.78552150958741,46.01313579108635,58.11450114174996,52.00254134402851,48.39637267607453,44.12908755035279,61.18280891325896,66.74921936879758,50.0
53,40.588380051335164,21.359480289885312,33.945599214640566,46.83304791259317,74.20999894974898,29.95099888150357,57.15860350582838,49.95851273667432,50.0
54,40.021637928470454,57.9374479529171,49.398853942361676,40.367702813852695,45.76536524615253,35.741317500748565,57.43732587618068,50.09535662928479,50.0
55,47.49585853273523,54.95332405795345,50.18104177914765,33.69094168162718,60.30818760905508,46.692726501519665,54.15101261830663,55.17666642602774,50.0
56,48.57961414599291,51.728875176655514,40.942774289674986,36.118758285067194,43.96344319087829,50.14485443893446,45.18581324359637,40.24986593266681,50.0
57,40.53609189914361,58.755969434887994,38.569610006218355,48.8669080356115,53.01700293979991,39.10721273444706,44.149371230055934,51.448017427538346,50.0
58,60.44250751296103,44.40576863249298,66.97370227943861,46.55709935172515,42.10485605423937,47.174452035240186,43.19006551690305,49.51817877536078,50.0
59,49.696431736602804,40.41720229672226,63.47487684077226,45.300634856302096,66.90668499457588,48.57724706087982,45.20299409501664,56.94823268992659,50.0
60,37.94628944835607,54.46929102150807,22.656777564192364,55.97989667031294,76.16084352761078,23.582001344239256,35.20369172473919,42.85605037678901,50.0
61,31.491442830020635,51.80800254176106,43.248637679570685,53.298919712028265,52.08083928442083,18.837917184004603,40.271033160591415,57.144341434766815,50.0
62,39.081171366637165,48.40207436321908,47.595437963878325,21.610177539911213,43.86385370669809,33.142128859789764,56.753302866813755,68.35406174371711,50.0
63,47.000525401470234,58.9647729218228,69.68113501428223,53.65452805064427,22.05450076412226,36.76525261526826,40.92674564929768,56.116511348369386,50.0
64,70.27875512343367,28.089890527751397,30.69563090093875,48.21820096278146,38.68643064187131,52.48524165209813,58.613760379319366,37.30408697362109,50.0
65,61.60770280799677,65.74177530992344,47.4989853838811,4.776013235220946,68.4146800961344,42.012913175646915,37.86396218514364,58.88731049689045,50.0
66,49.801742541556635,54.15269355008887,48.633741549669786,59.7342142627861,77.87224333786816,53.93234407942615,53.04985556954629,33.437349701198336,50.0
67,40.03848152012829,57.175611554221796,28.987326837237404,57.77628264468459,64.16334709061536,51.55203343301782,51.700487566209716,42.101357801001186,50.0
68,36.47632021760854,50.06463686111847,51.85049211261051,36.83167823002665,47.57768088404658,26.756418352689163,36.94869368962009,63.648923493670694,50.0
69,36.35930671883968,48.8869799722272,70.11924859135807,66.38469456185328,53.61297754188763,47.08330099210468,46.41170497895348,53.98500026497617,50.0
70,43.837846727204536,40.9579896078013,44.69786461767917,38.57120682503301,55.12231509591092,42.47369210940372,51.97473942121647,68.39256780370928,50.0
71,42.62416555954299,64.71518638873408,31.542688416705563,46.933352679936355,36.652795688152324,36.90425446957463,62.11588944365349,48.136850242994825,50.0
72,41.5295530247042,42.304933154986706,61.547091159457516,72.92624266539185,46.113152863775824,33.35563226220643,72.52685962854605,64.9149701593114,50.0
73,47.99121983391585,65.78607213997928,46.20431265300221,46.775599077644266,58.29790666872777,39.12559003403462,51.19347018921263,62.934063172013644,50.0
74,46.215221370305954,50.1726006532233,50.77814320586846,52.11234200024562,60.29452483712341,47.10245356058717,56.149322505467175,77.58540729724967,50.0
75,30.7183765340365,38.41802219334742,49.14799556762436,44.84574430031603,60.89628230079876,37.91138453311784,42.46743278391733,45.04934028065789,50.0
76,39.795914902605745,56.87490381790734,44.810155493092246,49.764263031137595,50.58405078565156,32.79461995495813,51.05411490537312,64.48769665264544,50.0
77,33.13304794420177,54.057858431487105,55.40623637447405,37.438634590328824,67.76584923011112,11.837122427664024,23.612590389998548,45.334163495720965,50.0
78,63.215500117011075,50.242093498997804,47.19969618524709,45.97267231951033,59.54008946815298,39.86226350185313,59.451314445418404,36.26331213519161,50.0
79,70.28188999323882,49.638478544685015,71.72399432562118,22.383415548417464,57.33406682233451,35.45293242275463,27.083125107443983,56.27775254203651,50.0
80,38.037291378108264,34.35301148853731,47.40736607132146,51.73751426957582,48.97402098801568,53.40084890588278,32.655868563835796,52.95728505487482,50.0
